public_metadata_question_row_id,parent_public_metadata_refresh_row_id,route_family,source_url,public_metadata_class,question_class,blocker_classes_addressed_if_returned,question,required_return_fields,private_or_contact_trap_carried_forward,allowed_channel_status_now,evidence_intake_allowed_now,route_assignment_allowed_now,dispatch_allowed_now,response_or_return_present,answer_field_filled,personal_contact_details_copied,source_text_or_excerpt_copied,proposed_surface_filled,current_translation_filled,pilot_ready
DMOI-RF-LSS-ORPMQ-01-A,DMOI-RF-LSS-ORPMR-01,language_terminology_service_route_candidate,https://bahasa-dev.kemendikdasmen.go.id/berita-detail/3427/peluncuran-halo-bahasa,dated_language_service_announcement_metadata,language_service_scope_and_owner_question,route_label_missing; addressee_or_owner_missing; license_context_note_missing,"Can this public language-service route provide an official, non-personal route for terminology or language-service questions about mathematical Indonesian relation/function terminology, and what organization/unit owns the answer?",dated_non_personal_route_return; route_label_scope; owning_unit_or_role; reuse_or_citation_boundary,false,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-01-B,DMOI-RF-LSS-ORPMR-01,language_terminology_service_route_candidate,https://bahasa-dev.kemendikdasmen.go.id/berita-detail/3427/peluncuran-halo-bahasa,dated_language_service_announcement_metadata,language_service_dispatch_medium_question,dispatch_medium_missing; local_standard_route_missing,"If the route is appropriate, what non-personal dispatch medium and public service category should be used, and is it merely language-service metadata or a local-standard authority route?",dated_non_personal_route_return; dispatch_medium_class; service_category_scope; local_standard_authority_yes_no,false,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-02-A,DMOI-RF-LSS-ORPMR-02,language_terminology_service_route_candidate,https://bahasa-dev.kemendikdasmen.go.id/layanan,language_service_registry_metadata,language_service_scope_and_owner_question,route_label_missing; addressee_or_owner_missing; license_context_note_missing,"Can this public language-service route provide an official, non-personal route for terminology or language-service questions about mathematical Indonesian relation/function terminology, and what organization/unit owns the answer?",dated_non_personal_route_return; route_label_scope; owning_unit_or_role; reuse_or_citation_boundary,false,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-02-B,DMOI-RF-LSS-ORPMR-02,language_terminology_service_route_candidate,https://bahasa-dev.kemendikdasmen.go.id/layanan,language_service_registry_metadata,language_service_dispatch_medium_question,dispatch_medium_missing; local_standard_route_missing,"If the route is appropriate, what non-personal dispatch medium and public service category should be used, and is it merely language-service metadata or a local-standard authority route?",dated_non_personal_route_return; dispatch_medium_class; service_category_scope; local_standard_authority_yes_no,false,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-03-A,DMOI-RF-LSS-ORPMR-03,public_information_request_route_candidate,https://formulir.kemendikdasmen.go.id/view.php?id=1035451,public_information_form_metadata_with_private_field_trap,public_information_scope_question,route_label_missing; local_standard_route_missing,"Is this public-information route appropriate for requesting public records about source ownership or education-language policy, or is it only a formal information-request channel outside reviewer/source-owner routing?",dated_non_personal_route_return; public_information_scope; local_standard_authority_yes_no; requester_private_fields_avoidance,true,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-03-B,DMOI-RF-LSS-ORPMR-03,public_information_request_route_candidate,https://formulir.kemendikdasmen.go.id/view.php?id=1035451,public_information_form_metadata_with_private_field_trap,private_field_trap_avoidance_question,addressee_or_owner_missing; dispatch_medium_missing; license_context_note_missing,"Can a future request be represented through a non-personal institutional role without copying requester private fields, or must this route remain excluded from dispatch preparation?",dated_non_personal_route_return; non_personal_role_or_exclusion; private_field_avoidance_confirmation; license_or_public_record_boundary,true,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-04-A,DMOI-RF-LSS-ORPMR-04,institutional_directory_route_candidate,https://directory.telkomuniversity.ac.id/semua-kontak/,institutional_directory_metadata_with_contact_trap,institutional_directory_contact_trap_question,addressee_or_owner_missing; dispatch_medium_missing,"Does the directory expose any non-personal institutional office or service route suitable for source/platform questions without copying contact details, or should it remain a contact-trap metadata row only?",dated_non_personal_route_return; non_personal_office_or_exclusion; contact_details_not_copied_confirmation; dispatch_medium_class_if_allowed,true,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-04-B,DMOI-RF-LSS-ORPMR-04,institutional_directory_route_candidate,https://directory.telkomuniversity.ac.id/semua-kontak/,institutional_directory_metadata_with_contact_trap,institutional_source_owner_scope_question,route_label_missing; local_standard_route_missing; license_context_note_missing,"If a non-personal route exists, is it connected to OCW/source-platform ownership, language services, or only general service administration, and what reuse/license boundary applies?",dated_non_personal_route_return; route_owner_scope; local_standard_authority_yes_no; reuse_or_license_boundary,true,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-05-A,DMOI-RF-LSS-ORPMR-05,institutional_service_desk_route_candidate,https://servicedesk.telkomuniversity.ac.id/,institutional_ticketing_and_service_category_metadata,service_desk_scope_question,route_label_missing; dispatch_medium_missing,"Is the service-desk route limited to technical support/ticketing, or can it route public source-platform questions to a non-personal owner without a dispatch event?",dated_non_personal_route_return; service_desk_scope; route_forwarding_scope; dispatch_medium_class_if_allowed,false,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-05-B,DMOI-RF-LSS-ORPMR-05,institutional_service_desk_route_candidate,https://servicedesk.telkomuniversity.ac.id/,institutional_ticketing_and_service_category_metadata,service_desk_exclusion_question,addressee_or_owner_missing; local_standard_route_missing; license_context_note_missing,"If the service desk is not an owner/reviewer route, what exclusion reason should be recorded so future sessions stop promoting it toward evidence intake?",dated_non_personal_route_return; exclusion_reason; local_standard_authority_yes_no; license_context_scope,false,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-06-A,DMOI-RF-LSS-ORPMR-06,institutional_ocw_source_platform_route_candidate,https://ocw.telkomuniversity.ac.id/,public_source_platform_metadata,ocw_platform_owner_question,route_label_missing; addressee_or_owner_missing; license_context_note_missing,"What non-personal institutional role owns or maintains the OCW platform/course material relevant to relation/function terminology, and what license/reuse boundary applies?",dated_non_personal_route_return; platform_owner_role; course_or_material_scope; license_or_reuse_boundary,false,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMQ-06-B,DMOI-RF-LSS-ORPMR-06,institutional_ocw_source_platform_route_candidate,https://ocw.telkomuniversity.ac.id/,public_source_platform_metadata,ocw_local_standard_boundary_question,dispatch_medium_missing; local_standard_route_missing,"Should this OCW route be treated only as source-platform metadata, or can it support a local-standard/reviewer route for relation/function terminology after a non-personal return?",dated_non_personal_route_return; dispatch_medium_class; source_platform_vs_local_standard_boundary; reviewer_route_yes_no,false,blank_question_only_no_send_event,false,false,false,false,false,false,false,false,false,false
