section,row_id,service_or_slot,parent_id,linked_return_row,status_or_blank_fields,query_allowed_now
capture_policy_return_template,DMOI-RF-LSS-CPRL-RETURN-01,Tesaurus Tematis,DMOI-RF-LSS-SCPB-SHELL-01,,return_date; return_authority_role; non_personal_route_or_owner_id; approved_metadata_fields; forbidden_fields_confirmed; license_or_terms_note; privacy_review_note; query_term_source_requirement; result_use_limit; capture_policy_decision; next_allowed_artifact,false
capture_policy_return_template,DMOI-RF-LSS-CPRL-RETURN-02,Korpus Indonesia,DMOI-RF-LSS-SCPB-SHELL-02,,return_date; return_authority_role; non_personal_route_or_owner_id; approved_metadata_fields; forbidden_fields_confirmed; license_or_terms_note; privacy_review_note; query_term_source_requirement; result_use_limit; capture_policy_decision; next_allowed_artifact,false
capture_policy_return_template,DMOI-RF-LSS-CPRL-RETURN-03,Kamus Besar Bahasa Indonesia,DMOI-RF-LSS-SCPB-SHELL-03,,return_date; return_authority_role; non_personal_route_or_owner_id; approved_metadata_fields; forbidden_fields_confirmed; license_or_terms_note; privacy_review_note; query_term_source_requirement; result_use_limit; capture_policy_decision; next_allowed_artifact,false
capture_policy_return_template,DMOI-RF-LSS-CPRL-RETURN-04,Senarai Padanan Asing Indonesia / Pasti,DMOI-RF-LSS-SCPB-SHELL-04,,return_date; return_authority_role; non_personal_route_or_owner_id; approved_metadata_fields; forbidden_fields_confirmed; license_or_terms_note; privacy_review_note; query_term_source_requirement; result_use_limit; capture_policy_decision; next_allowed_artifact,false
capture_policy_return_template,DMOI-RF-LSS-CPRL-RETURN-05,Penerjemahan Daring / Penjaring,DMOI-RF-LSS-SCPB-SHELL-05,,return_date; return_authority_role; non_personal_route_or_owner_id; approved_metadata_fields; forbidden_fields_confirmed; license_or_terms_note; privacy_review_note; query_term_source_requirement; result_use_limit; capture_policy_decision; next_allowed_artifact,false
capture_policy_return_template,DMOI-RF-LSS-CPRL-RETURN-06,EYD Edisi V,DMOI-RF-LSS-SCPB-SHELL-06,,return_date; return_authority_role; non_personal_route_or_owner_id; approved_metadata_fields; forbidden_fields_confirmed; license_or_terms_note; privacy_review_note; query_term_source_requirement; result_use_limit; capture_policy_decision; next_allowed_artifact,false
affected_service_option_assignment,DMOI-RF-LSS-CPRL-ASSIGN-001,RF-SEM-SLOT-01,DMOI-RF-LSS-SCPB-ASSIGN-001,DMOI-RF-LSS-CPRL-RETURN-01,missing_capture_policy_authority_return_and_query_term_return,false
affected_service_option_assignment,DMOI-RF-LSS-CPRL-ASSIGN-002,RF-SEM-SLOT-01,DMOI-RF-LSS-SCPB-ASSIGN-002,DMOI-RF-LSS-CPRL-RETURN-02,missing_capture_policy_authority_return_and_query_term_return,false
affected_service_option_assignment,DMOI-RF-LSS-CPRL-ASSIGN-003,RF-SEM-SLOT-01,DMOI-RF-LSS-SCPB-ASSIGN-003,DMOI-RF-LSS-CPRL-RETURN-03,missing_capture_policy_authority_return_and_query_term_return,false
affected_service_option_assignment,DMOI-RF-LSS-CPRL-ASSIGN-004,RF-SEM-SLOT-01,DMOI-RF-LSS-SCPB-ASSIGN-004,DMOI-RF-LSS-CPRL-RETURN-04,missing_capture_policy_authority_return_and_query_term_return,false
