answer_intake_template_row_id,parent_public_metadata_question_row_id,parent_public_metadata_refresh_row_id,route_family,question_class,blocker_classes_addressed_if_returned,required_return_fields,private_or_contact_trap_carried_forward,intake_row_status,dated_non_personal_route_return,return_date_or_timestamp,non_personal_return_source_or_role,route_label_scope,owner_or_addressee_role,dispatch_medium_class,local_standard_authority_yes_no,license_or_reuse_boundary,exclusion_or_scope_note,private_field_avoidance_confirmation,evidence_artifact_id,evidence_artifact_path,evidence_artifact_sha256,answer_summary,answer_field_filled,evidence_intake_allowed_after_return,route_assignment_allowed_after_return,dispatch_allowed_after_return,response_or_return_present,personal_contact_details_copied,raw_source_body_cached,source_text_or_excerpt_copied,proposed_surface_filled,current_translation_filled,pilot_ready
DMOI-RF-LSS-ORPMAIT-01,DMOI-RF-LSS-ORPMQ-01-A,DMOI-RF-LSS-ORPMR-01,language_terminology_service_route_candidate,language_service_scope_and_owner_question,route_label_missing; addressee_or_owner_missing; license_context_note_missing,dated_non_personal_route_return; route_label_scope; owning_unit_or_role; reuse_or_citation_boundary,false,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-02,DMOI-RF-LSS-ORPMQ-01-B,DMOI-RF-LSS-ORPMR-01,language_terminology_service_route_candidate,language_service_dispatch_medium_question,dispatch_medium_missing; local_standard_route_missing,dated_non_personal_route_return; dispatch_medium_class; service_category_scope; local_standard_authority_yes_no,false,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-03,DMOI-RF-LSS-ORPMQ-02-A,DMOI-RF-LSS-ORPMR-02,language_terminology_service_route_candidate,language_service_scope_and_owner_question,route_label_missing; addressee_or_owner_missing; license_context_note_missing,dated_non_personal_route_return; route_label_scope; owning_unit_or_role; reuse_or_citation_boundary,false,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-04,DMOI-RF-LSS-ORPMQ-02-B,DMOI-RF-LSS-ORPMR-02,language_terminology_service_route_candidate,language_service_dispatch_medium_question,dispatch_medium_missing; local_standard_route_missing,dated_non_personal_route_return; dispatch_medium_class; service_category_scope; local_standard_authority_yes_no,false,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-05,DMOI-RF-LSS-ORPMQ-03-A,DMOI-RF-LSS-ORPMR-03,public_information_request_route_candidate,public_information_scope_question,route_label_missing; local_standard_route_missing,dated_non_personal_route_return; public_information_scope; local_standard_authority_yes_no; requester_private_fields_avoidance,true,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-06,DMOI-RF-LSS-ORPMQ-03-B,DMOI-RF-LSS-ORPMR-03,public_information_request_route_candidate,private_field_trap_avoidance_question,addressee_or_owner_missing; dispatch_medium_missing; license_context_note_missing,dated_non_personal_route_return; non_personal_role_or_exclusion; private_field_avoidance_confirmation; license_or_public_record_boundary,true,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-07,DMOI-RF-LSS-ORPMQ-04-A,DMOI-RF-LSS-ORPMR-04,institutional_directory_route_candidate,institutional_directory_contact_trap_question,addressee_or_owner_missing; dispatch_medium_missing,dated_non_personal_route_return; non_personal_office_or_exclusion; contact_details_not_copied_confirmation; dispatch_medium_class_if_allowed,true,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-08,DMOI-RF-LSS-ORPMQ-04-B,DMOI-RF-LSS-ORPMR-04,institutional_directory_route_candidate,institutional_source_owner_scope_question,route_label_missing; local_standard_route_missing; license_context_note_missing,dated_non_personal_route_return; route_owner_scope; local_standard_authority_yes_no; reuse_or_license_boundary,true,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-09,DMOI-RF-LSS-ORPMQ-05-A,DMOI-RF-LSS-ORPMR-05,institutional_service_desk_route_candidate,service_desk_scope_question,route_label_missing; dispatch_medium_missing,dated_non_personal_route_return; service_desk_scope; route_forwarding_scope; dispatch_medium_class_if_allowed,false,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-ORPMAIT-10,DMOI-RF-LSS-ORPMQ-05-B,DMOI-RF-LSS-ORPMR-05,institutional_service_desk_route_candidate,service_desk_exclusion_question,addressee_or_owner_missing; local_standard_route_missing; license_context_note_missing,dated_non_personal_route_return; exclusion_reason; local_standard_authority_yes_no; license_context_scope,false,blank_template_waiting_for_dated_non_personal_route_return,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false
