reviewer_scope_row_id,parent_gap_check_row_id,parent_pointer_row_id,packet_unit,reviewer_role,decision_prompt,required_return,source_systems_implicated,olp_shelf_ids,dmoi_catalog_row_ids,open_gap_field_count_referenced,no_surface_gate,no_source_text_gate,no_translation_gate,status
ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,"Confirm whether proof-reading and definition-use support should be a preliminary source-scope packet, and whether OLP and DMOI must be separated before any excerpt candidate register.",include/defer/split decision with source-system scope; no source prose or surface forms,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-METHODS-PROOFS-READING-01; OLP-METHODS-USING-DEFINITIONS-01,DMOI-RF-CAT-01,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,"Decide whether set membership, subset, and equality language may be scoped together with relation/function boundary material, or whether it needs a separate first packet.",scope decision with prerequisite route notes; no local terms accepted,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-SETS-BASICS-01,DMOI-RF-CAT-01,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,"Classify whether domain, codomain, range/image, and mapping-arrow reading belong in one reviewer packet or must be split across source-system and local-register reviews.",include/split/defer decision with source-system and local-register gates,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-02; DMOI-RF-CAT-06,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-04,ODRF-ATTR-GAP-04,ODRF-PTR-04,function_as_relation_boundary,domain_mathematics_reviewer,"Decide whether function-as-relation boundary language is starter material, comparator material, or advanced deferred material for the relation/function lane.",boundary decision with source-route constraints; no excerpt or wording,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-FUNCTIONS-BASICS-01; OLP-SFR-RELATIONS-01,DMOI-RF-CAT-01,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-05,ODRF-ATTR-GAP-05,ODRF-PTR-05,injective_surjective_bijective,domain_mathematics_reviewer,"Decide whether injective, surjective, and bijective language is allowed in the first source-aware packet or should wait for a function-property packet.",property-family scope decision and next-gate recommendation,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-03,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-06,ODRF-ATTR-GAP-06,ODRF-PTR-06,relation_properties,domain_mathematics_reviewer,"Decide whether reflexive, symmetric, antisymmetric, and transitive relation properties should be scoped as a separate relation-property packet.",relation-property packet decision with line-span and local-register prerequisites,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-RELATIONS-01,DMOI-RF-CAT-07,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-07,ODRF-ATTR-GAP-07,ODRF-PTR-07,equivalence_order_poset,advanced_scope_reviewer,"Decide whether equivalence relations, orders, and posets are advanced deferred material or eligible as a later source-aware bridge packet.",advanced/defer decision with no surface forms,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-RELATIONS-01,DMOI-RF-CAT-04,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-08,ODRF-ATTR-GAP-08,ODRF-PTR-08,composition_inverse,domain_mathematics_reviewer,Decide whether composition and inverse language belongs with core function vocabulary or should wait for an operation-specific sidecar.,operation-scope decision and next-gate recommendation,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-05,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-09,ODRF-ATTR-GAP-09,ODRF-PTR-09,finite_infinite_equinumerosity,advanced_scope_reviewer,Decide whether finite/infinite and same-size-by-bijection language should remain outside the first relation/function undercoverage packet.,finite/infinite scope decision; no local terms or source excerpts,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-SIZE-OF-SETS-01,DMOI-RF-CAT-03; DMOI-RF-CAT-08,14,true,true,true,blank_waiting_for_non_personal_scope_return
ODRF-RSCOPE-10,ODRF-ATTR-GAP-10,ODRF-PTR-10,high_density_source_shelf_selection,source_selection_reviewer,"Decide which high-density OLP/DMOI shelves may feed a later exact line-span candidate register, and whether OLP/DMOI must remain separate by license posture.",source-selection scope decision and exact-line-span preconditions only,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,OLP-SFR-SETS-BASICS-01; OLP-SFR-FUNCTIONS-BASICS-01; OLP-SFR-RELATIONS-01,DMOI-RF-CAT-08,14,true,true,true,blank_waiting_for_non_personal_scope_return
