priority,area,arxiv_id,title,year,why_translate,status
P0,GNSS-denied / VIO / SLAM,2510.01348,Kilometer-Scale GNSS-Denied UAV Navigation via onboard mapping/planning/localization and drift correction,2025,Directly relevant to long-range GNSS-denied navigation with embedded compute and drift correction; use as applied VIO/SLAM bridge.,source to fetch / translate
P0,GNSS-denied / robust V-SLAM,2605.03678,Robust Visual SLAM for UAV Navigation in GPS-Denied and Degraded Environments,2026,"Compares ORB-SLAM3, DPVO, DROID-SLAM, DUSt3R, MASt3R under degradations and embedded constraints; good practical survey/benchmark module.",source to fetch / translate
P0,Visual-inertial navigation,2502.00575,DeepUKF-VIN: Deep Unscented Kalman Filter for Visual-Inertial Navigation,2025,"Connects camera+IMU fusion, quaternion filtering, adaptive covariance; excellent bridge after ESKF/Kalman.",source to fetch / translate
P0,Event sensor fusion / odometry,2410.15480,Event-based Sensor Fusion and Application on Odometry,2024,Already staged; finish section-level QA and integrate with event-camera residual/math module.,staged / finish QA
P0,Multi-sensor fusion survey,2506.19769,A Survey of Multi-sensor Fusion Perception for Embodied AI,2025,"Already translated as standalone; use as broad taxonomy for multi-modal, multi-view, time-series and multi-agent fusion.",translated / QA
P1,Event-enhanced sensor fusion,2605.04355,InterFuserDVS: Event-Enhanced Sensor Fusion for Safe Autonomous Driving,2026,Useful for DVS/RGB/LiDAR fusion and transformer token fusion; lower priority than odometry-specific event work.,triage
P1,Embedded event odometry,2604.08060,TinyDEVO: Deep Event-based Visual Odometry on Ultra-low-power hardware,2026,Potentially high utility for onboard processing and ultra-light compute constraints.,triage
P1,Wireless + SLAM survey,2602.06995,When Simultaneous Localization and Mapping Meets Wireless Communications,2026,"Bridges RF localization, V-SLAM, wireless sensing and Bayesian filtering.",triage
P1,FHSS / resilient comms,2601.06095,Deep Q-Network Based Resilient Drone Communication: Neutralizing First-Order Markov Jammers,2026,Ukrainian-authored/affiliated names; useful as math/RL/FHSS simulation case.,triage / source fetch
P1,Anti-jamming survey,2508.11687,Agent-Based Anti-Jamming Techniques for UAV Communications: Survey,2025,"Good high-level taxonomy of perception-decision-action, game theory and RL for jamming resilience.",triage
P1,Adaptive channel access,2502.04963,Fast Adaptive Anti-Jamming Channel Access via Deep Q-Networks,2025,Good mathematical model for dynamic jammer/channel-access RL.,triage
P1,Multi-agent relay networks,2512.08341,Multi-Agent Deep Reinforcement Learning for Collaborative UAV Relay Networks under Jamming Attacks,2025,MARL/CTDE/QMIX-style swarm communication resilience; useful after single-agent FHSS module.,triage
P2,Event SLAM benchmark,2604.24033,Event-based SLAM Benchmark for High-Speed Maneuvers,2026,Dataset/benchmark orientation; useful for evaluation module after core event odometry.,triage
