source page/address	inherited error or omission	source-backed correction/disposition
physical 1 / printed 237 / collected 289	Upper-case title; strict >3; aux points; H_n in the Jacobian quotient; prose for (=principalement polarisée); modernized source parentheses and i.e.	Restored exact source title capitalization, >=3, en les points, H^n lattice, (=principalement polarisée), source parentheses, and literal i.e.; corresponding mathematics corrected in English.
physical 2 / printed 238 / collected 290	Qualifier parentheses dropped; (purement algébrique) recast; transition after (1.1.3) omitted; Tate inverse system simplified.	Restored parenthetical qualifier, source parenthesis, missing transition sentence, Z(1)_{Z/r}=dfn..., inverse-limit index r, and x->x^{ell^{r-prime minus r}} transition.
physical 3 / printed 239 / collected 291	H^k(X,C) substituted for H^k(X,Omega_X^*); French inserted a after (1.3.2); (unique), alpha, and citation forms normalized.	Restored Omega_X^*, preserved printed French Il un sens purement algébrique, restored une (unique), source alpha, and visible citation forms; English translates the French sentence grammatically.
physical 4 / printed 240 / collected 292	Visible Z_l(1) twists in (1.6.2) replaced by expected Z_l(m); left-subscript polarization notation flattened; Omega^* and connection(s)/references normalized.	Preserved source Z_l(1) in both factors, left-subscript s-psi forms, Omega^*, literal French connection(s), and source references without mathematical-plausibility substitution.
physical 5 / printed 241 / collected 293	Iota replaced by t; (très) parentheses and [9] p. 19/EGA III omitted; triangle flattened; H^0 proof map paraphrased and p_* changed to pi_*.	Restored iota system, (très) ample, citation, exact Y-P_T^{n+v}-T triangle with hook j and g/p arrows, literal H^0(P_{bar t}^{n+v},O(k)) to H^0(Y_{bar t},O(k)) map, and p_* direct image.
physical 6 / printed 242 / collected 294	Scheme pair overline S-prime_Z / S-prime_Z recast as S-prime_Z / S-prime-zero_Z; resp. and Lefschetz citation expanded; full reader overran the assigned page.	Restored visible scheme symbols and roles, source resp. and [6] Ch V, III p. 106 wording, and terminated both readers exactly after L'isomorphie de deux / The isomorphism of two.
physical 7 / printed 243 / collected 295	The integral-lattice intersection v''^{-1}(H^1(A_s,Z)) ∩ H^1(J(X_s),Z) was omitted; s/S and literal i.e. were normalized; left-subscript polarizations, scalar fields, and the theorem triangle were altered, including P_V^r -> P^N_{Spec(V)}.	Restored the full lattice expression, visible s/S distinction and i.e., all left-subscript forms and coefficient fields, 'déduire de là', and the exact X hook->P_V^r / Spec(V) triangle.
physical 8 / printed 244 / collected 296	The theorem's split condition was compressed; S_K (1.8) was shortened; the left-subscript principal polarization, repeated a in 2.3(a), guillemets, and Bourbaki citation were regularized.	Restored the two-part (*) display, 1.8 cross-reference, left-subscript polarization, 'un nombre a, a ayant', source quotation punctuation, and 'Bourbaki, Alg Chap 2 §8 Th 1'.
physical 9 / printed 245 / collected 297	The printed French anomalies 'Pout tout entier' and 'ell-adique 2.5 de' were silently corrected; S_{Z[1/b]} was normalized; the compatibility parenthesis was absorbed; M_{ell_0^infty}=lim_c M_{ell_0^c} became generic M_infty; F_{Kbar} became F_{eta-bar}; the prime on J'_s was dropped; the prior accepted state also regularized the point-count display by adding q_s and P^{n+v}.	Preserved the printed anomalies and restored the source notation, exact ell_0-power inverse system, Kbar fibers, J'_s, and the literal q^{-m}(#P(k(s)) - #X_s(k(s))) point-count expression with no added q subscript or P superscript.
physical 10 / printed 246 / collected 298	The two opening trace identities were reduced to prose; Čebotarev was modernized; the printed GL(R^n f_* Z_ell(m)) proof term was silently changed to the expected mod-ell term; b became b_ell.	Restored both trace displays, source spelling, the printed Z_ell(m) proof term despite the lemma statement, and literal b in Z_ell^*.
physical 11 / printed 247 / collected 299	French 'repecte' was corrected; left-subscript De Rham polarization and citation syntax were flattened; (I,K), mu:G_K x_K S_K and mu^*/pr_2^* became beta notation; the reader overran into page 12.	Preserved the source typo diplomatically, restored all source notation and the (2.7.b)) citation, and terminated P02 exactly after 2.12(b) at the page-11 boundary.
physical 12 / printed 248 / collected 300	The 2.12(c)-(d) continuation lost nested (alpha_ell) parentheses; all tildes on S~, J~ and S~_k were stripped; S_{Z[1/k]} and 2.3.e) were normalized; the visible S~=S in 3.3 became S=S_Z.	Restored 2.12(c)-(d), (J,(alpha_ell)), every tilded scheme, source base/cross-reference notation, S~_{kQ}, and the printed conjectural equality S~=S.
physical 13 / printed 249 / collected 301	Tildes were removed; x'' and bars on Xbar/Jbar were omitted; the parenthetical geometric-Frobenius qualifier was recast; bibliography entries 1-8 were regularized, including singular Period and source language/punctuation.	Restored J~->S~, x~, x'', Xbar/Jbar, the Frobenius parenthesis and (3.5.1), plus source bibliography wording, capitalization, languages, the 'P.A.,:' punctuation and separated double stop in item 1, the same 'P.A.,:' in item 5, singular 'Period', and 'Chelsea publ. Co.'.
physical 14 / printed 250 / collected 302	Entry 10 capitalization and quotation were modernized; EGA/SGA punctuation and the parenthesized distribution note were changed; address/received matter was normalized or at risk of truncation; physical EOF was not proved.	Restored entries 9-11, lower-case 'la', 'EGA. Eléments...', 'SGA 7 bis ... (Diffusé par l'IHES.)', the authority address, '(Reçu le 26 août 1971)', and the physical EOF.
