decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-P14N-TERM-001,terminology,corrected_french_tex,SGA2-VIII-P14N,demonstration laissee au lecteur,French line2583,opening sentence,the proof is left to the reader,source_close_mathematical_register,none,the proof is omitted,preserve deliberate source disposition,production_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,independent prose review
SGA2-VIII-P14N-TERM-002,note_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N,Cf aussi,French line2583 and physical77 footnote,footnote,See also,standard_English_reference_register,none,Compare also,idiomatic expansion of the printed cross-reference,production_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,SGA-wide citation policy revision
SGA2-VIII-P14N-TERM-003,reference_policy,corrected_french_tex,SGA2-VIII-P14N,une notation introduite dans expose V,French line2585,recall sentence,a notation introduced in Expose V,source_close_register,none,the notation of Expose V,preserve singular indefinite source phrasing,production_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,independent reference review
SGA2-VIII-P14N-TERM-004,terminology,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N,complexe simple,French line2588 and physical77,Notation definition,simple complex,source_named_construction,could be modernized as total complex,total complex,preserve source label and cross-SGA historical register,production_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,SGA-wide homological terminology revision
SGA2-VIII-P14N-TERM-005,terminology,corrected_french_tex,SGA2-VIII-P14N,composante de degre n,French line2588,first formula introduction,component of degree n,standard_mathematical_English,none,degree-n component,both are valid but source-close prose matches current lane register,production_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,independent prose review
SGA2-VIII-P14N-TERM-006,notation_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N,partial subscript n,French lines2592-2593 and physical77,differential display,retain partial subscript n,source_notation_preservation,candidate changes it to superscript n,partial superscript n,both authority layers show the subscript so candidate is a regression,production_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,authority correction or independent formula review
SGA2-VIII-P14N-TERM-007,formula_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N,product over negative p plus q equals n,French line2589 and physical77,component display,retain product and exact index condition,source_formula_preservation,none,direct sum or p plus q equals n,changing either operator or index changes the complex,production_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,independent formula review
SGA2-VIII-P14N-TERM-008,formula_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N,d prime plus negative one exponent n plus1 d double prime,French line2593 and physical77,differential display,retain sign exponent and prime order,source_formula_preservation,none,use exponent n or reverse the two terms,exact sign convention is formula-sensitive,production_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,independent sign review
SGA2-VIII-P14N-TERM-009,comparison_policy,comparison_only_not_authority,SGA2-VIII-P14N,jcreinhold proof and notation prose,jcreinhold lines149-169,comparison audit,use only after exact source matching,comparison_only_lineage,one LLM lineage gives no independent corroboration,treat current Markdown as source authority,standing SGA-wide source-control rule,comparison_choice_applied_after_source_match,high,1,French source line2597 after blank line2596,upstream candidate revision
SGA2-VIII-P14N-TERM-010,locator_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N,pageoriginale at line2588,French line2588 and physical77,all ledgers,record printed86-87 physical77 running69 separately,coordinate_system_separation,one physical page spans two original printed pages,collapse to a single page number,manager requires distinct current source printed and physical coordinates,production_locator_choice_applied_self_review_pending,high,1,French source line2597 after blank line2596,independent page review
SGA2-VIII-P14N-TERM-011,extraction_hygiene,corrected_french_tex_plus_fresh_direct_compiled_pdf,SGA2-VIII-P14N,outer matched delimiters around Hom-complex component,French lines2588-2589 direct physical77 and pre-review extraction,component formula,use ordinary matched parentheses preserving identical grouping,target_text_extraction_hygiene,pre-review extensible delimiters produced U+0001,retain the forbidden control or remove the grouping,final independent extraction has zero forbidden controls with formula meaning unchanged,applied_independently_confirmed,high,2,French source line2597 after blank line2596,target formula or extractor revision
SGA2-VIII-P14N-TERM-012,review_state_control,corrected_french_tex_plus_fresh_direct_compiled_pdf,SGA2-VIII-P14N,stale independent-review-pending disclosure,pre-review target authority box,target authority box,state independently source-reviewed bounded unit while cumulative integration remains pending,review_disclosure_revision,mathematical body unchanged,retain stale pending-review wording or imply cumulative completion,make rendered disclosure match the completed independent gate without broadening scope,applied_independent_review,high,2,French source line2597 after blank line2596,cumulative integration or review-state change
