alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-P14N-ALIGN-001,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N,,2583-2595,86-87,77,69,complete bounded proof comment and notation,complete,cover proof note footnote recall simple Hom complex formulas induced differentials then stop before line2597,production_draft_source_compared_self_gate_pending,high,none,include the double-complex construction,INBOUND:SGA2-VIII-P14S;OUTBOUND:SGA2-VIII-Q12,French source line2597 after blank line2596,independent source formula page and boundary review,1
SGA2-VIII-P14N-ALIGN-002,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N-PROOF,SGA2-VIII-P14N,2583,86,77,69,proof comment and footnote,complete,preserve left-to-reader status and corrected Cartan-Eilenberg bibliographic note,production_source_compared_self_review_pending,high,none,invent a proof or omit the footnote,SGA2-VIII-P14N-BIB,French source line2597 after blank line2596,independent prose and bibliography review,1
SGA2-VIII-P14N-ALIGN-003,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N-RECALL,SGA2-VIII-P14N,2585,86,77,69,recall sentence,complete,preserve the explicit reference to a notation introduced in Expose V,production_source_compared_self_review_pending,high,none,omit the cross-volume reference,INBOUND:SGA2-V,French source line2597 after blank line2596,independent reference review,1
SGA2-VIII-P14N-ALIGN-004,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N-SIMPLE,SGA2-VIII-P14N,2587-2588,86-87,77,69,simple Hom complex definition,complete,preserve X and Y and the named simple complex in degree n,production_structure_source_compared_self_review_pending,high,none,rename it total complex without recording the choice,SGA2-VIII-P14N-COMP,French source line2597 after blank line2596,independent terminology and structure review,1
SGA2-VIII-P14N-ALIGN-005,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N-COMP,SGA2-VIII-P14N,2588-2590,87,77,69,degree component and alias,complete,preserve superscript n product index and Hom-n alternative notation,production_formula_source_compared_self_review_pending,high,none,change the summation constraint or omit the alias,SGA2-VIII-P14N-SIMPLE;SGA2-VIII-P14N-DIFF,French source line2597 after blank line2596,independent formula review,1
SGA2-VIII-P14N-ALIGN-006,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N-DIFF,SGA2-VIII-P14N,2590-2595,87,77,69,differential definition,complete,preserve subscript n arrow to degree n-plus-1 sign exponent and degree-plus-1 induced differentials,production_formula_source_compared_self_review_pending,high,candidate changes partial subscript to superscript,adopt candidate superscript without authority support,SGA2-VIII-P14N-COMP;SGA2-VIII-P14N-CAND,French source line2597 after blank line2596,independent sign and index review,1
SGA2-VIII-P14N-ALIGN-007,comparison_alignment,comparison_only_not_authority,SGA2-VIII-P14N-CAND,SGA2-VIII-P14N,2583-2595,86-87,77,69,jcreinhold lines149-169 comparison,complete,use only source-matched idiomatic prose and reject its partial superscript,comparison_delta_recorded_self_review_pending,high,one LLM lineage and notation regression,treat candidate as source authority,SGA2-VIII-P14N-PROOF;SGA2-VIII-P14N-DIFF,French source line2597 after blank line2596,upstream candidate revision or independent notation review,1
SGA2-VIII-P14N-ALIGN-008,source_locator,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N-PAGE,SGA2-VIII-P14N,2583-2595,86-87,77,69,printed physical and running page controls,complete,record the original-page marker at line2588 without changing physical or running locators,production_locator_source_compared_self_review_pending,high,one physical page contains two printed-page coordinates,collapse all coordinates into page87,SGA2-VIII-P14N-SIMPLE,French source line2597 after blank line2596,independent page review,1
SGA2-VIII-P14N-ALIGN-009,source_boundary,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14N-BOUND,SGA2-VIII-P14N,2595-2597,87,77,69,notation close blank2596 and construction cursor2597,complete,stop after induced-differentials sentence and exclude line2597,production_boundary_source_compared_self_review_pending,high,none,include the A-bullet construction,OUTBOUND:SGA2-VIII-Q12,French source line2597 after blank line2596,independent boundary review,1
SGA2-VIII-P14N-ALIGN-010,independent_review_closure,corrected_french_tex_plus_fresh_direct_compiled_pdf,SGA2-VIII-P14N-QA,SGA2-VIII-P14N,2583-2597,86-87,77,69,independent bounded seal build render extraction and exact cursor,complete,seal lines2583-2595 after direct bilingual note formula notation page boundary build extraction and visual review,independently_source_reviewed_sealed_bounded_unit,high,pre-review extraction control corrected without mathematical change,claim cumulative integration or include line2597,SGA2-VIII-P14N-PROOF;SGA2-VIII-P14N-BIB;SGA2-VIII-P14N-SIMPLE;SGA2-VIII-P14N-COMP;SGA2-VIII-P14N-DIFF;SGA2-VIII-P14N-PAGE;SGA2-VIII-P14N-BOUND;SGA2-VIII-P14N-EXTRACT;OUTBOUND:SGA2-VIII-Q12,French source line2597 after blank line2596,cumulative integration authority revision or target reflow,2
