lane,unit,completion_class,progress,evidence,caveat,next_action
Bianchi,A1 Lezioni di geometria differenziale,work-complete-working/auditfixed,543/543 source pages,"Bianchi_A1_complete_p0001_0543_IT_EN_source_witness_auditfix_20260613.zip","Not full Bianchi; human visual spot-check still wise","Decide whether to bless A1 or continue A2 from p0136"
Bianchi,A2 Lezioni gruppi continui finiti,partial-active,135/734 source pages,"99_Bianchi_Public_Summary_A2_p0135_20260613.json; A2 README/ledgers","Explicitly working-not-critical","Continue from p0136 if Bianchi resumes"
Bianchi,B1 Lezioni teoria numeri algebrici,queued,0/662 source pages,"Prior Bianchi queue notes","No production found in this pass","Stage/source-audit before production"
Bianchi,C1 Galois substitutions/equations,queued,0/433 source pages,"Prior Bianchi queue notes","No production found in this pass","Stage/source-audit before production"
Kneser,Adolf Kneser Lehrbuch der Variationsrechnung,partial-active near-finish,248/336 source pages,"Kneser_LVR_p0234_0248_DE_EN_20260613; WORKLIST_PROGRESS.json","Not complete; global critical audit later","Finish remaining 88 pages from p0249"
Frobenius,Selected group-character-hypercomplex cluster,selected-complete,10/10 selected items; 221/221 selected pages,"Frobenius_all_GE_EN_cum_scans_RA05_20260613; RA05_recursive_audit_report.md","Not whole Frobenius; item059 source caveat","Treat as done pending spot checks or expand scope"
Gordan,De linea geodetica,work-complete-working,47/47 intake pages,"Gordan de linea progress summary","Needs spot audit before critical-public status","Spot check or park as completed island"
Gordan,Formensystem,work-complete-working,authorial p1-p52,"Gordan Formensystem audit reports","Formula/source audit separate from prose omission audit","Spot check formula layer"
Gordan,Theta transformation,work-complete-working,PA1-PA20 witness coverage,"Gordan Theta package/audit lineage","Includes duplicate/blank witness artifacts around PA18-PA19","Spot check final authorial page and apparatus"
Gordan,Clebsch-Gordan Abelsche Functionen,work-complete-working,authorial body through p355,"Gordan Abelsche final auditfix reports","Working draft; not certified critical edition","Spot check dense math sections"
Gordan,Vorlesungen Bd.1,partial-active,p001-p028 started,"Gordan VB1 packages","Large work barely started","Continue if prioritizing Gordan"
Steinitz,Defined corpus,partial-active finite queue,"many works complete; remaining about 235 pages plus audits","Steinitz _codex_audit_20260623","Mixed lineage; not globally critical-certified","Continue Bedingt III p14 then Polyeder/Raumeinteilungen"
Weber,Lehrbuch cumulative,large mature draft not certified,"full V1/V2/V3 cumulative exists; 112 active ledger closed","Weber Batch139 status","Off-ledger/global audits remain","Do source-critical closure pass"
Noether,Collected corpus,active not complete,"R122 and source-critical ledgers active","Noether Multilingual R122/R120+","Downstream Slavic depends on canonical German","Continue source-critical audit/fixes"
SGA5/SGA6,SGA repair lanes,active not complete,"many repair packages","SGA continuation folders","Still finding real defects","Continue page/diagram/source-to-TeX certification"
