lane,main_local_path,actual_work_seen,completion_class,completion_estimate,quality_status,next_action
Steinitz,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Steinitz","Many works complete; live edge 1916 Bedingt III p001-013 of 52; later Polyeder and isoperimetric works not started","partial-active finite queue","Most defined short works complete; remaining defined queue about 235 pages plus spot audits","Mixed: strict redo for 1894/1897/1906; Steinitz_30 lineage needs spot audit; 1908 source only 300 ppi","Continue Bedingt III from source p14; then Polyeder/Raumeinteilungen"
Weber,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Weber restart","Full V1/V2/V3 cumulative TeX/PDF exist; Batch139 says active 112-ledger closed 112/112","large mature draft not certified","Readable corpus exists; global source-critical audit still open","Off-ledger range-tag/section-boundary/symbol-substitution audits remain","Build clean status table from Batch139 and remaining off-ledger targets"
Gordan,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Gordan","De linea 47/47; Formensystem authorial p1-p52; Theta PA1-PA20; Clebsch-Gordan Abelsche through p355; Vorlesungen Bd1 p001-028 started","mixed: several work-complete packages, whole-author partial","Whole-author not close; several short/medium works complete-looking; Vorlesungen barely started","Formensystem OCR prose audit found no German prose omission; Theta unit ledger complete except duplicate/blank witness pages; Abelsche has targeted symbol audit; Vorlesungen has 600ppi GDZ source","Continue Vorlesungen Bd1 if prioritizing Gordan; later do human spot checks on completed small works"
Bianchi,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Bianchi","A1 complete p0001-0543 auditfix package inspected; A2 cumulative through p0135; B1 and C1 queued not started","A1 work-complete-auditfixed; A2 partial-active","A1 543/543 source pages = 100%; A2 about 135/734 source pages = about 18%; B1 0/662; C1 0/433","A1 post-completion auditfix has tag/display/equation/TikZ parity metrics and clean logs; A2 explicitly working-not-critical","If Bianchi resumes: either close A1 after human visual spot-check or continue A2 from p0136"
Kneser,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Kneser","Adolf Kneser Lehrbuch der Variationsrechnung p0011-p0248 done","partial-active near finish","248/336 source pages = 73.8%; next p0249","Current tranche had source-visible symbol pass and build checks; global critical audit still later","Finish remaining 88 pages from p0249"
Frobenius,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Frobenius","Selected group-character-hypercomplex corpus items 053,054,056,057,058,059,060,061,070,071 complete","selected-complete","10/10 selected items; 221/221 selected intake pages","RA05 recursive audit fixed structural/cumulative issues; item059 source caveat remains","Treat selected cluster as done pending spot checks; expand only if doing full Frobenius"
Noether,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Noether Multilingual","R122 active; R123 web work stuck un-packaged; many source upgrades and downstream Slavic packages","partial-active high priority","Not complete; active source-critical queue continues from P34/P35/P36 etc.","Strict high-res source-critical workflow required; downstream translations depend on this","Recover/reproduce R123 if needed; continue German source audit"
SGA5_SGA6,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\SGA continuation 2","SGA6 repair107 latest; SGA5/SGA6 repair/audit packages present","partial-active repair lane","Not globally page-by-page certified","Useful workflow is source crops + TeX anchors, not broad OCR","Continue repair/certification from latest todo"
Deligne,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\deligne restart","Cum.zip and many diagram/OCR witness packages","partial-active","Not assessed deeply in this pass","Diagram microgeometry risk; current crop/anchor workflow applies","Audit latest Cum.zip and diagram coverage"
Cayley,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Cayley","Vol I critical/restart packages through early pages around p001-p045","partial-active","Very early relative to 13-volume corpus","High-cost lane, not close","Keep as valid parallel target, but not near-term finish"
Poincare,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Poincare","poincare_v1_26 extracted/status ledgers visible","partial-active","Tome I partial","IA/Gallica high-res source work exists; leaf concordance important","Continue Tome I from latest tranche"
Gauss,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Gauss","R38 public status and source refresh visible","partial-active","Not whole Gauss","GDZ source backfills present","Separate Gauss audit needed"
Dirichlet,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Dirichlet","R28 V1 IVb75-80 latest visible","partial-active","Early/partial Werke lane","Needs its own status rollup","Separate Dirichlet audit needed"
Dedekind,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\dedekind","DR22 V1X p95-100 latest visible","partial-active","Early/partial Werke lane","Needs its own status rollup","Separate Dedekind audit needed"
Sylvester,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Sylvester","sylv_b33 and Vol I audit files visible","partial-active","Vol I active; four-volume corpus not complete","Vol IV rescue exists; Vol II/III image/OCR workflow later","Separate Sylvester audit needed"
Seki,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Seki","Direct Kokusho p008-p018 docs/todo visible","partial-active","Small partial classical Japanese lane","High script/diagram risk; handwork only unless OCR proven","Continue only with high-res visual checking"
Mikami,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Mikami","realdiagrams p001-05x packages visible","partial-active","Partial","Diagram correctness risk already observed","Visual diagram audit before further certification"
Klein_Fricke,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Klein-Fricke","V1 authclean packages visible","partial-active","Partial","Not audited here","Separate audit needed"
Picard,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Picard","Tome 1 p001-107 packages visible","partial-active","Partial","Not audited here","Separate audit needed"
Kronecker,"C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Kronecker","early p01 packages visible","partial-active","Very early","Not audited here","Separate audit needed"
