"audit_generated_at_utc","witness_id","target_family","language_access_target","source_title","source_url","reachability_status","method_used","status_code","reason","final_url","content_type","content_length_header","error_type","error_message","local_path","recorded_sha256","license_permission_signal","topic_language_access_tags","audit_mode","non_claim_boundary"
"2026-07-04T20:25:24.3839341Z","R6-CR-P2-015","Creole/contact","Jamaican Creole / Jamaican Patois","Jamaica Early Childhood Curriculum Guide 4-5","https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf","reachable_headers_only","HEAD","200","OK","https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf","application/pdf","2163791","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_early_childhood_curriculum_guide_4_5.pdf","649c98526f7979c8ae017730bb522365eea135e44da8af98d8e2999709650bdc","license/reuse pending; source-owner/reviewer return required","Jamaican Creole / Jamaican Patois; creole/contact; official curriculum guide mentioning Jamaican patois/creole and mathematics concepts; source-canon","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-CR-P2-016","Creole/contact","Jamaican Creole / Jamaican Patois","Jamaica current STEM project stakeholder plan","https://moey.gov.jm/wp-content/uploads/2025/06/SEP-Jamaica-Education-Project-P178595-16-JUN-2025.pdf","reachable_headers_only","HEAD","200","OK","https://moey.gov.jm/wp-content/uploads/2025/06/SEP-Jamaica-Education-Project-P178595-16-JUN-2025.pdf","application/pdf","868128","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_education_project_sep_2025.pdf","2ec4e8c0e9fa78a62c01a5e76431941a3fe752346f1595dc26c354bd0f813e22","license/reuse pending; source-owner/reviewer return required","Jamaican Creole / Jamaican Patois; creole/contact; current official STEM/curriculum project context; not Patois witness; source-canon","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-KR-SAR-001","Creole/contact","Kreyol / Haitian Creole","MIT-Ayiti Matematik subject index","https://mit-ayiti.net/matye/matematik/","reachable_headers_only","HEAD","200","OK","https://mit-ayiti.net/matye/matematik/","text/html; charset=UTF-8","","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_index.html","b32e6dbb79d9eb78e49af78478b0704971d0b09eeadf7904c4c30fdb0206f4a2","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-KR-SAR-002","Creole/contact","Kreyol / Haitian Creole","MIT-Ayiti math teaching article","https://mit-ayiti.net/anseyman-matematik/","reachable_headers_only","HEAD","200","OK","https://mit-ayiti.net/anseyman-matematik/","text/html; charset=UTF-8","","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_anseyman_matematik.html","e60423506a27529b140f43bbaf327630dfc12daf2985ee53f8c26a2aeda85d27","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-KR-SAR-003","Creole/contact","Kreyol / Haitian Creole","Tiraj san remiz avek lod","https://mit-ayiti.net/resous/tiraj-san-remiz-avek-lod/","reachable_headers_only","HEAD","200","OK","https://mit-ayiti.net/resous/tiraj-san-remiz-avek-lod/","text/html; charset=UTF-8","","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_tiraj_san_remiz_avek_lod.html","05e2428742f1b70189e69b15cfa48f7d553a42656dc589cbce571e57bb446a21","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-KR-SAR-004","Creole/contact","Kreyol / Haitian Creole","CAPTEH - Matematik k ap bouyi sou 3 woch dife","https://mit-ayiti.net/resous/matematik-k-ap-bouyi-sou-3-woch-dife/","reachable_headers_only","HEAD","200","OK","https://mit-ayiti.net/resous/matematik-k-ap-bouyi-sou-3-woch-dife/","text/html; charset=UTF-8","","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_k_ap_bouyi_sou_3_woch_dife.html","34e8592f68d669158040dc025ba7e85c4af969cdb32b082db6ec36e8ce48785d","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-CR-P2-010","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","Mauritius MIE curriculum page","https://mie.ac.mu/curriculum.html","reachable_headers_only","HEAD","200","OK","https://mie.ac.mu/curriculum.html","text/html","16908","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum.html","6bf4f367f90237bd4b767dcfcd893b1f23ccbbed88cc75ab1633870f9b90376a","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum locator with Kreol Morisien/Kreol Rodrige resource pointers; source-canon","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-CR-P2-011","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","MIE curriculum books page","https://web.mie.ac.mu/curriculum_books/","reachable_headers_only","HEAD","200","OK","https://web.mie.ac.mu/curriculum_books/","text/html; charset=UTF-8","","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum_books.html","ef972eaf0ea191e456da7d6598ff7306b6fc8b494e7cb6784c08ec7e1440199b","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum/textbook locator with Kreol resources and practice papers; source-canon","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-CR-P2-012","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","MIE FPLNS implementation guidelines","https://web.mie.ac.mu/wp-content/uploads/2025/01/Implementation-guidelines_abridged.pdf","reachable_headers_only","HEAD","200","OK","https://web.mie.ac.mu/wp-content/uploads/2025/01/Implementation-guidelines_abridged.pdf","application/pdf","1330712","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_fplns_implementation_guidelines_abridged.pdf","7aabdbceec529a90f1268c78e9c89215353ee93b04492e80de8189eac917e270","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; Mauritius implementation guideline with Kreol Morisien/numeracy context; source-canon","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
"2026-07-04T20:25:24.3839341Z","R6-CR-P2-018","Creole/contact","Nigerian Pidgin","NERDC primary 4-6 mathematics curriculum","https://nerdc.gov.ng/content_manager/primary/pri4-6_maths.pdf","reachable_headers_only","HEAD","200","OK","https://nerdc.gov.ng/content_manager/primary/pri4-6_maths.pdf","application/pdf","1340205","","","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\nigeria_nerdc_pri4_6_maths.pdf","91fe69d3fed70762f334d3a5e850a062fbe542c16547c44b6f38da0de3683454","license/reuse pending; source-owner/reviewer return required","Nigerian Pidgin; creole/contact; official Nigerian mathematics comparator only; English, not Nigerian Pidgin; source-canon","headers_or_range_only_no_body_saved","URL reachability only; no source body saved, no source-authority, review, approval, license clearance, translation, or completion claim"
