metric,value
package,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_ARABIC_AUTHORITY_SUPPORT_20260706
timestamp_utc,2026-07-06T08:16:18Z
branch,codex/noether-pc-20260629
branch_head,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e
remote_verified,true
arabic_source_gated_rows,554
arabic_source_use_labels,"{""OCR-witness"": 80, ""active_summary"": 1, ""audit-ledger"": 19, ""covered_active_row"": 3, ""covered_active_row_manual_flag"": 3, ""generated-draft"": 3, ""manifest"": 3, ""method-note"": 10, ""native-source-body"": 221, ""native-source-body + OCR-witness"": 3, ""native-source-body + OCR-witness + pointer-only provenance"": 1, ""native-source-body + pointer-only provenance"": 1, ""no_active_insufficient_rows"": 1, ""non_active_gap_row"": 1, ""package-support"": 4, ""pointer-only"": 195, ""rejected"": 5}"
arabic_category_application_rows,7
arabic_adverse_do_not_use_rows,131
arabic_blocker_recovery_rows,62
github_issues,not used
git_push,not performed
boundary,"Arabic RTL authority support/generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
