path,role,status
SGA6_Expose_X_idx532_537_Spanish_SourceChecked.tex,editable Spanish translation,working source-checked tranche
output/pdf/SGA6_Expose_X_idx532_537_Spanish_SourceChecked.pdf,front-facing Spanish reader,derived after successful build
STATUS.md,scope and continuation,current
CONTINUATION_CURSOR.md,exact next source boundary,current
SOURCE_USE_NOTE.md,source-role declaration,current
SOURCE_MANIFEST.json,source hashes and normalization reconciliation,current
SOURCE_WITNESS_QA.md,direct inspection of all six printed-page witnesses,current
TERMINOLOGY_DECISIONS.csv,target terminology ledger,current
SOURCE_CORRECTION_LEDGER.csv,source/rescribe adverse evidence,current
SESSION_LOG.md,session record,current
BUILD.log,reproducible compilation transcript,derived
RENDER_NOTE.md,visual QA record,derived
validate.ps1,reproducible structural and build validation,current
QA_VALIDATION.json,machine-readable validation result,derived
QA_VALIDATION_CURRENT.json,local validator result generated on demand,derived and intentionally untracked
source_control/SGA6_Expose_X_CurrentCheckedFrench_through_2_4.tex,portable French source-control excerpt,authority copy
source_witness/,six copied source-page witnesses,authority copies
render_check/,rendered PDF pages,derived
SHA256SUMS.csv,package hashes,derived
