concept_id,source_french,spanish_form,evidence_channel,evidence_path,status,note
SGA6-X-TERM-001,schéma noethérien,esquema noetheriano,support,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\visible_50_tex_family\ES-B-002_notas-san-salvador,working,"Native body directly supports noetheriano; compound is context-consistent"
SGA6-X-TERM-002,module cohérent,módulo coherente,candidate,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files,working,"Mathematical sense preserved; exact compound awaits broader native-row review"
SGA6-X-TERM-003,faisceau,haz,support,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\visible_50_tex_family\ES-B-002_notas-san-salvador\esquemas\esquemas.tex,working,"Native source explicitly glosses sheaf/faisceau as haz"
SGA6-X-TERM-004,sous-schéma intègre fermé,subesquema cerrado integral,support,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files,working,"Native bodies support subesquema cerrado; integral is a sense-preserving qualifier"
SGA6-X-TERM-005,support,soporte,support,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish,working,"Direct Spanish mathematical occurrences"
SGA6-X-TERM-006,longueur,longitud,support,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files,working,"Direct Spanish algebraic occurrences; module-length sense still internally checked from context"
SGA6-X-TERM-007,morphisme propre,morfismo propio,candidate,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files,working,"Standard target form used; broader row verification pending"
SGA6-X-TERM-008,module localement libre,módulo localmente libre,candidate,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files,working,"Literal mathematical sense; broader row verification pending"
SGA6-X-TERM-009,lemme de dévissage,lema de dévissage,candidate,C:\IL_GitHub\00_main_current\sources\ega,working,"Technical loan retained to avoid an unverified paraphrase"
SGA6-X-TERM-010,loi de composition,ley de composición,candidate,C:\IL_GitHub\00_main_current\sources\sga,working,"Context-defined K-theory operation; not ordinary composition of maps"
