"Lane","Path","RelativePath","Extension","Bytes","LastWriteUtc","SHA256"
"noether-r7-malay-sea-pacific","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\SHA256SUMS.txt","noether-r7-malay-sea-pacific\outputs\SHA256SUMS.txt",".txt","98736","2026-07-06T08:12:18.0729345Z","30DE750373366FCA715AC23E22D4108CAB352854D151178636AF5A4E9423BE81"
"noether-r7-malay-sea-pacific","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\MANIFEST.csv","noether-r7-malay-sea-pacific\outputs\MANIFEST.csv",".csv","119481","2026-07-06T08:12:15.8506134Z","90D104FC6AA06F9C33CC768FB6FFE58AED8322B02C01902061B2B087C2164D41"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\NOETHER_INTERLANGUAGE_DURABLE_RUN_LOG_20260704.md","noether-interlanguage-method-authority\outputs\NOETHER_INTERLANGUAGE_DURABLE_RUN_LOG_20260704.md",".md","255841","2026-07-06T08:11:46.4451833Z","F78A3352ACE977954F54BA78F4203268062921E285D763E0FF4AAAD95D568836"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\FINAL_VALIDATION.json","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\FINAL_VALIDATION.json",".json","342","2026-07-06T08:11:46.4373616Z","70C2E28477997D0D416CF393D4A4EC802636C10597BD0265899684B339B8569A"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\SHA256SUMS.txt","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\SHA256SUMS.txt",".txt","2438","2026-07-06T08:11:46.0164659Z","844D961DDD08C461A77AE9DC4F7B3035F455AD97E36BA0FBB740C62643CE3A68"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\MANIFEST.csv","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\MANIFEST.csv",".csv","10365","2026-07-06T08:11:45.8544394Z","505DCCDBAE9C253418D455EF3F9FB8772F36DE2D2CC81CA146A7F1BD91D371C1"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\README.md","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\README.md",".md","1049","2026-07-06T08:11:43.9125558Z","93B77F041963038366BF408A93A72C43845F89631FD0A5362135EA30584AC352"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\B3_UPLOADER_READY_SUMMARY_AC6F4E.md","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\B3_UPLOADER_READY_SUMMARY_AC6F4E.md",".md","871","2026-07-06T08:11:43.9125558Z","7F6AF7D1A6274510F9AF118B97EB3E0DF2FF13A2975CC5E5597E2858504525E6"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\SESSION_LOGBOOK_20260706.md","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\SESSION_LOGBOOK_20260706.md",".md","951","2026-07-06T08:11:43.9105485Z","271D6609F010910EA09A8282CADF8A57FC5F955865F1BF02D4FE75228A1DEFE7"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\ACTIVE_SESSION_STATE.md","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\ACTIVE_SESSION_STATE.md",".md","656","2026-07-06T08:11:43.9105485Z","DD36F687998FF1578F5E2F8CA9BF1F1391F8F51DBF3317579DD903ACC33E5916"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\PACKAGE_SUMMARY.csv","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\PACKAGE_SUMMARY.csv",".csv","3747","2026-07-06T08:11:43.9085387Z","CD55E68040ECE9BCFF40F8243E709E2DC951EC51F42458DE466CD0ED6CCBE328"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\HEARTBEAT_20260706.md","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\HEARTBEAT_20260706.md",".md","936","2026-07-06T08:11:43.9085387Z","AA7A13A4E10C140561B983BA3EE4091DFA8887B717E6ECD56F75660C9ABDA1BF"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\PACKAGE_SUMMARY.json","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\PACKAGE_SUMMARY.json",".json","3997","2026-07-06T08:11:43.9065308Z","71A09971FA2E657FE051039DAE0EADAB55941E1545E24DF85931AB2C7E5E2714"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\AC6F4E_EXACT_GAP_AND_RECOVERY_QUEUE.json","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\AC6F4E_EXACT_GAP_AND_RECOVERY_QUEUE.json",".json","400332","2026-07-06T08:11:43.9045218Z","81E2DDCCB3016A6F9DB1CD1DA9C7BEDC6243CD69FAFD4C0C186AF29EE9A027DD"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\AC6F4E_EXACT_GAP_AND_RECOVERY_QUEUE.csv","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\AC6F4E_EXACT_GAP_AND_RECOVERY_QUEUE.csv",".csv","310563","2026-07-06T08:11:43.8967534Z","C4F37F2A3C72644B34A4EF216A0112D7B6F38A3463270D980469F1AE3024446B"
"noether-interlanguage-method-authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\AC6F4E_AUTHORITY_ROUTING_ROWS.json","noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706\AC6F4E_AUTHORITY_ROUTING_ROWS.json",".json","86163","2026-07-06T08:11:43.8425151Z","E07E357A46AAA260BADB16AC58368B52F585641492683CEEB4C0FF2238E281FD"
