language_code,language_name,candidate_tex_hits,open_license_payload_files,blocked_or_not_uploaded_rows,target,status
pl,Polish,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
cs,Czech,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sk,Slovak,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sl,Slovene,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sr,Serbian,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
hr,Croatian,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
bs,Bosnian,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
cnr,Montenegrin,0,0,3,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
bg,Bulgarian,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
mk,Macedonian,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
be,Belarusian,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
hsb,Upper Sorbian,3,0,3,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
dsb,Lower Sorbian,7,0,7,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
