"key","value"
"parent_frontier","2c2df6b09c48aa13b0341219929ae89ff3d5fe33"
"routed_branch_frontier","5838ea80af6b99128ac8c2dd39da686d27eb0478"
"prior_local_frontier","49d0983c2d071a6885d18d969bc85f26f14033e8"
"immediate_route_parent","e08498d680cd877dc6f2720422be0ae6556b602e"
"current_parent_frontier","2c2df6b09c48aa13b0341219929ae89ff3d5fe33"
"olp_source_use_fable_5838_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_5838EA80_SOURCE_USE_FABLE_E084_ROUTE_20260707"
"olp_interlinear_terminology_5838_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_5838EA80_INTERLINEAR_TERMINOLOGY_E084_ROUTE_20260707"
"olp_review_boundary_5838_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_5838EA80_REVIEW_BOUNDARY_E084_ROUTE_20260707"
"r7_child_return_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707"
"non_slavic_r7_child_return_route","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_2C2DF6B0_R7_CHILD_RETURN_ROUTE_20260707"
"5838_to_2c2_changed_paths","87"
"r7_direct_keyword_paths","0"
"r7_literal_source_body_hits","0"
"r7_source_body_promotions","0"
"source_use_transfer_note_sha256","9AD46DCE4F378BCC1741FD56B5933C168E1D803597C90BFA9C71C385E3C9708C"
"interlinear_transfer_note_sha256","59F3615CC5A864055CA8BFD7A499B918D4B9D4254062CF9E57538A70ED0582CD"
"review_boundary_transfer_note_sha256","E15FAB285BF188ABA0D25E243F986BD8933E690A6CA25956E0D75AB9C95E580E"
"handling","B3-safe post-5838 OLP source-use/provenance/gap/Fable, review-only, and generated-draft/non-canonical route package set after 2C2 visibility lineage; no review/approval/license/gate/source-certification/final/translation-completion claim"
