source_term,spanish,japanese,notes
Formentheorie,teoría de formas,形式論,Paper 16 title and core context; do not modernize to representation theory.
Reihenentwicklung,desarrollo en serie,級数展開,Reaffirm existing glossary term for Paper 16 title.
Clebsch-Gordansche Reihenentwicklung,desarrollo en serie de Clebsch--Gordan,Clebsch--Gordan の級数展開,Named historical expansion.
Normalform,forma normal,正規形,Coordinate/form-normalization context.
Komplexkoordinaten,coordenadas complejas,複素座標,Historical invariant-theory coordinate term.
Linienkoordinaten,coordenadas de recta,直線座標,Line coordinates p_{ik}; avoid “coordenadas lineales”.
Potenzprodukte,productos de potencias,冪積,Products of powers appearing in forms.
identische Relationen,relaciones idénticas,恒等関係,Relations among p_{ik} or f_i(xi) that vanish identically.
Modulbasis,base de módulo / base de un módulo,加群基底,Needed for complete expansion; maintain module terminology.
Eigenwerte / Eigenfunktionen,valores propios / funciones propias,固有値 / 固有関数,Fischer linear-operation discussion.
Zahlkoeffizienten,coeficientes numéricos,数係数,Explicit representation up to numerical coefficients.
ganzrationale Zahlkoeffizienten,coeficientes numéricos racionales enteros,有理整数の数係数,Paper 16 rationality of a_i.
Trägheitsformen,formas de inercia,慣性形式,Kerim footnote; literal technical translation.
Reduktionssatz,teorema de reducción,還元定理,Correction paragraph and Paper 12 established term.
Rationalitätsbereich,dominio de racionalidad / campo de racionalidad,有理性領域,Correction note to Paper 11 terminology.
