item,tex/source form,Spanish policy,Japanese policy,notes
Partial derivative macro,\p = \partial,preserve as formula macro or define locally,数式マクロとして保持 / 未定義なら定義,Paper 16 formulas (5)--(8).
Modulo helper,\modu{#1},preserve formula form with operatorname,数式で保持,Used in formulas (1)--(3) and congruence before (10).
Greek capital Phi,\Phi,forma normal \Phi,正規形 \Phi,Core normal form symbol.
Greek capital Omega,\Omega,proceso \Omega,\Omega 過程,Series-expansion and correction formulas.
Greek Delta,\Delta,determinante \Delta,行列式 \Delta,Determinant of rows x,y,z.
Line-coordinate symbol,p_{ik},coordenadas de recta p_{ik},直線座標 p_{ik},Relations module in opening construction.
Complex-coordinate symbols,"t_i,t_{ik},t_{ikl}",coordenadas complejas/symbols unchanged,複素座標; 記号は保持,Normal-form expansion levels.
Power operator S,S=AB,operador S,作用素 S,Fischer operator in formulas (4)--(10).
Indexed coefficients,"a_i,c_i,\alpha_{ij},\beta_\rho",preserve indices and rational-number interpretation,添字と有理数解釈を保持,Explicit representation up to numerical coefficients.
Numbered equations,"(1)--(10), plus (2a)",preserve source numbering with \tag,\tag で番号を保持,No silent renumbering.
