German source term,Spanish rendering,Japanese rendering,note
Modul,módulo,加群,Paper17 central term; kept historical module/ideal sense.
rechtsseitiger Modul,módulo por la derecha,右加群,Right-sided one-sided module.
linksseitiger Modul,módulo por la izquierda,左加群,Left-sided one-sided module.
einseitiger Modul,módulo unilateral,片側加群,Generic one-sided module.
zweiseitig,bilateral,両側,Two-sided module.
Restgruppe,grupo residual,剰余群,Residue group of a module.
Restklasse,clase residual,剰余類,Residue class modulo a module.
Einheitsklasse / Einheit,clase unidad / unidad,単位類 / 単位,Unit class and unit in residue group.
kleinstes gemeinsames Vielfaches,mínimo común múltiplo,最小公倍,Least common multiple of modules.
größter gemeinsamer Teiler,máximo común divisor,最大公約,Greatest common divisor in module setting.
teilerfremd,primos entre sí,互いに素,Relatively prime modules.
isomorph,isomorfo,同型,Structure-preserving residue-class correspondence.
vollständig reduzibel,completamente reducible,完全可約,Completely reducible modules/groups.
Differenzenausdruck,expresión de diferencias,差分式,Difference expression.
nichtkommutativer Bereich,dominio no conmutativo,非可換領域,Noncommutative domain.
