"hash_id","relative_path","bytes","sha256","evidence_role","status"
"SGA2-VIII-L24P-HASH-001","ARTIFACT_TOOL_MANIFEST_QA.md","835","7AC85BEDB924525A066A792E6AED75435918F6E601A36DD1D5F78E480C17473B","artifact_tool_machine_receipt","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-002","ARTIFACT_TOOL_VISUAL_QA.md","677","0D0A3F16340852D19C61F884FC2B202033A10C9A8DAAF27ED277BCE7C54CE00D","artifact_tool_visual_receipt","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-003","AUTHORITY_ARTIFACT_HASHES.csv","1437","BEE3CA92F88B41221C54EBC17C9442B12F1C6817E0CDC6DF4822D4A8958A1355","authority_hash_ledger","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-004","BUILD_VALIDATION.md","2188","C13B09C847DA711A3C3EB1336FBA3C0D88201A68C05E58232F4E54CA824284E1","build_validation","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-005","DIFFICULTY_REVISION_LEDGER.jsonl","19272","65DFA60C06B80669D18ECDECA13943C2305ABD01F4192BF03A5EB9A9BAAE00DD","difficulty_revision_history","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-006","DRAFT_SOURCE_AUDIT.md","3478","8D00657D6A607959F73E8F7CF914FA2C0F07D8F5AC4A1271ACE3831135C96AD9","source_audit","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-007","FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv","12532","B89EBAFE47321362F38110B8DFF920ACD92CC512730D8A03B86432292102E2C6","formula_symbol_structure_ledger","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-008","MACHINE_READABLE_EVIDENCE_SCHEMA.md","2010","B7C67F33A082B084F67D8E7C329A53EA59C923292D451DFF8F4AD253CD79765C","machine_schema","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-009","PDFDESTS.txt","126","7975372B7128E7445AFCFF11297F9F863D90B187E36081AB35B7A526F41E8BA0","pdf_destination_report","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-010","PDFFONTS.txt","1598","9345533DAF9C1C5301E11702CB40B2490B99A67F20AD3A6AAA2F4BD93CBDF730","pdf_font_report","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-011","PDFINFO.txt","649","73E15643070ED0738CE7C21E19CA454753B85E08468C1E04055CB0ED69EDA4C1","pdf_metadata_report","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-012","PUBLICATION_READINESS.md","1621","08038C388E212E7B6C404A71A7E6580710FCF00AD321A00BA9375445258A255D","publication_gate","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-013","RENDERED_VISUAL_QA.md","2022","03B5A8D76EA80490B26C85E570BEA3E1BC2398EB385A864411E2A26E3D66512D","render_qa","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-014","REVIEW_FREEZE.md","1137","3C32DF0E8349D06C262353CB7979543A0C04134D04052D8C7925EAC1A37E4F80","independent_seal_freeze","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-015","SGA2_Expose_VIII_Lemma_2_4_Proof_Upper_Semicontinuity_English_SourceAligned.pdf","238809","3A328D88470E36492954511469DD537928FB9D996B9D94C6E10CC8CB7ABBF84E","reader_pdf","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-016","SGA2_Expose_VIII_Lemma_2_4_Proof_Upper_Semicontinuity_English_SourceAligned.tex","2746","55490989141EAD61491A01B5F19CB085894B6B5A9F94041783D428385074AD8F","editable_translation_source","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-017","SOURCE_ALIGNMENT_COVERAGE.csv","11089","8B1EB1CD6B7B8C0BC9272F841290DFA53334995E72BB5D1AECA91331D00AF2D7","source_alignment_ledger","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-018","SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv","5639","39A2EFE04E0CC23F7604D20D0BD6B4950F6FF59CEE0621495B0A7F7110FAA130","source_defect_ledger","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-021","STRUCTURAL_INDEX.jsonl","30132","BE1D6D7BD6D7D8E30518813C3E27DE80290482F1C30879B8037F533257CF71F8","structural_revision_index","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-022","target-page-1-300dpi.png","376490","9CD95973FA497905135C157073780A1E6D1F778DF0E37AC0D6880BDDF4926BA9","target_render_300dpi","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-023","target-page-1-600dpi.png","764833","533BC1FB9A9CFB1F444641C32319C5756B5940BB8AB65A612B597FC84AC9FA69","target_render_600dpi","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-024","TERMINOLOGY_NORMALIZATION_ADVERSE_CHOICES.csv","9646","68BE4888B4A370BEF03DB06DEC5762C5C1A2B984E555F61C36D71E425B416976","terminology_adverse_choice_ledger","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-025","UNIT_STATUS.md","2434","AF4297FA0DD563960001DC3F9E1A6489C5B35984DE216AF36B0D9159539B9B37","unit_status","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-026","ZENODO_PAYLOAD_MANIFEST.csv","11026","623A9A5DDCA457C3BCFB3DF894C531C3EB3C40E4F249F6321D9BD50292211500","archive_payload_descriptor","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-027","INDEPENDENT_BUILD_PASS1_PUBLIC_SANITIZED.log","23025","9335392115CB3F5EEEDEEE438EBA944D86191A042332FC46735F426563EAD743","independent_build_pass1_sanitized","proposed_public_independently_sealed_archive_handoff_eligible"
"SGA2-VIII-L24P-HASH-028","INDEPENDENT_BUILD_PASS2_PUBLIC_SANITIZED.log","22894","851EA2FEBDA9BE7D728FB9029CFBE5A700F412D5534D02F4F5466E7C95748814","independent_build_pass2_sanitized","proposed_public_independently_sealed_archive_handoff_eligible"
