"comparison_id","evidence_class","authority_role","unit_id","object_type","source_locator","source_tex_lines","original_printed_pages","physical_source_pdf_pages","target_locator","parent_id","cross_references","critical_controls","decision","result","status","confidence","adverse_or_choice","rejected_alternative","record_revision","continuation_cursor"
"SGA2-VIII-L24P-CMP-001","source_structure","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P","unit_boundary","French lines2723-2733 physical80","2723-2733","90-91","80","authority box proof and cursor","","SGA2-VIII-L24P-LAYOUT;SGA2-VIII-L24P-BOUND","counter reset complete proof blank then distinct next phase","retain2723-2731 exclude2732 stop at2733","pass","self_reviewed_structure_pass","high","same source page continues beyond boundary","extend into main proof paragraph","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-002","source_layout_state","corrected_french_tex","SGA2-VIII-L24P-LAYOUT","equation_counter_reset","French line2723","2723","90","80","counter command before proof","SGA2-VIII-L24P","SGA2-VIII-L24P-BOUND","set equation counter to1","include exact command","pass","self_reviewed_layout_state_pass","high","no visible number occurs in bounded standalone output","drop source state because it is visually inert","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-003","source_homological_algebra","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-SETUP","projective_resolution_setup","French line2725 physical80","2725","90","80","opening proof paragraph","SGA2-VIII-L24P","SGA2-VIII-L24P-KDEF","L-bullet resolves F-U and each L-i is finitely generated","preserve complex bullet superscript and module finite generation","pass","self_reviewed_source_pass","high","candidate is close but comparison-only","say finite modules without generated","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-004","source_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-SETUP","regular_stalk_projective_dimension","French line2725 physical80","2725","90","80","opening proof paragraph","SGA2-VIII-L24P","SGA2-VIII-L24P-KDEF","O-X-x regular implies pd F-x finite and defines d","retain implication and integer d","pass","self_reviewed_logic_pass","high","none","assert global projective dimension at this point","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-005","source_formula","corrected_active_branch_plus_direct_compiled_pdf","SGA2-VIII-L24P-KDEF","kernel_definition","French lines2726-2728 physical80","2726-2728","90","80","first display","SGA2-VIII-L24P","SGA2-VIII-L24P-FREE;SGA2-VIII-L24P-DEF-L","K equals kernel L superscript minus-d to L superscript minus-d-plus1","preserve active corrected negative-index branch","pass","self_reviewed_formula_pass","high","sisi retains an inactive positive-index historical branch","mix active and inactive branches","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-006","source_reference_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-FREE","localized_kernel_freeness","French line2729 physical80","2729","90","80","K-x sentence","SGA2-VIII-L24P","SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-SHRINK","K_x free because d equals pd F_x with M ChVI Prop2.1","retain freeness reason and reference","pass","self_reviewed_reference_pass","high","none","replace free by locally free or omit source reference","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-007","source_sheaf_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-SHRINK","tilde_kernel_neighborhood_freeness","French line2729 physical80","2729","90-91","80","EGA sentence","SGA2-VIII-L24P","SGA2-VIII-L24P-FREE;SGA2-VIII-L24P-PAGE","tilde K as O_U-module free on U-prime subset U by EGA0I 5.4.1 Errata","preserve sheaf tilde ring base neighborhood inclusion and reference","pass","self_reviewed_source_pass","high","page marker91 interrupts the sentence visually","split into independent logical claims without locator","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-008","source_localization","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-SHRINK","principal_open_choice","French line2729 physical80","2729","91","80","choice of f sentence","SGA2-VIII-L24P","SGA2-VIII-L24P-DEF-M;SGA2-VIII-L24P-RES","f in O_X-U and x in D-f subset U-prime","preserve element ring principal open and both inclusions","pass","self_reviewed_symbol_pass","high","none","replace D-f by an unnamed neighborhood","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-009","source_defect_emendation","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-DEF-M","localized_module_index","French line2729 and line2730 physical80","2729-2730","91","80","prose before resolution and source note","SGA2-VIII-L24P","SGA2-VIII-L24P-SHRINK;SGA2-VIII-L24P-RES","only f is defined and the display ends M_f while prose prints M_f-prime","use M_f and disclose the editorial emendation","pass_with_disclosed_emendation","source_logic_emendation_pending_independent_review","high","candidate silently selects M_f but is not corroboration","copy undefined f-prime or hide correction","1","French line2733 after blank2732"
"SGA2-VIII-L24P-CMP-010","source_defect_emendation","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-DEF-L","resolution_left_projective_term","French lines2727 and2730 physical80","2727;2730","90-91","80","kernel and resolution displays plus source note","SGA2-VIII-L24P","SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-RES","K is kernel inside L-minus-d but source display prints L-d-minus1","use localized L-minus-d and disclose the editorial emendation","pass_with_disclosed_emendation","source_logic_emendation_pending_independent_review","high","candidate repeats the incompatible positive exponent","copy L d-minus1 or pretend the source scan differs","1","French line2733 after blank2732"
