"alignment_id","evidence_class","authority_role","unit_id","parent_id","source_tex_lines","original_printed_pages","physical_source_pdf_pages","recomposed_running_pages","target_locator","coverage_status","decision","status","confidence","adverse_delta","rejected_alternative","cross_references","continuation_cursor","revisit_condition","record_revision"
"SGA2-VIII-L24P-ALIGN-001","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P","","2723-2731","90-91","80","72","complete Lemma2.4 proof with source note","complete","include equation-counter reset and complete proof then stop before line2733","self_gated_bounded_unit_pending_independent_review","high","two transparent source emendations remain editorial","extend into main theorem proof or silently copy defects","INBOUND:SGA2-VIII-L24;OUTBOUND:SGA2-VIII-P2-MAIN","French line2733 after blank2732","independent source and emendation review","2"
"SGA2-VIII-L24P-ALIGN-002","source_layout_state","corrected_french_tex","SGA2-VIII-L24P-LAYOUT","SGA2-VIII-L24P","2723","90","80","72","counter command before proof","complete","include setcounter equation to1 even though bounded displays are unnumbered","source_compared_self_review_pass","high","standalone output does not visibly expose counter state","omit raw TeX cursor command","SGA2-VIII-L24P-BOUND;SGA2-VIII-L24P-QA","French line2733 after blank2732","cumulative integration","1"
"SGA2-VIII-L24P-ALIGN-003","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-SETUP","SGA2-VIII-L24P","2725","90","80","72","opening proof paragraph","complete","retain x affine open U projective resolution finitely generated terms regular stalk and finite projective dimension d","source_compared_self_review_pass","high","none","omit affine or finite-generation hypotheses","SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-QA","French line2733 after blank2732","independent proof review","1"
"SGA2-VIII-L24P-ALIGN-004","formula_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-KDEF","SGA2-VIII-L24P","2726-2728","90","80","72","first display","complete","retain K as kernel of L minus d to L minus d plus1 using active corrected branch","source_compared_self_review_pass","high","original branch retained only inside sisi source control","use rejected original positive-index branch","SGA2-VIII-L24P-FREE;SGA2-VIII-L24P-DEF-L","French line2733 after blank2732","authority branch change","1"
"SGA2-VIII-L24P-ALIGN-005","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-FREE","SGA2-VIII-L24P","2729","90","80","72","K_x freeness sentence","complete","retain freeness because d is projective dimension and exact Matsumura reference","source_compared_self_review_pass","high","none","weaken free to projective or omit citation","SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-SHRINK","French line2733 after blank2732","independent algebra review","1"
"SGA2-VIII-L24P-ALIGN-006","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-SHRINK","SGA2-VIII-L24P","2729","90-91","80","72","EGA localization paragraph","complete","retain tilde-K O_U-module freeness on U-prime and choose f with x in D-f subset U-prime","source_compared_self_review_pass","high","original printed page marker91 occurs inside this sentence","collapse printed90-91 to one coordinate","SGA2-VIII-L24P-PAGE;SGA2-VIII-L24P-RES","French line2733 after blank2732","independent reference and page review","1"
"SGA2-VIII-L24P-ALIGN-007","source_emendation","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-DEF-M","SGA2-VIII-L24P","2729","91","80","72","localized module prose before display","complete_with_disclosed_emendation","use M_f because only f was chosen and the following resolution ends in M_f","transparent_editorial_emendation_pending_independent_review","high","French prose and compiled page print M sub f-prime","copy undefined f-prime or call candidate independent evidence","SGA2-VIII-L24P-RES;SGA2-VIII-L24P-QA","French line2733 after blank2732","French authority correction or independent adjudication","1"
"SGA2-VIII-L24P-ALIGN-008","source_emendation","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-DEF-L","SGA2-VIII-L24P","2730","91","80","72","localized projective-resolution display","complete_with_disclosed_emendation","use L minus d because K is the kernel inside L minus d in the active corrected branch","transparent_editorial_emendation_pending_independent_review","high","French display and candidate print L superscript d minus1","copy incompatible positive exponent or claim a scan restoration","SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-RES;SGA2-VIII-L24P-QA","French line2733 after blank2732","French authority correction or independent adjudication","1"
"SGA2-VIII-L24P-ALIGN-009","formula_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-RES","SGA2-VIII-L24P","2729-2730","91","80","72","localized projective resolution","complete_with_two_disclosed_emendations","retain zero K_f L-minus-d localized continuation M_f zero and M equals F-U","source_logic_self_review_pass_pending_independent_emendation_review","high","two authority defects prevent literal promotion","silently normalize or preserve an internally incompatible sequence","SGA2-VIII-L24P-DEF-M;SGA2-VIII-L24P-DEF-L","French line2733 after blank2732","independent resolution review","1"
"SGA2-VIII-L24P-ALIGN-010","source_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-CONCL","SGA2-VIII-L24P","2731","91","80","72","proof conclusion","complete","retain upper semicontinuity then quasi-compactness implies the boundedness conclusion","source_compared_self_review_pass","high","none","say continuity or omit quasi-compactness","SGA2-VIII-L24P-RES;INBOUND:SGA2-VIII-L24","French line2733 after blank2732","independent topology review","1"
"SGA2-VIII-L24P-ALIGN-011","page_coordinate_control","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-PAGE","SGA2-VIII-L24P","2725-2731","90-91","80","72","authority box and source render","complete","record printed marker91 mid-line2729 separately from physical80 and running72","source_page_mapping_self_review_pass","high","one physical page spans two original printed pages","report physical80 as printed80 or omit transition","SGA2-VIII-L24P-SHRINK;SGA2-VIII-L24P-BOUND","French line2733 after blank2732","page authority replacement","1"
"SGA2-VIII-L24P-ALIGN-012","comparison_control","comparison_only_not_authority","SGA2-VIII-L24P-CAND","SGA2-VIII-L24P","jcreinhold344-358 compared with French2725-2731","90-91","80","72","comparison and adverse-choice ledgers","complete_comparison_only","accept independently verified ordinary wording reject authority status and record asymmetric defect handling","comparison_audited_not_promoted","high","candidate silently changes M f-prime to M_f but repeats L d-minus1","copy candidate or treat repeated error as corroboration","COMPARISON:jcreinhold_e7a259f;SGA2-VIII-L24P-DEF-M;SGA2-VIII-L24P-DEF-L","French line2733 after blank2732","candidate revision","1"
"SGA2-VIII-L24P-ALIGN-013","boundary_control","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24P-BOUND","SGA2-VIII-L24P","2732-2733","91","80","72","outbound cursor ledger","complete","exclude blank2732 and stop before the new affine-main-proof paragraph at2733","source_boundary_self_review_pass","high","physical80 continues into line2733 and later formulas","include next proof phase because it shares a page","SGA2-VIII-L24P-LAYOUT;OUTBOUND:SGA2-VIII-P2-MAIN","French line2733 after blank2732","next-unit integration","1"
"SGA2-VIII-L24P-ALIGN-014","independent_source_emendation_disposition","corrected_french_tex_plus_direct_compiled_pdf_and_independent_proof_logic","SGA2-VIII-L24P-DEF-M","SGA2-VIII-L24P","2729-2730","91","80","72","localized module prose and resolution endpoint","complete_with_independently_accepted_disclosed_emendation","retain M_f because only f is introduced and the displayed resolution terminates in M_f; keep the source note","closed_independent_source_disposition_pass","high","authority M_f-prime is undefined in this proof","copy M_f-prime or call the correction a scan restoration","SGA2-VIII-L24P-SHRINK;SGA2-VIII-L24P-RES;SGA2-VIII-L24P-QA","French line2733 after blank2732","French authority correction or genuinely independent source witness","2"
"SGA2-VIII-L24P-ALIGN-015","independent_source_branch_and_emendation_disposition","corrected_french_tex_style_driver_plus_direct_compiled_pdf_and_independent_proof_logic","SGA2-VIII-L24P-DEF-L","SGA2-VIII-L24P","2727;2730","90-91","80","72","kernel definition and localized projective-resolution display","complete_with_independently_accepted_disclosed_emendation","retain localized L-minus-d because original=false activates the second sisi branch defining K inside L-minus-d and line2730 is an unwrapped stale positive exponent","closed_independent_source_disposition_pass","high","literal line2730 belongs to the inactive historical exponent pattern and breaks the active exact sequence","copy L d-minus1 or silently claim source agreement","SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-RES;SGA2-VIII-L24P-QA","French line2733 after blank2732","canonical French correction or genuinely independent source witness","2"
"SGA2-VIII-L24P-ALIGN-016","independent_source_formula_and_proof_logic","corrected_french_tex_plus_direct_compiled_pdf_and_independent_review","SGA2-VIII-L24P-QA","SGA2-VIII-L24P","2723-2731","90-91","80","72","complete proof sequence and both displays","complete","independently confirm affine setup finite free resolution regular local finite projective dimension kernel freeness neighborhood shrinking localized resolution upper semicontinuity and quasi-compact boundedness","closed_independent_source_logic_pass","high","two disclosed source defects require logic-based adjudication","truncate the resolution omit a reference strengthen continuity or infer authority from the external candidate","SGA2-VIII-L24P-SETUP;SGA2-VIII-L24P-KDEF;SGA2-VIII-L24P-FREE;SGA2-VIII-L24P-SHRINK;SGA2-VIII-L24P-RES;SGA2-VIII-L24P-CONCL","French line2733 after blank2732","authority replacement or target revision","1"
