path	role	status
weber_vol2_sections176_178_german_source.tex	German source transcription TeX	compiled
weber_vol2_sections176_178_german_source.pdf	German source transcription PDF	render checked
weber_vol2_sections176_178_english_translation.tex	English literal translation TeX	compiled
weber_vol2_sections176_178_english_translation.pdf	English literal translation PDF	render checked
source_pages/weber_vol2_source_pp641_647_sections176_178.pdf	source scan subset	provided for page-level checking
source_pages/vol2_p641.png	source render page 641	provided for formula checking
source_pages/vol2_p642.png	source render page 642	provided for formula checking
source_pages/vol2_p643.png	source render page 643	provided for formula checking
source_pages/vol2_p644.png	source render page 644	provided for formula checking
source_pages/vol2_p645.png	source render page 645	provided for formula checking
source_pages/vol2_p646.png	source render page 646	provided for formula checking
source_pages/vol2_p647.png	source render page 647	provided for formula checking
