"crosswalk_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_form","zh_hant_controlled_form","zh_hant_status","ja_form","ko_form","ja_ko_evidence_status","sense_window","excluded_senses","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","independent_check_status"
"P01-ZH-X001","P01-ZH-T001","segment A title and opening","Formensystem","型系统","型系統","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The finite or relatively complete collection of algebraic forms, invariants, covariants, contravariants, and related constructions attached to the ground form.","a document form system; a formal logical system; a system of equations; typographic formatting","modern Sino-xenic coinage/calque","High: 型系统 follows the Mandarin-Simplified producer shelf and may sound opaque outside historical invariant theory; regional terminology is untested.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X002","P01-ZH-T002","segment A title and opening throughout","ternäre biquadratische Form","三元双二次型","三元雙二次型","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The paper's algebraic form in three variables under the historical biquadratic degree convention.","a quadratic form in two unrelated pairs of variables; a bilinear form; a document form; biquadratic optimization terminology","modern Sino-xenic coinage/calque","High: 三元双二次型 is the Mandarin-Simplified inherited choice; its historical equivalence to alternate degree naming and regional usage are untested.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X003","P01-ZH-T003","segment A opening; segment B closing of first paragraph","Bildung; Bildungen","构成式","構成式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A produced algebraic expression or concomitant counted as one member of the complete or relatively complete form system.","the act of education or formation; an organizational structure; document construction; arbitrary formula","mixed/contested","High: 构成式 is a Mandarin-Simplified producer coinage for a historical term and has not been checked against native invariant-theory literature.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X004","P01-ZH-T004","segment A opening paragraph","spezielle automorphe Form","特殊自同构型","特殊自同構型","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The displayed special algebraic form considered through the transformations that preserve it in the historical invariant-theory setting.","a modern analytic automorphic form; an automorphism itself; a self-similar geometric form; a generic invariant","mixed/contested","High: 自同构型 avoids the modern analytic 自守形式 attractor but is an unchecked Mandarin-Simplified producer choice with no regional evidence.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X005","P01-ZH-T005","segment A second paragraph and source footnote 2","Ordnung","阶","階","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The dimension or degree measured in the coefficients, explicitly contrasted by the source with Grad measured in the variables.","variable degree; algebraic order in a number field; group order; sequence order; ordinal rank","mixed/contested","High: bare 阶 is highly polysemous on the Mandarin-Simplified shelf and its use for coefficient degree is historically local; regional terminology is untested.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X006","P01-ZH-T006","segment A second paragraph and source footnote 2","Grad","次数","次數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The dimension or degree measured in the variables, explicitly contrasted by the source with Ordnung measured in the coefficients.","coefficient order; geometric dimension; algebraic extension degree without this form context; temperature degree","modern Sino-xenic coinage/calque","High: 次数 is the Mandarin-Simplified producer choice and must remain paired with 阶 to preserve the source distinction; regional usage is untested.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X007","P01-ZH-T007","segment A second paragraph and footnote","Invarianten","不变式","不變式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","Polynomial expressions in the coefficients or variables that remain invariant under the transformation group in classical invariant theory.","an invariant property stated in prose; a numerical constant; invariant factor; an unchanged source string","Sino-xenic inherited","Medium: 不变式 is established on the Mandarin-Simplified mathematical shelf, but this project has not established its historical or regional Chinese preference.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X008","P01-ZH-T008","segment A second paragraph and source footnote 1","Kovarianten","协变式","協變式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","Concomitant polynomial expressions that transform covariantly with the ground form under the relevant substitutions.","a covariance matrix; a covariant vector alone; covariance as a categorical property; ordinary correlated variation","modern Sino-xenic coinage/calque","High: 协变式 follows the Mandarin-Simplified classical-algebra shelf; regional and historical-source evidence are absent.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X009","P01-ZH-T009","segment A second paragraph and source footnote 1","Kontravarianten","逆变式","逆變式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","Concomitant polynomial expressions transforming contragrediently in the classical form-theory setting.","a contravariant functor; a contravariant vector alone; an inverse transformation; a mere opposite quantity","modern Sino-xenic coinage/calque","High: 逆变式 is a Mandarin-Simplified choice and possible 反变式 or regional preferences were not researched.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
"P01-ZH-X010","P01-ZH-T010","segment A goal statement and final paragraph; segment B first paragraph","relativ vollständiges System","相对完备系统","相對完備系統","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A system complete relative to the stated modulus or family of ground forms in the historical reduction procedure.","a relatively complete metric space; a merely partially complete list; relative completeness in logic; an arbitrary subsystem","modern Sino-xenic coinage/calque","High: 相对完备系统 follows Mandarin-Simplified algebra prose; 完备/完全 and regional preferences are untested.","producer editorial choice only; inherited Simplified-Chinese witness used only for drafting; independent checking absent","independent check absent; pending"
