"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P01-ZH-T001","segment A title and opening","Formensystem","system of invariant-theoretic forms and concomitants","型系统","The finite or relatively complete collection of algebraic forms, invariants, covariants, contravariants, and related constructions attached to the ground form.","a document form system; a formal logical system; a system of equations; typographic formatting","形式系统; 型式系统; 形系统","modern Sino-xenic coinage/calque","High: 型系统 follows the Mandarin-Simplified producer shelf and may sound opaque outside historical invariant theory; regional terminology is untested.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","型系統","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Used as the paper's governing collection term."
"P01-ZH-T002","segment A title and opening throughout","ternäre biquadratische Form","ternary biquadratic algebraic form","三元双二次型","The paper's algebraic form in three variables under the historical biquadratic degree convention.","a quadratic form in two unrelated pairs of variables; a bilinear form; a document form; biquadratic optimization terminology","三元四次型; 三变量双二次型; 三元双平方型","modern Sino-xenic coinage/calque","High: 三元双二次型 is the Mandarin-Simplified inherited choice; its historical equivalence to alternate degree naming and regional usage are untested.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","三元雙二次型","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Title form retained consistently."
"P01-ZH-T003","segment A opening; segment B closing of first paragraph","Bildung; Bildungen","individual invariant-theoretic constructions in a form system","构成式","A produced algebraic expression or concomitant counted as one member of the complete or relatively complete form system.","the act of education or formation; an organizational structure; document construction; arbitrary formula","构造式; 构造物; 型","mixed/contested","High: 构成式 is a Mandarin-Simplified producer coinage for a historical term and has not been checked against native invariant-theory literature.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","構成式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Applied to the counts 54 and 331."
"P01-ZH-T004","segment A opening paragraph","spezielle automorphe Form","specific algebraic form possessing the relevant automorphisms","特殊自同构型","The displayed special algebraic form considered through the transformations that preserve it in the historical invariant-theory setting.","a modern analytic automorphic form; an automorphism itself; a self-similar geometric form; a generic invariant","特殊自守形式; 特殊自动同构型; 特殊自同态型","mixed/contested","High: 自同构型 avoids the modern analytic 自守形式 attractor but is an unchecked Mandarin-Simplified producer choice with no regional evidence.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","特殊自同構型","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Major historical sense trap; not a readiness claim."
"P01-ZH-T005","segment A second paragraph and source footnote 2","Ordnung","coefficient order of a form in the paper's explicit convention","阶","The dimension or degree measured in the coefficients, explicitly contrasted by the source with Grad measured in the variables.","variable degree; algebraic order in a number field; group order; sequence order; ordinal rank","系数次数; 阶数; 级","mixed/contested","High: bare 阶 is highly polysemous on the Mandarin-Simplified shelf and its use for coefficient degree is historically local; regional terminology is untested.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","階","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Hard-control pair with P01-ZH-T006."
"P01-ZH-T006","segment A second paragraph and source footnote 2","Grad","variable degree of a form in the paper's explicit convention","次数","The dimension or degree measured in the variables, explicitly contrasted by the source with Ordnung measured in the coefficients.","coefficient order; geometric dimension; algebraic extension degree without this form context; temperature degree","度; 变量次数; 级","modern Sino-xenic coinage/calque","High: 次数 is the Mandarin-Simplified producer choice and must remain paired with 阶 to preserve the source distinction; regional usage is untested.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","次數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Hard-control pair with P01-ZH-T005."
"P01-ZH-T007","segment A second paragraph and footnote","Invarianten","polynomial invariants of the transformation action","不变式","Polynomial expressions in the coefficients or variables that remain invariant under the transformation group in classical invariant theory.","an invariant property stated in prose; a numerical constant; invariant factor; an unchanged source string","不变量; 不变型","Sino-xenic inherited","Medium: 不变式 is established on the Mandarin-Simplified mathematical shelf, but this project has not established its historical or regional Chinese preference.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","不變式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept parallel with 协变式 and 逆变式."
"P01-ZH-T008","segment A second paragraph and source footnote 1","Kovarianten","covariants in classical invariant theory","协变式","Concomitant polynomial expressions that transform covariantly with the ground form under the relevant substitutions.","a covariance matrix; a covariant vector alone; covariance as a categorical property; ordinary correlated variation","共变式; 协变量; 共变型","modern Sino-xenic coinage/calque","High: 协变式 follows the Mandarin-Simplified classical-algebra shelf; regional and historical-source evidence are absent.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","協變式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Preserves the -式 family with 不变式/逆变式."
"P01-ZH-T009","segment A second paragraph and source footnote 1","Kontravarianten","contravariants in classical invariant theory","逆变式","Concomitant polynomial expressions transforming contragrediently in the classical form-theory setting.","a contravariant functor; a contravariant vector alone; an inverse transformation; a mere opposite quantity","反变式; 逆协变式; 反变型","modern Sino-xenic coinage/calque","High: 逆变式 is a Mandarin-Simplified choice and possible 反变式 or regional preferences were not researched.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","逆變式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Preserves the -式 family with 不变式/协变式."
"P01-ZH-T010","segment A goal statement and final paragraph; segment B first paragraph","relativ vollständiges System","form system complete relative to a selected modulus","相对完备系统","A system complete relative to the stated modulus or family of ground forms in the historical reduction procedure.","a relatively complete metric space; a merely partially complete list; relative completeness in logic; an arbitrary subsystem","相对完全系统; 关于模的完备系统; 相对完备型系","modern Sino-xenic coinage/calque","High: 相对完备系统 follows Mandarin-Simplified algebra prose; 完备/完全 and regional preferences are untested.","producer editorial choice recorded in Hans segments A-C plus inherited Simplified-Chinese drafting witness; independent checking absent","相對完備系統","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept distinct from 绝对完备系统."
