slice_id,status,lane,eligible_for_corpus_support,reason,next_gate,blocked_outputs
R6-SLICE-01A,created,Kreyol MIT-Ayiti numeracy,true,T2 exact captures and open reviewer/source-owner request rows,obtain source-authority and reuse returns,"terms; excerpts; translation; pilot"
R6-SLICE-01B,created,Peru Quechua Central/Chanka/Aymara,true,T2 exact PDF/text captures and open standard-specific request rows,obtain standard-specific source-authority and reuse/crosswalk returns,"macrostandard; crosswalk; terms; excerpts; translation; pilot"
R6-SLICE-01C,created,Bolivia Quechua candidate curriculum,true_but_candidate_only,one candidate exact source pointer; math-specific route unresolved,open source-authority/reuse request and continue longitudes resolver,"terms; algebra authority; crosswalk; translation; pilot"
R6-SLICE-01D,created,ASL video-first routes,true,T2 route/video pointers and open reviewer/media questions,obtain qualified ASL return and media/reuse clearance,"accepted signs; copied media; stills; translation; pilot"
R6-SLICE-01E,created,LSQ STEM routes,true,T2 captured source routes and category/concept pointers,route LSQ reviewer/source-owner/media request rows,"accepted signs; copied media; visual inventory; translation; pilot"
R6-SLICE-01F,created,DGS Sign2MINT/Goettingen routes,true,T2 API/source/video route metadata,resolve DGS source authority SWU/variant policy and media permissions,"accepted signs; SWU promotion; copied media; translation; pilot"
R6-SLICE-01G,created,International Sign comparator,true_guardrail_only,policy/comparator captures and guardrail decisions,keep as comparator unless explicit cross-border case is reviewed,"technical lexicon; one-sign-per-term table; local sign replacement; pilot"
R6-SLICE-02,created,Blocked Indigenous/Creole/Sign rows,false,route-only failed capture or unresolved exact-source rows,perform exact-source resolver and source-owner/reviewer discovery,"translation support; terms; signs; excerpts; pilot"
R6-SLICE-03,created,Reviewer return ledger preparation,false_until_contact_verified,request rows exist but no filled returns,verify direct reviewer/source-owner contacts and create blank return ledger only,"source-authority acceptance; reuse clearance; term/sign movement"
R6-INTEGRATION-01,created,Zenodo/current-reader guardrail integration,false_for_translation_work,R6 local coverage is complete only as source-support coordination; integration pass records package/index boundaries,Session B may consume support metadata without changing gates,"completed reader; public-final reader; translation package; term spine; visual inventory; pilot; approval claim"
R6-DURABILITY-01,created,Durability authority and checksum refresh,false_for_translation_work,Coordinator requested refreshed durable logs manifests and checksums while preserving source/reviewer/ethics gates,Use checksum manifests and authority refresh for future package validation without changing gates,"technical lexicon; translation; pilot; source-authority promotion; approval claim"
R6-SLICE-04,next,Blocker-to-support transition,false_until_new_evidence,blocked rows require exact source capture or reviewer/source-owner return before movement,ingest only new exact sources or dated returns through transition note,"direct term/sign extraction; translation; pilot"
