"key","value"
"parent_frontier","49d0983c2d071a6885d18d969bc85f26f14033e8"
"routed_branch_frontier","61f213fafabc80e526dcb5a169b9a5e47732e4d8"
"prior_frontier","9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8"
"observed_later_b3_visibility_frontier","a942e99d597d24bdc6fb0822cae5f7716a0f9004"
"current_parent_frontier","49d0983c2d071a6885d18d969bc85f26f14033e8"
"olp_source_use_fable_61f_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_61F213FA_SOURCE_USE_FABLE_9F_PACKAGE_VISIBILITY_20260707"
"olp_interlinear_terminology_61f_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_61F213FA_INTERLINEAR_TERMINOLOGY_9F_PACKAGE_VISIBILITY_20260707"
"source_use_transfer_note_sha256","157C586FCDA8F4836FC6D73DF9163A406CFBAFCFC01576EA84C14E1B9C56D094"
"interlinear_transfer_note_sha256","071DC1A8C88BD8199582697D25C1894F9C7CAEB89063F90C36CF6B8DE09101D1"
"handling","B3-safe source-use/provenance/gap/Fable boundary and generated-draft/non-canonical interlinear visibility package; no review/approval/license/gate/source-certification/final/translation-completion claim"
