"lane_scope","source_use_label","next_action","authority_state","route_or_language","b3_packaging_note","source_start_or_blocker"
"creole_contact","source-recovery/blocker","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","Math-source authority, translation approval, accepted terminology, or formula-neighboring prose beyond source titles.","Bislama / Vanuatu","metadata/reviewer-control row only; no target rendering","R6-BISLAMA-RETRY-005; R6-BISLAMA-RETRY-006"
"indigenous","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","source/reviewer/ethics authority remains unresolved","Ecuador Kichwa/CNIB","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","probe_failed_no_body_saved"
"indigenous","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","source/reviewer/ethics authority remains unresolved","Ecuador EIB/CNIB general","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","probe_failed_no_body_saved"
"indigenous","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","source/reviewer/ethics authority remains unresolved","Paraguay Guarani/PRODEPA","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","probe_failed_no_body_saved"
"indigenous","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","source/reviewer/ethics authority remains unresolved","Paraguay PRODEPA background","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","probe_failed_no_body_saved"
"sign_access","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","source/reviewer/ethics authority remains unresolved","ASL algebra/STEM","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","html_probe_and_candidate_links_only_no_raw_body_saved"
"sign_access","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","source/reviewer/ethics authority remains unresolved","ASL math dictionary","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","html_probe_and_candidate_links_only_no_raw_body_saved"
"sign_access","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","source/reviewer/ethics authority remains unresolved","DGS math videos","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","html_probe_and_candidate_links_only_no_raw_body_saved"
"sign_access","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","source/reviewer/ethics authority remains unresolved","DGS corpus dictionary","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","html_probe_and_candidate_links_only_no_raw_body_saved"
"sign_access","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","source/reviewer/ethics authority remains unresolved","DGS open dictionary comparator","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","html_probe_and_candidate_links_only_no_raw_body_saved"
"indigenous","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","source/reviewer/ethics authority remains unresolved","Paraguay Guarani language program","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","probe_failed_no_body_saved"
"indigenous","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","source/reviewer/ethics authority remains unresolved","Paraguay mathematics program comparator","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","probe_failed_no_body_saved"
