physical_page	printed_page	prompt_id	disposition	source_status	english_status	apparatus_status	final_status	record_sha256_source	record_sha256_english	record_sha256_apparatus
1	0	P01	EXCLUDE_NUMDAM_COVER_FROM_SCHOLARLY_BODY_RETAIN_PROVENANCE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	38657A3FB862904F1B450F3C5E69E8E472239013A4BAAE3C6FEEAC183F30262F	75C90AA8FF81D04812BD5197530C46D34830983732C50CCEC49DF6A64B664F0C	9EEF05B549F3D0D3080CA9AF5E505356DBFD7ADB4651711091516292BF739AE3
2	273	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	284500169B3AC031739139761EF2EB208B356897B1EA2CD3FAB4611601E7212D	634F8AD406CDB52E7B88D1DB89B89DB065BC23F8CDFA6E501AD832B41C9D21E0	8FD82B91F09EC750B4C1D4B2EE388D39FA70A1DEA91A3902B4DC8C89F94FC0AA
3	274	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	41FB63728112E0590BCC3149DAB13F4CC90C14981BF489E9FB96C08A98F8F09E	AB5EE5F5FCC7C0378F3E0D5FCC7339023AB755DC18DCCCCA955E1C9B2C4EA33C	07ADA3D36EA922AA57FB03E315E429DE103158736D5993D84D9C80324B2E0B65
4	275	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	351036D53DEA79F662C815342625F138F781B179CCD026E5F5F57363BF96DDBE	A77056D1AD6CA19AEAE1A588F3245F9D6143B8799820DB7D7A6BDEBFE816F9C3	65844CEC4B70EAF8018C5006C5885AEFBB5236BE25932996F3A62B7024E39C94
5	276	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F9FC2BFD67DF3243A8074A0C4DEEB26957ADC386DE698D21A3A06BF9A7DEE1F9	91ECD5BA263FD42C658758D40D544B899D74A2579BD1118683A133DBAC36CD20	D2BCC67815CCE7A5EB3B407A6C805D08D87D1DC22917188BF779DA0B44B9A56A
6	277	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	5EF26AE4677DF563AF42915253310F2E2AB7F54348F60C0BBB76E644CE490E76	9008BC9463FEB70D9EA1057965E94EA140C3A6993128863D846D1425A9B4163E	3BC4462D90B31B3111156A00F0C9A7CF056B62AB489B7A7D9F04C6E849940434
7	278	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E6D87CE3C62A61E200B839EF73D34DAD391FECB9CA96E8FF422EE96CD3B8933A	7C55AA2D606B042C790A445669CF2F5F0E95BB5A176B8850DDBCDC6FB617AE26	A14C1CB98D6E79E24BFBF9558817C195CE719F4D82EF65DA661131C500DABF52
8	279	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F772FBC911BB044FBF6D58C8EA652289CF4EF1FB864D3D04CBA88CE9E8879FC3	7CDC9BC83E1B7A7B5E9B6D7D9968A4F56F34904F29DABCE1BC2202A0F1E913E1	18F1A85847EA4B5164B84EE036DEAAC7F88D0AE61FEDDE16AEEF2C2D0A4AEFF1
9	280	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	8E425F9C7FB942BB04BA9BD4019C75DC8E25CBF2DEC33B3ED380713A2A94AFF4	2B1BECC41D0B3521CDB6C3F4DAB0055522DBE4BC4C928668B410638781C180F9	1970A8884413F6AB1087525DB0FDC591DE2ED78DA4E1809970BB331A1A5DC1D3
10	281	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4DC974B0E048CD154507EC88AF310FC45D8CFB8104C4349B0AB9305219AF6561	3307CDD995331C907E0D3CA2A8ABF52895CD45D11674FCC542299A78EB76FB8F	1EF60319F84679C574FA94F1F9DAD69AFA0792A9BE2571FABCCEB91094657C9C
