"language","queue_type","current_state","sufficiency_decision","draft_work_allowed","source_basis","topic_tags","local_hashes","exact_blocker_or_watch_note","required_next_action","transition_rule_source","boundary"
"Belarusian","stable_witness_watch_only","stable_local_pdf_fulltext_witness_ocr_quality_watch","sufficient_for_scoped_draft_support","yes_draft_only","belarusian_bnt_elementary_math ; be_radyno_russko_belorusskij_matematicheskij_slovar_1993_pdf","general mathematics; algebra terminology ; Belarusian mathematical terminology; algebra; abstract algebra; rings; groups; modules; vector algebra; set algebra; no TeX source","52CC7E17A36743949DCE632C15B98163B66ACCCAE779E691EAA1F2D0E15B4344 ; 503D5DE1F0DD86A8D3508660C813820CE7AB4D233EB34457F7F5E4DC835A2394 ; 4A5D37AA62D0CD077C6BC815CA5BD4C21BC8F04C827419785E460A6F6DFAC434 ; AD2ED654720167EC4BF420F1D9C2D9C7E3606EA254FECB6C3F362555685F9545 ; 3ED714E563E54993DB577EB6484423A592584CC1B23F46E72523F0C4DE04EE60 ; A67F00F76E76B75B051FD9F7122336175FE47999E5FDB82707CCF9552695C525 ; A6A6F32A98AD71AFF1A44018B3FEAE33574A8792C9B7F86E09E297B8AF293D7F ; C0F91ED24E37994A669E09A7D53C7277DCA773B8429623DDD49A3F54AA6F6EA3 ; EB985B65A4A2F0B8799D81ACD8079B34490D0A50FEEEBEA7AE855FA21CA5A336","Radyno 1993 Russko-belorusskij matematicheskij slovar PDF is cached as a full source-canon witness; BELAL catalog remains optional corroboration and OCR quality remains a term-use QA issue.","begin scoped draft translation-support material for covered algebra/ring/module/group rows","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Bosnian","open_source_blocker","official_control_plus_modern_cobiss_and_third_party_candidate_no_authority_upgrade","keep_source_acquisition_gap_status","no_uncovered_or_blocked","bosnian_pmf_unsa_algebra_controls_plus_wp_and_modern_cobiss_probe ; scribd_algebra_za_kompjuterske_nauke_2017","Bosnian algebra; rings; groups; modules; fields; coding theory ; Bosnian; algebra; groups; rings; fields; finite fields; computer science; fulltext lead; no TeX source","82ADD75629FDD4F0DD564A1176C4A9FDDF574ECAF509989B01F7F83964C6820D ; 40FFF8831DA94A08BD613054E7B968E5C7EDAC410111B67F0B3A1567503EFB7F ; 572C7F92602F208886333EABA5A54DA0775ACD51A171339CCC1C072E3C01E946 ; A39FC4166E383AC568149139515485968664BB1ACD7C182D0CC369F8453BF252 ; 96FA3A57BA8A713238EFB3DDEF6B3327305F4F2A257F20F24D6D8F7D1224D207 ; 19C9D5F5266541D8D6B9695CED5BE384292F9B41FE39132ED821F792A094001D ; 0E1E146EA4B2955DF2E45E87C08EE10B7CCBEFCFB53746A327F1DBEBE17AFE3C ; C01724D91CDD77C3B58FA4113E7BCB5D4B8A83B3EF6F5666A984873BA3500E6E ; 7B6279761DCF9CDB4A08F1385D8DD15D79AD48F9805780330C1C1045B385F4E8 ; 9C7B4B3E325B81D469A57D3E0D2E2982B074D9BBEF9A82A1D7587911F9BB8918 ; 4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945 ; 3A5B75FB596CB19B82E3EA2057BF2B87F5E069EE64B66963A96138024922DA36 ; A9E1E95F2C972063A174639DD34E6B00B0CF9EC009A23A6BEC319054562283E6 ; 2DC602C0877245728A3B20E4A5356DDA052A860025D1F0218132F2711F18701C ; AA78C2212B89A2BC518A523CEC7AA252FFF104A05587BB049806C2E926EE39C7 ; FC0D4F7ECACED3C33F1ABF4D2259D06EFDB4D076577969B8D3DBEB65BD659EB3 ; BD8FEF3B4FA518B6F999B5C42E4EE526F0AC71DE904ECA8A1ADE48DAED20A9AE ; 3E8DE163B251616C3BE6225D60CBDED25E2D5786ADFF6227069F25C2C4758B21 ; A15505E9ACBB6050F07A57EAFEC4AABC00A202615563AFC38C4A093A31A2A84F ; E3442E2677F49B7F08CE15C8F9644B5D05CC4276E6F72A6470AFF1595A7FC6F8 ; B4D20A1EAB55A0083C16C3E26B16F95C2683BD3FFCDC55155B3FC0A242B1621E ; 84C900CF61965A0864651D1926F6530040F4726257E21742EA645F106AEF1473 ; 599D3AACB0DE24902327F177508251342ECA5633AF3E5FFE81716B0E82896B10 ; AF0130CFB9BC443FB13E34E905D32DE4FA396AFEF8D08CF8A5D646F34EBC74AF ; 827DAA225017F641E087F2709B1F4679ABCEB35A4C7D1F5C0316D2CAF4231A21 ; 5AB096BB973A8EFAE4222CDDA033143BF7153E3CDA721DBE09DD930EE6A40A74 ; 32ED63159C77E21EE19CA1B9AA3213CCF0218EB59539560B132A8E68EF0E18EA","Official PMF/current COBISS Plus/staff-page controls exist; third-party Scribd mirror/preview lead exists; official fulltext/source or permission-clean copy remains blocked.","Seek official PMF textbook fulltext/source package or permission-clean copy; keep PMF staff and COBISS routes bibliographic-only and Scribd lead candidate-only.","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Bulgarian","stable_witness_watch_only","stable_local_pdf_text_witnesses_no_tex","sufficient_for_scoped_draft_support","yes_draft_only","bulgarian_sofia_noncommutative_body_problem ; bulgarian_sofia_rings_lecture7","rings; fields/Galois","9377AC5F2F3594AD2F0A7B014C72562D8E0E40007BA06E72B18D3E2B7C941E43 ; 996E7E695AD04148AF2632AD9DF1F18A5C720B4958E85A9D495A875540CBC392 ; D5F91DCC5EAF4DFD1FE0949891A93117510C0D82E894E1FF254C4A78853AB503 ; 78275711414EC1B5113BCB8E7C5770E31F777F120362BDE9F9C15DD1CBB1C2DC","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","begin scoped draft translation-support material for covered algebra/ring/module/group rows","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Croatian","stable_witness_watch_only","stable_local_pdf_text_witnesses_no_tex","sufficient_for_scoped_draft_support","yes_draft_only","croatian_mathhr_algebra_structures_2024 ; croatian_pmf_split_prsteni","rings; fields/Galois; groups/representations/algebras ; rings; fields/Galois","50A255D413C5411F02A4AB6DA487CF1A5CCF2AF0B933E89307FD036E34281124 ; 806AC472D958476A1172C46B5F279984A7D89AACE2DAF422A13CD7EC5D151C0E ; 6F0B9C2563C86D99A16601ADB01B4280FDC30707CF2EC407A18E1383D6370E43 ; E3A85A42356649B1804704357197F1D0ABA56044299C29FF75012ABEFD7B4AD3","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","begin scoped draft translation-support material for covered algebra/ring/module/group rows","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Czech","stable_witness_watch_only","stable_local_pdf_text_witnesses_no_tex","sufficient_for_scoped_draft_support","yes_draft_only","czech_cuni_algebra_2021 ; czech_cuni_noncommutative_body_thesis ; czech_cuni_representation_idempotents ; czech_cuni_telesa_pole_note ; czech_karlin_commutative_rings_fields ; czech_karlin_galois_splitting_field","rings; fields/Galois; groups/representations/algebras ; fields/Galois; groups/representations/algebras ; rings; fields/Galois ; Noetherian/Hilbert basis; rings; fields/Galois; modules; groups/representations/algebras","0737A40AD7C560CA8988BBD5D85762DFFB4791E67CCA0BA4F3CA8A2F4EBE65CE ; 98AB0434150979DFAA640CA2A642B25FEB9D03BD733867F27ECBBD98090154B1 ; DDC68FA8BCFE15C190EF8D5A78B4B56920FFEFF8D8486A8E54A02A5E864F504F ; 9581A7657881B2AC10E7FC862A1BA2EF8F19D801964BD7C7307C4FE7127B348B ; E5A089E19940503C1B3CB418A3045F0AA1B649E3D1810F3E798BD7982324C0EB ; 5AD9CC505438D174A3B23BF84E5CD812C224B43151C09FE5C96B0763625F8851 ; D4F68D359C2B50DADF954CABA682C4B66CE49E7E3D24294F3F3B2951675D6E8B ; 1E3B04AD05B666B17FA0EED595268E783A533F7C2E0B26EDA7717C5CD61DDE31 ; 0F139BE9D0FD542F9A72ADFDCF698C7643036CDA19377C14B0C01F5F50799DF9 ; F38BCC4639F876F49D0544E0A93D6FE940F9A76A55E1B892DD03BA8A10899AF0 ; 44E8DCB249CDB5D6B084BAD33F1141367C0FD92A14745092594DA6228BE4577C ; 63838C135F4AC6C6F1CE779469FCA3C4A3C37FDDADF8197DE1BB2ECEC5A0AD21","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","begin scoped draft translation-support material for covered algebra/ring/module/group rows","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Interslavic/Panslavic","open_source_blocker","source_package_lexicon_plus_publication_route_witness_blocked","keep_source_acquisition_gap_status","no_uncovered_or_blocked","interslavic_wikimedia_steen_slovnik_and_arxiv_publication_route_candidates","direct Interslavic web text; algebra; groups; rings; fields; vector spaces; source-package gap","3084E2F0EAFA8F1A2974321E0882417D5AA2E008CD0745AEB703F9EDB2041B66 ; 9594279A54EA7C6CF42EEF95368AF43BD0B4A5EEC922B1B099D3DD676C92440A ; DDDABD52139115EA0631B9794B59EDF945A0020E9E73E7A90A380266FEDBE9A9 ; 70C46E429AFE13400AEE028095391394B74CCE13AF10B538E8A5843B9DF5A931 ; FEA49944E69CC9D82DD5D757DECF2FF31518DA58F4EC6325BB493D01012D1EBE ; AB6214F63C32571F8830C63D83C93EF67DF56546C34F5C671DF7B5A368AE9291 ; 65C5AC421758357541251F3AEA4C7EEE4DFBC835A77A11129448BF0D1D899B6B ; B17C22BEA433F1B074A0BA1DAB77F057B6426651615FAB42E76F5E0C5F95373C ; 70E258A64CBA587F5F88173ECF1242A0CCC88F7124608717034D21E13C3D6597 ; 6D66D14B923C68B4A7ABEFB59323DFD66006791185F3CDB49509816F0883BE86 ; 92FE2561F70548CBA64A1C19E1DE2959EB15A8B76B3849F3104D0803A001742F ; BB3B3FF161B7108296760C34F7D136CBF527D27B4C4E3B03B197FD0E8FE8DEA3 ; F386EAFDC280EB9CD44BAA714D933ADA7A4C437266396088FBFDF30C87CF6EA9 ; 1B6F3090A03A3ACE8DB1787322E7179A6241B6349053BFAC67FFC6F10EDE9BF7 ; 0525151F90369B6642435811CC8342AB06176D9F8749F8FF1A3396EF5ACB8523 ; D50F134F7FB7AF89B25C8516C410AC6B48A25614E088290B76AB3E137CFE87C8 ; A572D33ECFB3D2CA577FEE11F00FF9FF591C7B05AEDCD41C215CDE9E747F5931 ; 06DA0A0E3704ED1BE5A01564074AC45A4913BE1C8BB16E17A6BA682FE9E1ECE0 ; 738038CF6038B9CFD27C93CAA4BB5C7472917777049B49CE8EB9422DAA72A9A8 ; AD5063F670F23F10F5050860C0B14CA25921A059F320EAAA7458BB9CCD6F1B2D ; B6B1E109F21D7E439E5C4D14988FD278FAF3030B876E1990ACFC0FE5B4F4D159 ; CDC1C2E54932CBA402D6D1E4F2C8F33C08DF42544A027175612BF8F7B67888CF ; 86E23D9628ED0A762A95B3374E3173081DB780BA9632EEC54E95B7DD454FE184 ; AFCB7528A7267BE3FCD96DC59AD72BEE1A8AB6ABF571FB9E0A209EED4344353B ; 71F3615AA762A45647F93A3578E456444E16D3C2C3B91093A8A8A558B2A7D214 ; DE74832B9EAA3F384DB74716765171E0B7C5466E19733A0D7F9F841EBD8F6AA7 ; A906D75D5C3135E82342C44FA2EB0D545C68F58E5C796F8784F54D3C50ED7CE2 ; 23E2B8CC480A0454A465ABB44B751F145F378F29C58B49F48057CA4D559D2B94 ; 8F82E9B3460B6B14F01262586B070130734B6E34BCD4CDEE4446409C325B087F ; 23FFDFBAE9078E04BF3FE5CDBCE5A0C83AEB7F74B7BE58D720392EAC085811B0 ; 1E15C6410435EC64FBA89425213220D1D42EA4980CA22FD3022C429B0B315FCD","Stable isv.wikipedia/Incubator Algebra raw wikitext, Steen dictionary controls, medzuslovjansky/slovnik dictionary source-package lexicon evidence, wiki revision/API controls, and arXiv route probes are cached; no publication-level mathematical authority, target-language TeX/e-print mathematical source, or qualified review exists.","Seek publication-level Interslavic/Panslavic mathematical source, target-language TeX/e-print/source package for a mathematical text, or qualified reviewer before authority claims; current Steen/wiki/slovnik/arXiv routes do not close the blocker.","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Macedonian","stable_witness_watch_only","stable_local_fulltext_witness_recently_promoted_no_tex","sufficient_for_scoped_draft_support","yes_draft_only","macedonian_ukim_math_lexicon ; macedonian_ukim_nary_algebra","mathematical lexicon; algebra terminology; groups; fields; modules ; algebraic structures; n-ary algebra; semigroups; operations","B01868524F3757A96D2AF13D91D8DC54AA1913A5011E16512161D29C20C70B91 ; 8D6A8BBB7EEABE9F92954E387FCB7EBB40180F4A24279ADD8722213E6448EA30 ; 64F0AAA257DE1F1E348A049858D491CB2FD4BFFE050F9BD4A902D5041254E14A ; 197BD48333DCE976CC56C15108A90030B02CF1282939D0BA7186A3D9FD9A95D4","Local fulltext witness exists; no source-level TeX/source package is present.","begin scoped draft translation-support material for covered algebra/ring/module/group rows","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Montenegrin","stable_witness_watch_only","stable_local_fulltext_witness_recently_promoted_no_tex","sufficient_for_scoped_draft_support","yes_draft_only","montenegrin_ucg_finite_fields_and_ects_controls","Montenegrin/UCG algebra; finite fields; rings; polynomial rings; Galois; coding theory","F175D3BB5B754207A4F55112A4869323501AA8654F937AC9007480B8BF8ED906 ; C1A8AA0297872771F3B5D831CD94CAAADF8A2821009C3E09703A8B515B7A1F68 ; 353DAD478A952DD60F876852539A0E8D776B2533CCB2B9B3B44DA5D9CAFE76EE","Local fulltext witness exists; no source-level TeX/source package is present.","begin scoped draft translation-support material for covered algebra/ring/module/group rows","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Polish","stable_witness_watch_only","stable_local_pdf_text_witnesses_no_tex","sufficient_for_scoped_draft_support","yes_draft_only","polish_impan_algebra_lecture3 ; polish_mimuw_algebra2_galois ; polish_mimuw_left_ideals_idempotents ; polish_mimuw_noncommutative_body ; polish_uj_algebra1_noetherian ; polish_uwr_algebra2_rings","rings; fields/Galois; groups/representations/algebras ; fields/Galois; groups/representations/algebras ; groups/representations/algebras ; Noetherian/Hilbert basis; fields/Galois; groups/representations/algebras","36859CBC3EEDC4003A84CF21174FD2F339AA53157AB4708A262CB799B2B34DA2 ; 2C8D15E14E196533F8E0790325A4F1923FF5B54824EA87C8A44AD046CACDB684 ; D4E871500B4A874E0485EBE8CF29A7DAA2ABB12777C3DC4B55C129CD093D95F6 ; 0853EC4137047BD878E7D345ADEB69CFBD31F0EA8DE6D21ED1A910A8BF70C6CD ; 392464B73274B97C2B0C751608AB256EBAC7BCA2BF9C6F86772BE2CD08E1CE9F ; 44764FFAED205328E1D2F39FA5E841827160B77D1243818F80322797F3F58C4A ; 97BC4806785E5A0EFCD0139ABFA9FA1A895CD8BB0447675882034B64A1853989 ; 0A9E5A16E340C45D1A23738411FEDC7DA5FC1C3DED2570C0C55901D7550B8B00 ; 557F3561FF48F81DD9BBEF9C7D8876EFE4D7AF216DD4161582F6EEA0D8E3DF33 ; 363A8B44A515A75608B3919711DBA6DDC8F9BD0399703F0EC26A249F501C6129 ; C6D562F5511D46E7CB0A4A9E0C8E6684B4295CBEDB7C17A9694112B214BC98B9 ; BB93F562BE2E953DA47A70BCCBBF351524019E333ACDC86CB20790D425F94F79","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","begin scoped draft translation-support material for covered algebra/ring/module/group rows","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Serbian","stable_witness_watch_only","stable_local_pdf_text_witnesses_no_tex","sufficient_for_scoped_draft_support","yes_draft_only","serbian_belgrade_algebra_i_lecture9","rings; fields/Galois; groups/representations/algebras","D9387411DF94C801D4452D15E7FCF17293B692BA29338449D138D6CA304AADE1 ; E46326B08B3CB17A69482E90BBF09C1CAAB2DE4037D4F9F2662331834FB9D93B","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","begin scoped draft translation-support material for covered algebra/ring/module/group rows","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
