scope,source,row_count_or_value,source_use_label,manual_review_status,b3_route
Old-B branch/package frontier,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_FAA2C330_READONLY_DELTA_AUDIT_20260706\SUMMARY.json,88,branch-delta/source-provenance/package-frontier evidence,B3 package authority required; not a translation evidence closure,Route digest ledgers and package frontier blockers to B3.
Old-B source/provenance signal paths,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_FAA2C330_READONLY_DELTA_AUDIT_20260706\SOURCE_PROVENANCE_SIGNAL_PATH_LEDGER.csv,16678,source-provenance signal path index,Path evidence only; no raw source blob pushed by coordinator.,B3 decides package eligibility after size/source safety checks.
Old-B package path files,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_FAA2C330_READONLY_DELTA_AUDIT_20260706\PACKAGE_PATH_FILE_LEDGER.csv,4316,package path ledger,Package frontier remains stewarded by B3.,B3 package steward only.
R2 exact source-row blocker table,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_STANDARDIZATION_SIBLING_SCAN_20260706\exact_source_row_blocker_table_faa2c330.csv,15,source-use/gap/blocker evidence,Hard blockers remain open; no Pan-Turkic bridge/pilot/term promotion.,Route as blocker ledger and recovery state.
R2 source witness/recovery rows,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_STANDARDIZATION_SIBLING_SCAN_20260706\source_witness_recovery_rows_faa2c330.csv,15,source witness/recovery evidence,Generated support remains source-gated and non-canonical.,"Packageable as ledgers, not closure."
R2 source-use ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_STANDARDIZATION_SIBLING_SCAN_20260706\source_use_ledger_faa2c330.csv,15,source-use/provenance/gap ledger,Use for routing only.,Packageable as source-use metadata.
R2 adverse evidence ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_STANDARDIZATION_SIBLING_SCAN_20260706\adverse_evidence_ledger_faa2c330.csv,15,adverse-evidence boundary ledger,Adverse/gap rows preserve non-completion.,Packageable as boundary metadata.
R2 Fable branch-weight boundary ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_STANDARDIZATION_SIBLING_SCAN_20260706\fable_branch_weight_boundary_ledger_faa2c330.csv,7,Fable boundary ledger,Branch weights withheld while hard blockers remain open.,Packageable as Fable boundary data.
R2 branch/Fable standardization readback,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_STANDARDIZATION_SIBLING_SCAN_20260706\branch_fable_standardization_readback_faa2c330.csv,14,standardization readback,"Readback evidence, not translation approval.",Packageable as governance metadata.
R2 sibling output scan,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FAA2C330_STANDARDIZATION_SIBLING_SCAN_20260706\sibling_output_scan_faa2c330.csv,16,sibling output state,Coordinator uses as wake/routing evidence only.,Packageable as route metadata.
R2 current transfer ZIP,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_FAA2C330_STANDARDIZATION_SIBLING_SCAN_20260706_CURRENT_PACKAGE.zip,20,B3 transfer package pointer,ZIP is packageable pointer; no push by coordinator.,B3 decides whether/how to package the ZIP or contents.
