repo,repo_url,is_fork,is_private,license_spdx,license_name,license_url,open_source_policy
kosyonikolov/FinalStupidty2021,https://github.com/kosyonikolov/FinalStupidty2021,false,false,,,,blocked_missing_or_unclear_license_metadata
NoHomey/fmi-bachelor-the-math-part,https://github.com/NoHomey/fmi-bachelor-the-math-part,false,false,,,,blocked_missing_or_unclear_license_metadata
v--/se2018,https://github.com/v--/se2018,false,false,CC0-1.0,Creative Commons Zero v1.0 Universal,,open_license_metadata
boki1/tex-doc-template,https://github.com/boki1/tex-doc-template,false,false,MIT,MIT License,,open_license_metadata
JanHerca/urantiapedia,https://github.com/JanHerca/urantiapedia,false,false,,,,blocked_missing_or_unclear_license_metadata
NoHomey/logic-programming-2019-2020,https://github.com/NoHomey/logic-programming-2019-2020,false,false,MIT,MIT License,,open_license_metadata
ValentinDeliyski/Dissertation,https://github.com/ValentinDeliyski/Dissertation,false,false,,,,blocked_missing_or_unclear_license_metadata
Angeld55/phd-thesis-onlinegn,https://github.com/Angeld55/phd-thesis-onlinegn,false,false,,,,blocked_missing_or_unclear_license_metadata
v--/notebook,https://github.com/v--/notebook,false,false,CC0-1.0,Creative Commons Zero v1.0 Universal,,open_license_metadata
code-hunger/modules-over-PID,https://github.com/code-hunger/modules-over-PID,false,false,,,,blocked_missing_or_unclear_license_metadata
CloakMe/Boussinesq,https://github.com/CloakMe/Boussinesq,false,false,,,,blocked_missing_or_unclear_license_metadata
tos-network/whitepaper,https://github.com/tos-network/whitepaper,false,false,,,,blocked_missing_or_unclear_license_metadata
code-hunger/math,https://github.com/code-hunger/math,false,false,,,,blocked_missing_or_unclear_license_metadata
aleksandarivke96/TLAPlus,https://github.com/aleksandarivke96/TLAPlus,false,false,,,,blocked_missing_or_unclear_license_metadata
andrija-urosevic/master-rad-hott,https://github.com/andrija-urosevic/master-rad-hott,false,false,,,,blocked_missing_or_unclear_license_metadata
uros-stegic/msnr-projekat,https://github.com/uros-stegic/msnr-projekat,false,false,GPL-3.0,GNU General Public License v3.0,,open_license_metadata
djokicd/zbirka-sis,https://github.com/djokicd/zbirka-sis,false,false,,,,blocked_missing_or_unclear_license_metadata
dancsi/PrimeneTeorijeGrupa,https://github.com/dancsi/PrimeneTeorijeGrupa,false,false,,,,blocked_missing_or_unclear_license_metadata
UladBohdan/bsu,https://github.com/UladBohdan/bsu,false,false,,,,blocked_missing_or_unclear_license_metadata
