audit_entry_number,parent_pdf_index_0based,parent_pdf_page_1based,printed_page_from_audit,audit_heading
346,349,350,,"### #346 (2026-07-10) — idx349 (vol p336 = Exposé V p40) — **★★★ VERY HEAVY RESTORE — 3 [agent] corruptions: (A) §4.10 tail **FABRICATED** («on prolonge l'augmentation par ε(X)=0…M_0={1}» → scan «on définit un λ-homom : B→K…augmentés. On se propose…filtration (3.10)…On gradue B…M_k monômes de poids k par rapport aux γ^i X») + (B) **Lemme 4.11 was a WHOLLY DIFFERENT (invented) statement** («Si x∈Fil^p A…γ^n(x+X)…Fil^{p+n-k}» → scan «Soit a∈A ; le coefficient d'un monôme de poids n…dans γ^k(aX)=P'_k(γ^i(a),γ^j X) est de filtration au moins k−n (dans A)» + RESTORE full proof P'_k/γ_t(aX)-split/R_{n,a}) + (C) Prop 4.12 remove «Pour tout k≥0» + remove **FABRICATED display+\tag{4.12.1}** → INLINE scan formula (·dots) + RESTORE proof «Il est clair…réciproque…γ^k(b), ε(b)=0»** — fix349.py (3 replaces)"
1101,349,350,336,"### #1101 (2026-07-24) - PHASE 3 COLD RE-VERIFY idx349 (Exposé V §4.10-fin[★«augmentés»-accord] + gradue-B/M_k + ★Lemme-4.11[P'_k-poids/filtration≥k-n/énoncé-SOULIGNÉ=STATEMENT-DROP-15e] + preuve-4.11 + ★Proposition-4.12[Fil^k B-décomposition/énoncé-FORMULE-PURE-NON-soulignée=PAS-de-drop] + preuve-4.12-début : footer «336» / top «-40-» / haut-droit «V») = **0 FIX inline, 0 coquille-source-nouvelle (mais ★★★«augmentés»-SOURCE-COQUILLE-CONFIRMÉE-RAS), 1 EMPHASE-DROP-STATEMENT (Lemme-4.11 énoncé-SOULIGNÉ). Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx349 : top «-40-»=idx-309 (349-309=40, band-top+band-a-CLAIR) ; haut-droit «V» (band-a) ; footer «336»=idx-13 (band-d-CONFIRMÉ ; get_text-«336»-CORRECT-cette-fois, top-«HO»-garble). ★★★ §4.10-fin (band-a, L7613-fin) = **«augmentés»-DÉCISIF** [«…ce qui munit B d'une structure de K-λ-algèbre augmen-/tés. On se propose de déterminer sa filtration (3.10) en fonction de celle de A.» ; ★★★ scan-band-a lit clairement «augmen-» (fin-ligne) + «tés» (début-ligne-suiv) = **«-tés»-MASC-PLURIEL** (PAS «-tée»-fém-sing) => **SOURCE-COQUILLE-d'accord** (K-λ-algèbre=fém-sing attend «augmentée» ; l'auteur a écrit «augmentés») => .tex-L7613-«augm..."
347,350,351,,"### #347 (2026-07-10) — idx350 (vol p337 = Exposé V p41) — **★★ HEAVY RESTORE Prop 4.12-proof / Rem 4.13 / Cor 4.14: RESTORE dropped Prop 4.12 proof continuation («ces éléments engendrant la filtration canonique. Ecrivant b=∑a_i m_i…γ^k(am_i)…lemme 4.11…γ^k(m_i)…P'_k…γ^k(γ^j X)…Q'_{j,k}…(3.6)») + Rem 4.13 [agent]-PARAPHRASE → scan **3-part i)/ii)/iii)** (somme directe A-modules / quotient / famille (X_i)) + Cor 4.14 remove **FABRICATED «En passant au gradué associé, on obtient» + display+\tag{4.14.1}** → INLINE ·dots + RESTORE dropped proof (flèche droite→gauche ā·m…13.i)…inverses)** — fix350.py (3 replaces)"
1102,350,351,337,"### #1102 (2026-07-24) - PHASE 3 COLD RE-VERIFY idx350 (Exposé V preuve-4.12-fin + ★Remarques-4.13[i)/ii)/iii)-INFORMEL-corps-plain] + ★Corollaire-4.14[Gr^k B≃Gr^k A⊕⋯/énoncé-FORMULE-PURE-NON-soulignée=PAS-de-drop] + preuve-4.14 : footer «337» / top «-41-» / haut-droit «V») = **0 FIX inline, 0 EMPHASE-DROP, 0 coquille-source. PAGE-PROPRE, tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx350 : top «-41-»=idx-309 (350-309=41, band-top+band-a-CLAIR) ; haut-droit «V» (band-top) ; footer «337»=idx-13 (band-d-CONFIRMÉ ; get_text-«597»-garble). ★ preuve-4.12-fin (band-a/b, L7629-7635) = MATCH [«…engendrant la filtration canonique. Ecrivant b=Σa_i m_i, avec a_i∈A, et les m_i étant des monômes par rapport aux γ^j X, en utilisant l'additivité de γ_t, on voit qu'il suffit de faire la démonstration pour γ^k(am_i), avec a∈A et m_i∈M_i. En utilisant le lemme 4.11. et le A-λ-homomorphisme de B dans B qui envoie X sur m_i, on voit qu'il suffit de faire la démonstration pour un élément du type γ^k(m_i). Enfin, le polynôme P'_k étant sans composantes isobares de poids <k, on est ramené au cas γ^k(γ^j X), qui résulte lui-même du fait que les polynômes Q'_{j,k} sont sans composantes isobares d..."
348,351,352,,"### #348 (2026-07-10) — idx351 (vol p338 = Exposé V p42, into §5) — **★★ HEAVY RESTORE Cor 4.15 / §5 head+intro / §5.1 / Lemme 5.2: Cor 4.15 reword + RESTORE dropped proof + §5 heading «Les éléments λ^p(N,x)»→**«Les λ^p(N,x)»** ([agent] added «éléments») + §5 intro reword («Ce paragraphe…Exp.VII 4…il peut donc être omis») + §5.1 reword + remove **3rd FABRICATED eq-tag \tag{5.1.1}** + Lemme 5.2 statement («l'élément» removed, **«x·λ_{-1}(N)» \cdot**) + RESTORE scan proof (P_p isobare / B engendré sur ℤ / f:A→B / Ĝ(f)(λ_t(N))=∏(1+N_i t))** — fix351.py (5 replaces)"
1103,351,352,338,"### #1103 (2026-07-24) - PHASE 3 COLD RE-VERIFY idx351 (Exposé V ★Corollaire-4.15[énoncé-PROSE-SOULIGNÉ=STATEMENT-DROP-16e] + preuve-4.15 + ★★§5-DÉBUT «5. Les λ^p(N,x)» + §5-intro + §5.1[ℤ-λ-algèbre] + λ_{-1}(N) + ★Lemme-5.2[énoncé-SOULIGNÉ=STATEMENT-DROP-17e] + preuve-5.2-début : footer «338» / top «-42-» / haut-droit «V») = **0 FIX inline, 2 EMPHASE-DROP-STATEMENT (Cor-4.15 + Lemme-5.2), 0 coquille-source. Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx351 : top «-42-»=idx-309 (351-309=42, band-top+band-a-CLAIR) ; haut-droit «V» (band-a) ; footer «338»=idx-13 (band-d-CONFIRMÉ ; get_text-top-«Le»-garble). ★★★ Corollaire-4.15 (band-a, L7647) = MATCH-avec-DROP [«Corollaire 4.15. Soit B' le λ-anneau engendré sur K par l'indéterminée X soumise aux relations γ^k(X)=0 pour k>n, i.e. B'=K[X,…,γ^n X] (4.9). Alors la filtration de λ-anneau de B' est identique à la filtration par le poids par rapport aux γ^j X.» ; ★«Corollaire»-label-souligné ; ★★★ÉNONCÉ-PROSE-SOULIGNÉ-scan-band-a(«Soit…le…anneau engendré sur K par l'indéterminée…soumise aux relations…pour…i.e.…Alors la filtration de…est identique à la filtration…tion par le poids par rapport aux»-prose-SOULIGNÉS-CONTINU ; .tex-L7..."
349,352,353,,"### #349 (2026-07-10) — idx352 (vol p339 = Exposé V p43) — **★★ HEAVY RESTORE Lemme 5.2 proof-completion + §5.3: RESTORE Lemme 5.2 p43 continuation ([agent]'s compressed «Si l'un des N_i vaut 1…» dropped #348 → scan «ce qui montre que pour 1≤k≤d, λ^k N s'envoie sur la k-ième fonction symétrique…f injectif…identifie A à l'anneau des polynômes symétriques…On a alors λ_{-1}(N)=∏(1-N_i)…divisibles par λ_{-1}(N) dans B, donc aussi dans A…symétrique») + §5.3 «Définition 5.3.»→plain **«5.3.»** + reword «on définit sans ambiguïté un élément λ^p(N,x) en posant (p≥1) :» + **(5.3.1) GENUINE tag KEPT** (NOT all tags fabricated!) + «·»dots + RESTORE dropped «Soient d' un entier ≥d…A'…prop 4.7…f:A'⟶A…f(λ^p(N',x'))=λ^p(N,x)…Si B…N''…on encore[sic]…»** — fix352.py (2 replaces)"
1104,352,353,339,"### #1104 (2026-07-24) - PHASE 3 COLD RE-VERIFY idx352 (Exposé V §5 preuve-5.2-fin[polynômes-symétriques-N_i/∏(1-N_i)] + ★★§5.3[définition-λ^p(N,x)/(5.3.1)] + continuation[Soient-d'/Si-B] : footer «339» / top «-43-» / haut-droit «V») = **0 FIX inline, 0 EMPHASE-DROP, 1 coquille-source CONFIRMÉE («on encore»→«ou encore»-RAS). Tout MOT-POUR-MOT. PAGE-SANS-label-formel.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx352 : top «-43-»=idx-309 (352-309=43, band-a-CLAIR) ; haut-droit «V» (band-a) ; footer «339»=idx-13 (band-d-CONFIRMÉ ; get_text-idx352-INHABITUELLEMENT-PROPRE-top/footer/mots-corrects). ★ preuve-5.2-fin (band-a/b, L7673-7675) = MATCH [«ce qui montre que pour 1≤k≤d, λ^k N s'envoie sur la k-ième fonction symétrique des N_i, et par suite que f est injectif et identifie A à l'anneau des polynômes symétriques en les N_i. On a alors λ_{-1}(N)=∏_{i=1}^d(1-N_i), et λ_t(λ_{-1}(N))=λ_t(∏_{i=1}^d(1-N_i)). Les λ^p(λ_{-1}(N)) sont des polynômes par rapport aux N_i ; si pour certain indice i on fait N_i=1, on voit que λ_t(λ_{-1}(N)) devient λ_t(0)=1, donc que les λ^p(λ_{-1}(N)) s'annulent pour N_i=1, donc qu'ils contiennent 1-N_i en facteur. Donc ils contiennent le produit des 1-N_i en facteur, ..."
350,353,354,,"### #350 (2026-07-10) — idx353 (vol p340 = Exposé V p44) — **★★ HEAVY RESTORE §5.3 tail + §5.4 ([agent] compressed 2 multi-line derivations to 2 formulas): §5.3 tail refine («qui envoie N sur N'', et x sur x'' ; …l'élément obtenu ne dépend pas de l'entier d…relation (5.3.1) est vérifiée par N'' et x''») + §5.4 REWORD open («Considérons le λ-anneau engendré sur ℤ par les indéterminées N,x,y…De (5.3.1) résulte :») + RESTORE 3-line derivation + «Comme l'anneau considéré est intègre…» + **(5.4.1) GENUINE tag** but **REORDERED** (∑…λ_{-1}(N) first, then +λ^p(N,x)+λ^p(N,y)) + **«i,j>0»→«i,j≠0»** + RESTORE «Considérons maintenant…N,N',x…» + 2 more derivation displays (2nd derivation ENDS p44; (5.4.2) conclusion is p45)** — fix353.py (2 replaces)"
1105,353,354,340,"### #1105 (2026-07-24) - PHASE 3 COLD RE-VERIFY idx353 (Exposé V §5 continuation-5.3-fin + ★★§5.4[additivité-λ^p(N,x+y)/(5.4.1)/λ_{-1}(N+N')=λ_{-1}(N)·λ_{-1}(N')] : footer «340» / top «-44-» / haut-droit «V») = **★★2 FIX inline (2 [agent]-SUR-CORRECTIONS-restaurées : «remarque»→«rematque» L7685 + «déduit»→«désuit» L7695), 0 EMPHASE-DROP, 2 coquilles-source-RESTAURÉES-fidèles. GATE-recompilé-0-err.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx353 : top «-44-»=idx-309 (353-309=44, band-a-CLAIR) ; haut-droit «V» (band-a) ; footer «340»=idx-13 (band-d-CONFIRMÉ ; get_text-top-«ll»-garble). ★ continuation-5.3-fin (band-a, L7685) = MATCH-avec-FIX [«…de A dans B qui envoie N sur N'', et x sur x'' ; d'après la rematque précédente, l'élément obtenu ne dépend pas de l'entier d tel que λ^k(N'')=0 pour k>d. En utilisant le même homomorphisme, on voit que la relation (5.3.1) est vérifiée par N'' et x''.» ; ★★«remarque»→«rematque»-FIX-inline-L7685(ZOOM-8000dpi-band-a-DÉCISIF=«rematque»-r-e-m-a-**t**-q-u-e-crossbar-CLAIR ; source-COQUILLE ; .tex-avait-«remarque»=[agent]-SUR-CORRECTION => RESTAURÉ-«rematque») ; N''/x''/λ^k(N'')=0/relation-(5.3.1)]. ★ §5.4 (band-a, L7687) = MATCH [«5.4. Considérons le λ-an..."
