label,pdf_filename,pdf_pages,pdf_bytes,pdf_sha256,master_tex_filename,master_tex_bytes,source_chunks_dir,source_chunks_count,chunks_first_page,chunks_last_page,missing_internal_ranges
Front Matter,Cayley_Collected_Mathematical_Papers_Front_Matter.pdf,138,544512,ae3de411844036e6350721c4e904b5e100cb6f126ba60b3e2b3bd0217ff92f1d,Cayley_Collected_Mathematical_Papers_Front_Matter.tex,246142,sources_tex_Front_Matter,3,1,160,none
Vol. I,Cayley_Collected_Mathematical_Papers_Vol_I.pdf,573,2142820,ee03faaac731a0e87b5bd47789650e65877ee56300e93b9a5e92117f87f64c4d,Cayley_Collected_Mathematical_Papers_Vol_I.tex,930056,sources_tex_Vol_I,12,1,620,none
Vol. II,Cayley_Collected_Mathematical_Papers_Vol_II.pdf,478,1733425,6bc873747284f13cabd03f3443790d0f7f753d4e11f8498409b87930235ac736,Cayley_Collected_Mathematical_Papers_Vol_II.tex,875612,sources_tex_Vol_II,11,1,628,105_156
Vol. III,Cayley_Collected_Mathematical_Papers_Vol_III.pdf,381,1560066,a41976ec0d1a0fc3fc620e495aca6487ec2cdfc5994e3c7ff96b05c1b7ee9667,Cayley_Collected_Mathematical_Papers_Vol_III.tex,787293,sources_tex_Vol_III,12,1,594,none
Vol. IV,Cayley_Collected_Mathematical_Papers_Vol_IV.pdf,534,2069304,739c6040ae8f661bad715c8c41dfb5e15a48c4430e2916fd6ab1baf1b96b2ed5,Cayley_Collected_Mathematical_Papers_Vol_IV.tex,980526,sources_tex_Vol_IV,13,1,648,none
Vol. V,Cayley_Collected_Mathematical_Papers_Vol_V.pdf,580,2232358,6f3e69a71b39361ce784fdead7437899de5bc0c5227cc978895f005e49239396,Cayley_Collected_Mathematical_Papers_Vol_V.tex,1182472,sources_tex_Vol_V,13,1,650,none
Vol. VI,Cayley_Collected_Mathematical_Papers_Vol_VI.pdf,561,2024095,085c23efa59783392d40ca605e92f88eb8030acf44e523708334b92faa281fca,Cayley_Collected_Mathematical_Papers_Vol_VI.tex,1022977,sources_tex_Vol_VI,13,1,636,none
Vol. VII,Cayley_Collected_Mathematical_Papers_Vol_VII.pdf,586,2133554,2cfe064655c1e6f8a77444f408234762ae061838f3da06d9a35b3c533197ca9a,Cayley_Collected_Mathematical_Papers_Vol_VII.tex,1069170,sources_tex_Vol_VII,13,1,652,none
Vol. IX,Cayley_Collected_Mathematical_Papers_Vol_IX.pdf,502,1853141,b2db4bfa223fd3a0afbcfe3d89b0358ab4b359ed8d62e82d750cb598b27269ae,Cayley_Collected_Mathematical_Papers_Vol_IX.tex,851436,sources_tex_Vol_IX,13,1,650,none
Vol. X,Cayley_Collected_Mathematical_Papers_Vol_X.pdf,585,1866410,d615de3517b68743c4a6cdd7849a8730778a4c17bdcd52bf37af69596f2495e8,Cayley_Collected_Mathematical_Papers_Vol_X.tex,937006,sources_tex_Vol_X,13,1,640,none
Vol. XI,Cayley_Collected_Mathematical_Papers_Vol_XI.pdf,546,2159965,cce191cdd6c5fc04026f883eece342870bb9c88e2fa3e4c52fe8302078ee2898,Cayley_Collected_Mathematical_Papers_Vol_XI.tex,1087528,sources_tex_Vol_XI,13,1,672,none
Vol. XII,Cayley_Collected_Mathematical_Papers_Vol_XII.pdf,471,1901800,cd52f4dfeda05dd775c158f37517c241b494ee2e43ae6e26262e66dff1184d8e,Cayley_Collected_Mathematical_Papers_Vol_XII.tex,877837,sources_tex_Vol_XII,12,1,680,101_150
Vol. XIII,Cayley_Collected_Mathematical_Papers_Vol_XIII.pdf,454,1721630,18ec90340fd67446f114e6dc74440c826b01b6730ae8109ce555fa3e43bb0f4a,Cayley_Collected_Mathematical_Papers_Vol_XIII.tex,849944,sources_tex_Vol_XIII,12,1,594,none
Vol. VIII,(not produced),0,0,,(not produced),0,(none),0,0,0,ENTIRE VOLUME MISSING - no available TeX source available
