"root_name","local_path","dest_base","package_status","classification","file_count","bytes","manifest_rows","manifest_bad","sha_rows","sha_bad","placeholder_context_hits","placeholder_blocking_hits","control_byte_hits","credential_hits","archive_primaries","large_files_ge_50mib"
"CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","uploader-transfer/cjk-native-source-evidence-b95298e7-frontier-advance-source-use-codepoint-fable-20260707","ok","CJK Native B952 source-use/codepoint/Fable recovery; zero conservative CJK signal paths","22","202244","20","0","20","0","0","0","0","0","0","0"
"CJK_NATIVE_C4304BFD_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_C4304BFD_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","uploader-transfer/cjk-native-source-evidence-c4304bfd-frontier-advance-source-use-codepoint-fable-20260707","ok","CJK Native C430 source-use/codepoint/Fable recovery; package/source-use context only","22","200384","19","0","21","0","0","0","0","0","0","0"
"CJK_NATIVE_45250D8F_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_45250D8F_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","uploader-transfer/cjk-native-source-evidence-45250d8f-frontier-advance-source-use-codepoint-fable-20260707","ok","CJK Native 45250D8F prior-frontier source-use/codepoint/Fable recovery","22","143008","19","0","21","0","0","0","0","0","0","0"
"CJK_DRAFT_45250D8F_CURRENT_FRONTIER_HEARTBEAT_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_45250D8F_CURRENT_FRONTIER_HEARTBEAT_20260707","uploader-transfer/cjk-source-evidence-draft-45250d8f-current-frontier-heartbeat-20260707","ok","CJK Draft 45250D8F generated-draft/non-canonical heartbeat; prior-frontier context only","23","1623648","21","0","21","0","4","0","0","0","0","0"
"ARABIC_RTL_45250D8F_LIVE_HEAD_AFTER_9CFCF1AC_SOURCE_USE_GAP_RECOVERY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_45250D8F_LIVE_HEAD_AFTER_9CFCF1AC_SOURCE_USE_GAP_RECOVERY_20260707","uploader-transfer/arabic-rtl-source-evidence-draft-45250d8f-source-use-gap-recovery-20260707","ok","Arabic RTL 45250D8F source-use/gap recovery; draft/non-canonical review-only context","14","76666","11","0","11","0","2","0","0","0","0","0"
"NON_SLAVIC_CORE_C4304BFD_452_CJK_ARABIC_ROUTE_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C4304BFD_452_CJK_ARABIC_ROUTE_20260707","uploader-transfer/non-slavic-core-c4304bfd-452-cjk-arabic-route-20260707","ok","Non-Slavic Core C430 CJK/Arabic route; source-use/provenance/gap route context only","18","100799","15","0","17","0","0","0","0","0","0","0"
"R9_B95298E7_FRONTIER_CORRECTION_RECOVERY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_B95298E7_FRONTIER_CORRECTION_RECOVERY_20260707","uploader-transfer/r9-africa-horn-west-b95298e7-frontier-correction-recovery-20260707","ok","R9 B952 source-use/gap/Fable/adverse correction recovery","17","299851","15","0","15","0","0","0","0","0","0","0"
"OLP_B95298E7_INTERLINEAR_TERMINOLOGY_HEARTBEAT_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_B95298E7_INTERLINEAR_TERMINOLOGY_HEARTBEAT_20260707","uploader-transfer/olp-relation-function-support-b95298e7-interlinear-terminology-heartbeat-20260707","ok","OLP B952 interlinear/terminology heartbeat; generated-draft/non-canonical support only","14","49688","11","0","12","0","0","0","0","0","0","0"
"OLP_B95298E7_SOURCE_USE_ADVERSE_SYSTEMERROR_RECOVERY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_B95298E7_SOURCE_USE_ADVERSE_SYSTEMERROR_RECOVERY_20260707","uploader-transfer/olp-relation-function-support-b95298e7-source-use-adverse-systemerror-recovery-20260707","ok","OLP B952 source-use/adverse systemError recovery; no review/approval claim","15","28458","12","0","13","0","0","0","0","0","0","0"
"OLP_B95298E7_REVIEW_BOUNDARY_SYSTEMERROR_RECOVERY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_B95298E7_REVIEW_BOUNDARY_SYSTEMERROR_RECOVERY_20260707","uploader-transfer/olp-relation-function-support-b95298e7-review-boundary-systemerror-recovery-20260707","ok","OLP B952 review-boundary accounting; reviewer/mapping/translation/approval deltas remain zero","13","21443","10","0","11","0","0","0","0","0","0","0"
