"row_id","filename","status","category","additions","deletions","changes","label"
"23630643-path-001","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_HELD_NONSLAVIC_B95298E7_MALFORMED_ROUTE_AND_SYSTEMERROR_QUEUE_20260707/BRANCH_AND_DECISION.csv","added","b3-held-nonslavic-owner-repair-blocker","7","0","7","source-use/provenance/gap/package-context"
"23630643-path-002","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_HELD_NONSLAVIC_B95298E7_MALFORMED_ROUTE_AND_SYSTEMERROR_QUEUE_20260707/CONTROL_BYTE_EVIDENCE.csv","added","b3-held-nonslavic-owner-repair-blocker","3","0","3","source-use/provenance/gap/package-context"
"23630643-path-003","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_HELD_NONSLAVIC_B95298E7_MALFORMED_ROUTE_AND_SYSTEMERROR_QUEUE_20260707/MANIFEST.csv","added","b3-held-nonslavic-owner-repair-blocker","5","0","5","source-use/provenance/gap/package-context"
"23630643-path-004","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_HELD_NONSLAVIC_B95298E7_MALFORMED_ROUTE_AND_SYSTEMERROR_QUEUE_20260707/README.md","added","b3-held-nonslavic-owner-repair-blocker","0","0","0","source-use/provenance/gap/package-context"
"23630643-path-005","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_HELD_NONSLAVIC_B95298E7_MALFORMED_ROUTE_AND_SYSTEMERROR_QUEUE_20260707/SHA256SUMS.txt","added","b3-held-nonslavic-owner-repair-blocker","4","0","4","source-use/provenance/gap/package-context"
"23630643-path-006","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_HELD_NONSLAVIC_B95298E7_MALFORMED_ROUTE_AND_SYSTEMERROR_QUEUE_20260707/VALIDATION_BLOCKERS.csv","added","b3-held-nonslavic-owner-repair-blocker","3","0","3","source-use/provenance/gap/package-context"
"23630643-path-007","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_B95298E7_CJK_OLP_R2_R7_R9_SLAVIC_RETURNS_BATCH_20260707/B3_ACTION_SUMMARY.csv","added","b3-clean-package-return","2","0","2","source-use/provenance/gap/package-context"
"23630643-path-008","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_B95298E7_CJK_OLP_R2_R7_R9_SLAVIC_RETURNS_BATCH_20260707/BRANCH_PR_STATE.csv","added","b3-clean-package-return","10","0","10","source-use/provenance/gap/package-context"
"23630643-path-009","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_B95298E7_CJK_OLP_R2_R7_R9_SLAVIC_RETURNS_BATCH_20260707/HELD_ROOTS_AND_BLOCKERS.csv","added","b3-clean-package-return","2","0","2","source-use/provenance/gap/package-context"
"23630643-path-010","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_B95298E7_CJK_OLP_R2_R7_R9_SLAVIC_RETURNS_BATCH_20260707/MANIFEST.csv","added","b3-clean-package-return","10","0","10","source-use/provenance/gap/package-context"
"23630643-path-011","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_B95298E7_CJK_OLP_R2_R7_R9_SLAVIC_RETURNS_BATCH_20260707/MANIFEST_REPLAY.csv","added","b3-clean-package-return","316","0","316","source-use/provenance/gap/package-context"
"23630643-path-012","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_B95298E7_CJK_OLP_R2_R7_R9_SLAVIC_RETURNS_BATCH_20260707/PACKAGE_FILE_LEDGER.csv","added","b3-clean-package-return","360","0","360","source-use/provenance/gap/package-context"
"23630643-path-013","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_B95298E7_CJK_OLP_R2_R7_R9_SLAVIC_RETURNS_BATCH_20260707/PACKAGE_ROOT_SUMMARY.csv","added","b3-clean-package-return","18","0","18","source-use/provenance/gap/package-context"
"23630643-path-014","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_B95298E7_CJK_OLP_R2_R7_R9_SLAVIC_RETURNS_BATCH_20260707/README.md","added","b3-clean-package-return","9","0","9","source-use/provenance/gap/package-context"
