identifier,archive_url,title,creator,date,publicdate
kitabalqanunalma01biru,https://archive.org/details/kitabalqanunalma01biru,Kitāb al-Qānūn al-Maʻsudī,"Bīrūnī, Muḥammad ibn Aḥmad, 973?-1048 880-01",1954,2015-08-07 15:07:00
kitabalqanunalma02biru,https://archive.org/details/kitabalqanunalma02biru,Kitāb al-Qānūn al-Maʻsudī,"Bīrūnī, Muḥammad ibn Aḥmad, 973?-1048 880-01",1954,2015-08-07 15:07:01
kitabalqanunalma03biru,https://archive.org/details/kitabalqanunalma03biru,Kitāb al-Qānūn al-Maʻsudī,"Bīrūnī, Muḥammad ibn Aḥmad, 973?-1048 880-01",1954,2015-08-07 15:07:02
KASH1969SCI,https://archive.org/details/KASH1969SCI,مفتاح الحساب,جمشيد غياث الدين الكاشي,1969,2025-01-18 22:56:28
KitabMiftahAlHisab,https://archive.org/details/KitabMiftahAlHisab,كتاب مفتاح الحساب,جمشيد بن محمود بن مسعود الكاشي,1887-05,2019-02-24 02:42:27
bwb_S0-AYG-042,https://archive.org/details/bwb_S0-AYG-042,The Algebra of Omar Khayyam,Daoud Kasir,1931,2025-04-03 02:53:39
20230430_20230430_1424,https://archive.org/details/20230430_20230430_1424,تحرير أصول إقليدس طبعة حجرية مغربية,,1876,2023-04-30 14:32:21
01_20220520_202205,https://archive.org/details/01_20220520_202205,تحرير إقليدس نصير الدين الطوسي 01,,,2022-05-20 06:17:31
04_20220521,https://archive.org/details/04_20220521,تحرير إقليدس نصير الدين الطوسي 04,,,2022-05-21 05:51:43
20220508_20220508_0626,https://archive.org/details/20220508_20220508_0626,تحرير أصول إقليدس للطوسي,,,2022-05-08 06:30:25
biruni-1879-sachau-chronology-ancient-nations,https://archive.org/details/biruni-1879-sachau-chronology-ancient-nations,The Chronology of Ancient Nations,"['Al-Biruni', 'Alberonius', 'Edward Sachau, translator']",,2026-02-12 23:42:28
