priority,work_key,author,title,identifier,archive_item,file,file_url,ia_format,ia_size,local_path,packet_path,download_status,bytes,sha256,reason,note
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma01biru,https://archive.org/details/kitabalqanunalma01biru,kitabalqanunalma01biru.pdf,https://archive.org/download/kitabalqanunalma01biru/kitabalqanunalma01biru.pdf,Text PDF,40235957,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru.pdf,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru.pdf,already-present,40235957,63afc986e21a5041f28469ab4c08f0e1cc09ed46d4c26d7c40eb028a4bdced53,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 1 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma01biru,https://archive.org/details/kitabalqanunalma01biru,kitabalqanunalma01biru_djvu.txt,https://archive.org/download/kitabalqanunalma01biru/kitabalqanunalma01biru_djvu.txt,DjVuTXT,423762,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru_djvu.txt,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru_djvu.txt,already-present,423762,23b9e6e20de6dd5ff5b2919394a74e8177803b6d51e8d296334d9f31f9bc15b7,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 1 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma01biru,https://archive.org/details/kitabalqanunalma01biru,kitabalqanunalma01biru_djvu.xml,https://archive.org/download/kitabalqanunalma01biru/kitabalqanunalma01biru_djvu.xml,Djvu XML,6532358,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru_djvu.xml,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru_djvu.xml,already-present,6532358,759a8222f7bcfd070aecf8a3c982eb0e3d05abaa74adcfc1f6c07d62d23aa9cd,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 1 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma01biru,https://archive.org/details/kitabalqanunalma01biru,kitabalqanunalma01biru_scandata.xml,https://archive.org/download/kitabalqanunalma01biru/kitabalqanunalma01biru_scandata.xml,Scandata,888233,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru_scandata.xml,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru_scandata.xml,already-present,888233,e5fa573b31e6102c83adb57842a8ae479d246deb9cdb2e8c59d4fc1ee7ba2c38,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 1 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma01biru,https://archive.org/details/kitabalqanunalma01biru,kitabalqanunalma01biru_meta.xml,https://archive.org/download/kitabalqanunalma01biru/kitabalqanunalma01biru_meta.xml,Metadata,2912,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru_meta.xml,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma01biru\kitabalqanunalma01biru_meta.xml,already-present,2912,353868811f07d515ba6c9d5e93d4fb0279b1ed31fc0ac6ca698dba3466c6c7be,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 1 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma02biru,https://archive.org/details/kitabalqanunalma02biru,kitabalqanunalma02biru.pdf,https://archive.org/download/kitabalqanunalma02biru/kitabalqanunalma02biru.pdf,Text PDF,38719072,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru.pdf,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru.pdf,already-present,38719072,d3cd3ad871fe6944a01750f407033592cb3c6eb4081fca7754270e8f94a697d6,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 2 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma02biru,https://archive.org/details/kitabalqanunalma02biru,kitabalqanunalma02biru_djvu.txt,https://archive.org/download/kitabalqanunalma02biru/kitabalqanunalma02biru_djvu.txt,DjVuTXT,397038,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru_djvu.txt,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru_djvu.txt,already-present,397038,132b1bb8be1f8684c2fe0695c77e79e4dfa0342010e3aba1f8434467875557f7,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 2 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma02biru,https://archive.org/details/kitabalqanunalma02biru,kitabalqanunalma02biru_djvu.xml,https://archive.org/download/kitabalqanunalma02biru/kitabalqanunalma02biru_djvu.xml,Djvu XML,6109125,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru_djvu.xml,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru_djvu.xml,already-present,6109125,c5225348ef165b25db695a6c9165673e9ae8f7db79f685864b039b7414954275,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 2 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma02biru,https://archive.org/details/kitabalqanunalma02biru,kitabalqanunalma02biru_scandata.xml,https://archive.org/download/kitabalqanunalma02biru/kitabalqanunalma02biru_scandata.xml,Scandata,825532,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru_scandata.xml,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru_scandata.xml,already-present,825532,f3687b93c9a1ae75071b2e25631d6aac92118ca77058ef07aaf7bb8a1e6a1a5b,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 2 of 3.
P0,biruni_qanun_masudi,al-Biruni,Kitab al-Qanun al-Masudi,kitabalqanunalma02biru,https://archive.org/details/kitabalqanunalma02biru,kitabalqanunalma02biru_meta.xml,https://archive.org/download/kitabalqanunalma02biru/kitabalqanunalma02biru_meta.xml,Metadata,2881,C:\Users\Floris\Documents\Papors\Codex_Downloads\persian_iranian_math_source_intake_20260601\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru_meta.xml,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\manuscript_translation_project\release_candidates\additional_assistance_packets_current\persian_iranian_math_source_intake_20260601\downloaded_sources\biruni_qanun_masudi\kitabalqanunalma02biru\kitabalqanunalma02biru_meta.xml,already-present,2881,908d3abd2803c601c1e7c96ab0a7770f9ad8faa78d680df777c0c1ec4cdd7852,Major Persian/Islamic astronomy and mathematical astronomy source; high-value gap for the non-European corpus.,Volume 2 of 3.
