"blocker_or_gap","language_gate","source_basis","next_action","status","blocker_id"
"Do not use Arabic rows as Persian/Farsi evidence.","cross-gate","manager directives plus standardization do-not-use/source-use ledgers","block inheritance or promotion","active do-not-use/adverse boundary","POSTPUSH-DNU-AR-FA"
"Do not use fa_IR rows as Arabic evidence.","cross-gate","manager directives plus standardization do-not-use/source-use ledgers","block inheritance or promotion","active do-not-use/adverse boundary","POSTPUSH-DNU-FA-AR"
"Do not use fa_IR rows as Dari/Tajik evidence.","cross-gate","manager directives plus standardization do-not-use/source-use ledgers","block inheritance or promotion","active do-not-use/adverse boundary","POSTPUSH-DNU-FA-PRS-TG"
"Do not use Urdu rows as Hindustani/Hindi evidence.","cross-gate","manager directives plus standardization do-not-use/source-use ledgers","block inheritance or promotion","active do-not-use/adverse boundary","POSTPUSH-DNU-UR-HIND"
"Do not use Ottoman/Turkic provenance leads as Pan-Turkic witness bodies.","cross-gate","manager directives plus standardization do-not-use/source-use ledgers","block inheritance or promotion","active do-not-use/adverse boundary","POSTPUSH-DNU-OTA-PAN-TURKIC"
"Do not use generated drafts as native witness, accepted terminology, or review.","cross-gate","manager directives plus standardization do-not-use/source-use ledgers","block inheritance or promotion","active do-not-use/adverse boundary","POSTPUSH-DNU-DRAFT-WITNESS"
"Urdu Wikibooks bodies are captured, but independent university/open-course PDF or TeX witnesses remain missing.","ur_Arab","cycle4 recovery scaffold","Search Pakistani/Urdu university course pages, OER repositories, and PDF lecture notes for linear algebra, eigenvalue, matrix, vector-space terms.","open","C4-UR-PDF-001"
"Urdu target renderings are generated-draft scaffolds from captured source contexts, not accepted terminology.","ur_Arab","cycle4 recovery scaffold","Route to Urdu/Hindustani owner only after independent gate; keep Hindustani separate.","draft-only","C4-UR-REGISTER-001"
"Current Ottoman/Turkic leads are modern Turkish articles, PDFs, and catalog/provenance signals, not literal Ottoman Arabic-script source bodies.","ota_Arab","cycle4 recovery scaffold","Trace Cebir Risalesi, Usul-i Cebir/Zeyl-i Usul-i Cebir, and Hesab-i Tahlili call numbers/scans.","open","C4-OTA-LITERAL-001"
"No Ottoman generated target renderings are authorized in this increment.","ota_Arab","cycle4 recovery scaffold","Keep Ottoman rows in source-canon/provenance recovery until literal source-body gate closes.","blocked","C4-OTA-DRAFT-STOP-001"
"Arabic/fa_IR/prs_AF/tg_Cyrl_TJ/ur_Arab/ota_Arab/ug_Arab evidence remains gate-separated.","all","cycle4 recovery scaffold","Require independent source-gated rows and review routing for each gate.","active","C4-GATE-BOUNDARY-001"
"Authority package routes owner-lane draft work but does not provide native/community review, accepted terminology, license clearance, source certification, gate promotion, final status, bridge/pilot status, or translation completion.","all","INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706","Keep outputs draft/noncanonical/source-use/provenance/gap-labeled and route review questions to owner lanes.","active","AUTH-R3-REVIEW-AUTHORITY-001"
"Requested branch floor was 8f7d1cb30ca4347812d05bfbe110b134bb758870, but observed origin/codex/noether-pc-20260629 is 3e89d9591c642ee1dce4defee2996ab674910012 during generation.","B3 packaging","live branch verification","B3 should package against the current branch head or request a replay if an exact 8f7d1cb floor artifact is needed.","branch advanced after user instruction","AUTH-R3-BRANCH-DRIFT-001"
