"gate_id","branch_head","lane","owner_route","source_use_gate","instruction","previous_source_witness_rows","required_evidence_fields","label_boundary"
"8F7D-GATE-0001","8f7d1cb30ca4347812d05bfbe110b134bb758870","Arabic","Arabic RTL split/F and Arabic draft lane","source-body-present","target/source body path and hash are visible; owner lane may draft only as generated-draft/noncanonical","554","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0002","8f7d1cb30ca4347812d05bfbe110b134bb758870","Arabic","Arabic RTL split/F and Arabic draft lane","pointer-only","URL/path pointer exists but body/hash missing; keep as recovery/gap row","554","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0003","8f7d1cb30ca4347812d05bfbe110b134bb758870","Arabic","Arabic RTL split/F and Arabic draft lane","adverse-evidence-required","do-not-use/adverse evidence check must precede candidate term selection","554","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0004","8f7d1cb30ca4347812d05bfbe110b134bb758870","Arabic","Arabic RTL split/F and Arabic draft lane","normalization-required","normalization/marker source must be cited for interlinear scaffolding","554","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0013","8f7d1cb30ca4347812d05bfbe110b134bb758870","Pan-Turkic","Session J / Pan-Turkic blocker lane","source-body-present","target/source body path and hash are visible; owner lane may draft only as generated-draft/noncanonical","647","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0014","8f7d1cb30ca4347812d05bfbe110b134bb758870","Pan-Turkic","Session J / Pan-Turkic blocker lane","pointer-only","URL/path pointer exists but body/hash missing; keep as recovery/gap row","647","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0015","8f7d1cb30ca4347812d05bfbe110b134bb758870","Pan-Turkic","Session J / Pan-Turkic blocker lane","adverse-evidence-required","do-not-use/adverse evidence check must precede candidate term selection","647","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0016","8f7d1cb30ca4347812d05bfbe110b134bb758870","Pan-Turkic","Session J / Pan-Turkic blocker lane","normalization-required","normalization/marker source must be cited for interlinear scaffolding","647","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0017","8f7d1cb30ca4347812d05bfbe110b134bb758870","Persianate/Tajik","Persianate/Tajik split/F","source-body-present","target/source body path and hash are visible; owner lane may draft only as generated-draft/noncanonical","474","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0018","8f7d1cb30ca4347812d05bfbe110b134bb758870","Persianate/Tajik","Persianate/Tajik split/F","pointer-only","URL/path pointer exists but body/hash missing; keep as recovery/gap row","474","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0019","8f7d1cb30ca4347812d05bfbe110b134bb758870","Persianate/Tajik","Persianate/Tajik split/F","adverse-evidence-required","do-not-use/adverse evidence check must precede candidate term selection","474","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
"8F7D-GATE-0020","8f7d1cb30ca4347812d05bfbe110b134bb758870","Persianate/Tajik","Persianate/Tajik split/F","normalization-required","normalization/marker source must be cited for interlinear scaffolding","474","source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question","native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion"
