"reviewer_question","term_alternatives_or_register_notes","status_label","source_file","target_rendering","route_to_lane","source_evidence_id","hard_boundary","source_context_locator","language_gate","authority_required_fields_status","formula_neighboring_usage_note","target_rendering_status","support_id","concept"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","الحلقة النوثرية","Arabic RTL draft lane only","AR-NOETH-001-E001","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-1:line-15:utf16-33","ar","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0001","Noetherian ring"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","حلقات نوثرية","Arabic RTL draft lane only","AR-NOETH-001-E002","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-1:line-15:utf16-69","ar","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0002","Noetherian ring"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","النوثرية","Arabic RTL draft lane only","AR-NOETH-001-E003","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-1:line-15:utf16-40","ar","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0003","Noetherian ring"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","مثالي | المثاليات; Arabic-only support","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","مثالي","Arabic RTL draft lane only","AR-NOETH-001-E004","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-1:line-16:utf16-6","ar","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0004","ideal"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","النوثرية","Arabic RTL draft lane only","AR-NOETH-001-E005","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-1:line-18:utf16-18","ar","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0005","Noetherian ring"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","حلقه نوتری | حلقه نوتر | نوتری | نوتر; source-boundary alternatives only","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","نوتری","Persian/Farsi draft lane only; not Dari/Tajik/Urdu","FA-IDEAL-001-E001","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-4:line-28:utf16-24","fa_IR","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0062","Noetherian ring"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","ایدهآل","Persian/Farsi draft lane only; not Dari/Tajik/Urdu","FA-IDEAL-001-E002","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-4:line-30:utf16-37","fa_IR","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0063","ideal"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","میدان | ميدان; Persian/Farsi only","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","میدان","Persian/Farsi draft lane only; not Dari/Tajik/Urdu","FA-IDEAL-001-E003","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-6:line-11:utf16-40","fa_IR","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to field/vector-space/scalar context in the cited Persian source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0064","field"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","میدان | ميدان; Persian/Farsi only","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","میدان","Persian/Farsi draft lane only; not Dari/Tajik/Urdu","FA-IDEAL-001-E004","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-6:line-19:utf16-32","fa_IR","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to field/vector-space/scalar context in the cited Persian source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0065","field"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","authority-aligned generated-draft; non-canonical; not-native-reviewed","source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","ایدهآل","Persian/Farsi draft lane only; not Dari/Tajik/Urdu","FA-IDEAL-001-E005","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","pdf-page-7:line-31:utf16-47","fa_IR","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","source-attested-form-in-exact-context; not accepted terminology","AUTH-POSTPUSH-C2-DRAFT-0066","ideal"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","الجبر خطی; جبر خطی","authority-aligned generated-draft; non-canonical; not-native-reviewed","language-source-bodies/rtl-persianate-arabic","جبر خطی","prs_AF scoped draft support only","S06-RTL-0109;S06-RTL-0110;S06-RTL-0114;S06-RTL-0115;S06-RTL-0116;S06-RTL-0117;S06-RTL-0164;S06-RTL-0165","Dari support is not Persian/Farsi support and not Tajik support.","Dari linear algebra and algebra course/book witnesses","prs_AF","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Dari RTL prose should keep formulas and course codes LTR; do not import Iran-only register without a Dari source row.","generated-draft; draft; non-canonical; not-native-reviewed","AUTH-POSTPUSH-S06-DRAFT-prs-linear-algebra","linear algebra"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","алгебраи хаттӣ; фазои векторӣ; матритса; вектор","authority-aligned generated-draft; non-canonical; not-native-reviewed","language-source-bodies/rtl-persianate-arabic","алгебраи хаттӣ / фазои векторӣ / матритса","tg_Cyrl_TJ scoped draft support only","S06-RTL-0118;S06-RTL-0119;S06-RTL-0120;S06-RTL-0121;S06-RTL-0122;S06-RTL-0126;S06-RTL-0127;S06-RTL-0128","Tajik Cyrillic evidence is not authorized by fa_IR and does not authorize fa_IR.","Tajik Cyrillic linear algebra","tg_Cyrl_TJ","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Tajik Cyrillic prose is LTR; formula-neighboring caution is mostly about preserving math notation, not bidi shaping.","generated-draft; draft; non-canonical; not-native-reviewed","AUTH-POSTPUSH-S06-DRAFT-tg-linear-algebra","linear algebra / vector space / matrix"
"Can a qualified reviewer confirm this generated-draft rendering/register in the cited formula-neighboring context for this language gate only?","ҳалқа; майдон","authority-aligned generated-draft; non-canonical; not-native-reviewed","language-source-bodies/rtl-persianate-arabic","ҳалқа / майдон","tg_Cyrl_TJ scoped draft support only","S06-RTL-0119;S06-RTL-0120;S06-RTL-0121;S06-RTL-0122;S06-RTL-0128;S06-RTL-0129;S06-RTL-0130;S06-RTL-0131","No Dari/Persian/Turkic merge is implied.","Tajik algebra, ring, field","tg_Cyrl_TJ","source path/context present in postpush row; hash tracked through witness index where available; adverse/do-not-use checks carried in this packet","Keep R, K, F and displayed algebra notation unchanged next to Cyrillic prose.","generated-draft; draft; non-canonical; not-native-reviewed","AUTH-POSTPUSH-S06-DRAFT-tg-ring-field","ring / field"
