decision_id,german_term,chosen_english,alternative_rejected,evidence_class,motivation,uncertainty,status
N04-S01-T01,Bezeichnungen,Notation,Notations,editorial_inference,"Idiomatic section-heading English",None material,applied
N04-S01-T02,Variabelnreihe,variable row,row of variables,editorial_inference,"Maintains Paper 3 and Introduction normalization",Historical specialist usage remains reviewable,applied
N04-S01-T03,ein-eindeutig zugeordnet,corresponds uniquely,assigned one-to-one,editorial_inference,"Expresses the bijective association without inherited calque",No change to mathematical claim,applied
N04-S01-T04,Bedingungsgleichungen,conditions,condition equations,editorial_inference,"Idiomatic mathematical English",Could also be constraint equations,applied
N04-S01-T05,kontragredient,contragredient,dual,source_fact_plus_editorial_inference,"Preserves Noether's explicit transformation-theoretic distinction",Later context may permit dual but not here,applied
N04-S01-T06,kogredient,cogredient,covariant,source_fact_plus_editorial_inference,"Preserves paired historical term opposite contragredient",Historical spelling is uncommon but precise,applied
N04-S01-T07,Matrizenprodukt,matrix product,matrix pairing,editorial_inference,"Source immediately defines the term as sum of products of corresponding determinants",Not ordinary matrix multiplication; definition retained,applied
N04-S01-T08,Gewicht der Reihe,weight of the row,row weight,editorial_inference,"Follows Clebsch/Noether noun phrase and later upper/lower weight index terminology",None material,applied
N04-S01-T09,höherer Stufe,higher-order,higher-level,editorial_inference,"Consistent with the audited Introduction and avoids suggesting a filtration level",Revisit if later formal Stufe usage conflicts,applied
N04-S01-T10,a. a. O.,loc. cit.,ibid.,editorial_inference,"References the previously cited Clebsch volume rather than necessarily the immediately preceding note",Modern full citation would be clearer but less source-like,applied
