path,bytes,sha256,role
BUILD_RECORD.md,743,909AD52BDC20F23056B6763B0C0DC75A8E42DC3ADAD6CC3BFFC0E0CB869493BC,build evidence
evidence/rendered_english/contact_sheet.png,1100419,A8625163B2FA2E5D389DB68F1465C393BDBF2F635D706A077E9E11116C11B144,visual QA contact sheet
evidence/rendered_english/page-1.png,381126,44BBBFD8620DCB94BB522186AE38CCEB4077125A6AB41BFD3F60449FDACB907C,visual QA page
evidence/rendered_english/page-2.png,328034,43E25F573D9729FF70C2D0C72DCB0607D7B97E015353F191E13B0C6B56B73DDC,visual QA page
FORMULA_AND_SYMBOL_LEDGER.csv,1159,C341108D195B4BC1959B521894E6C700B2D9A8C12BF3B079E7184BDB4B5E8A08,formula and symbol audit
LICENSE_AND_ATTRIBUTION_CAVEATS.md,662,27AA6C6E0E0C27A337A5BB7DAF36A7F4A3167A1141EC8007E249D8A15CB92E65,rights and attribution caveats
Noether_Paper04_Section01_English_R823_SourceChecked.pdf,240446,815F9063D1313CC7E615B31C5EF22FA4867657DB33A6D1359D1092AA6CDC6123,reader PDF
Noether_Paper04_Section01_English_R823_SourceChecked.tex,6976,47A3BCC58743A9C34441255DD23518FBA38DD804C5D37220439F1F883DCC0CDF,editable translation
PUBLICATION_READINESS.md,1159,BBBB16E9305D5B23D22349467BA5B1032DC80342051B964A061EB56B4533D177,readiness and caveats
README.md,1125,02B2B7B138C126160529F4B4A98A19E962062F9470F0F5AA1881D03AD246CD74,scope provenance and predecessor note
SOURCE_ALIGNMENT.csv,1162,E1DB38B4E29D46F5BE2F43E537D25E3505BF1921E8D6A3969DAA65D4D1D9AB53,source alignment ledger
SOURCE_AND_BUILD_REVIEW.md,1849,9D5A1D0EA9F6F609775B5F70962C8EE75C7992C75423C331251FF80793F0E923,source and build review
SOURCE_CONTROL_HASHES.csv,600,75FAB97E39FBC7B7065C77044661A7B459BCCA04D839B343558A004E029E691F,nonredistributed authority controls
SUCCESSOR_PACKAGE_AUDIT.md,2842,6F41126BEDA34B7ADB742EACF83091EDD73FD3CFD47E25384AA4C96A37ED9DC7,successor sanitation and verification audit
TERMINOLOGY_AND_ADVERSE_LEDGER.csv,2022,A02BFDF128A6F428704BED107AED13A321A99875536CB32A98A1D28A658C90F7,terminology and adverse choices
VISUAL_QA.md,759,B11A08C012A376308CC5DB8215A1960BC7B96D52E31E27F82CE914429C334D01,visual review
