"current_head","base_head","status","path","classification","arabic_source_use_decision"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_READY_5C87.md","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_SENT_5C87.md","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/BRANCH_COMMITS_2B1_TO_5C87.csv","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/BRANCH_COMPARE_2B1_TO_5C87.csv","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/CHILD_PACKET_ROUTE_SUMMARY_5C87.csv","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/EIGHT_LANE_SOURCE_GATE_QUEUE_5C87.csv","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/EXACT_BLOCKERS_AND_RECOVERY_ROWS_5C87.csv","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/FABLE_SOURCE_USE_ADVERSE_LEDGER_5C87.csv","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/MANIFEST.csv","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/PACKET_MANIFEST_SHA_STATUS_5C87.csv","parent_non_slavic_source_gate_context","parent route context; preserve Arabic boundary"
