"branch_head","claim","value","evidence_basis"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"7a7576c317fb5d85fb986437d64c6f0218e4733a","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
