member	bytes	sha256
01_LITERAL_PROMPT_17.md	760	0A50A3DB8CD688BFDD0C653838FFA9A1F11246C031BD24C68A97DAA57AA4D236
02_STATUS.json	535	4FFFAEA57C1C08E23D08F8392A5401EDD3CF7E0F5BCAE754AF366529098B7AD5
03_SOURCE_PAGE_MAP.tsv	120	0080EE4C7F67C9D6D3DDC9C8B6592B74DC8FED22F63EEB641FADC73C4686056E
04_AUTHORITY_IDENTITY.json	337	9C8EE5477440ED11A615994623224A6FD5637D8178B4626B3E1AFC2FEDD5438B
05_PREDECESSOR_IDENTITY.json	745	1A25AC0FB1FF7CA43DC440CBE5853FFE10F2C915577FA060F4546955FB263E51
06_SEGMENT_BOUNDARY_AUDIT.json	2682	85F089D9C6A8CA01DAE67A7F09A505AB2D3274FAB68E4DB103B9BFE4276B716E
07_BUILD_AUDIT.json	2679	19D21C59BB6EAEE129A0BAC94C472AD80525A0ED3A635AC2A6A0059A75A1D46B
08_SOURCE_PAGE_OBJECT_AUDIT.json	225	CBCE531A29263765E099D3DD3C4DF50F1F42AFC911B4CE8C12D11B5E0846441A
09_VALIDATION_SUMMARY.json	678	46940F3CDBC49A91EA9141CDF7B01707C3D63A8DCFDAB2720E42033EA8BDBAAA
10_RESTRAINED_APPARATUS.md	844	67F8B37EC6E3CBC2C0A02792D7282075F35EBEED542AE840D6BADF4562CCCAD6
11_D016_C001_097_FR.tex	172037	BC3563C4C534BDE3F4ED688961A5058CD426D944E32EC7D2947D9E36ECA87772
12_D016_C001_097_EN.tex	165896	BCE019E06CC7E3809AB9B728BF70676FEE6972CEE612F105207A53E7B41C63E7
13_D016_C001_097_FR.pdf	1692295	87C7D0E8901621DAEA872D9A2590681864ED955014F642BCBEFA814C4EEBEB52
14_D016_C001_097_EN.pdf	1663963	3AA8B775DC82B01385DF47427D55AFC620DBD2F89DB00B3ADD8D759E37B53E7D
15_D016_C001_097_AUTHORITY_SCAN.pdf	2955114	B5B225E4CBC54FE0E4069FF11AAF88C19A74653303AF646235D44848F0CDFC2F
16_D016_I097_FR.tex	6885	FBCA9439429D57FF1F39C7FD773F3C1C89C59DCEA61179C60C714859E84EC8BB
17_D016_I097_EN.tex	6864	F575448017A28AA585A51797FF84F383415C2E85A0ADD2503C7DD03AE7186981
18_D016_I097_FR.pdf	110488	DE450DBA5B7B87ADF1BA79B3B2718ABE56E20E20C20F9A89ABB5D5D5F96AE119
19_D016_I097_EN.pdf	110423	2C27062533BC09C2D3713D9D556BA11CE9A7A8C533007E0ABFAF64EF3FFBB03D
20_D016_I097_AUTHORITY_SCAN.pdf	113260	99395117E8A3A4C1EE8558E622E8F3CF1CB51594D5D9ECDD992F216EDF8A9714
21_D016_FULL_FR_CONTINUATION_MASTER.tex	172037	BC3563C4C534BDE3F4ED688961A5058CD426D944E32EC7D2947D9E36ECA87772
22_D016_FULL_EN_CONTINUATION_MASTER.tex	165896	BCE019E06CC7E3809AB9B728BF70676FEE6972CEE612F105207A53E7B41C63E7
23_ZERO_ACCEPTED_P16_FULL_STATE.zip	152972951	9F12C5083229DB7FF9707E068D059D783DEAE145DC690E10CBB711FBCA65032B
24_ZERO_ACCEPTED_P16_BUILD_RECEIPT.json	4979	B3B3A83B10C0784D5B708BB6875FD4630AD33F9558FF5D9D93195A1F7E554596
25_ZERO_ACCEPTED_P16_VISUAL_QA.json	2204	F3A9B7D96E24DDABFD855A584AA27E2DBDCD25E9357D7818602572F97CD5B20B
26_ZERO_ACCEPTED_P16_COLD_AUDIT.json	3627	A43624CC3A6944A2C1CB2B97A1338AA356A04F11959B63050C2CCA6302D715DB
27_CONTROLLING_AUTHORITY_D016_97PP.pdf	2976421	B03F483C4EECA79B75E34B88F41406FE4C9E16BA621480CE859697C93E8D5844
28_D016_ID.md	4111	55C0AB9FF71B42DA1C6ABD6648F5CD44B3C6CC90E7CAEC5C08563921A3295244
29_ZERO_ACCEPTED_P16_EXPECTED_MANIFEST.tsv	3209	D560D9BBC40A055A772A38D981770A402E491E44CA3AC2FF6C4B140590265878
30_ZERO_ACCEPTED_P16_BUILDER.py	28280	F0774C6D8A77E623490D8B2B4DF14C80B5235DB0C3347CE136296071E42CDF81
31_P17_INTEGRATION_RULE.md	556	2382453DE9536D05C61059E34DC5F8B65ABBA2BF23329B3081765270732651D3
