row_id,lane,target_language_or_access_target,source_title,source_author_or_owner,topic_tags,evidence_tier,source_type,source_url,local_path,license_or_access_signal,sha256_or_other_hash,byte_count_or_status,source_language,is_target_language_witness,is_source_level_tex_or_archive,is_pdf_docx_or_text_fallback,upload_policy,gap_or_blocker_note,source_package_status,non_claim_boundary,provenance_note,next_action
R7BSR001,Brunei-Singapore,Brunei,DBP Brunei MABBIM institutional page,Dewan Bahasa dan Pustaka Brunei,DBP;MABBIM;terminology governance;access blocker,ACCESS_BLOCKER,official HTML route probe,https://www.dbp.gov.bn/Jalinan%20Kerjasama/Majlis%20Bahasa%20Brunei%20Darussalam%20Indonesia%20Malaysia.aspx,not_downloaded_access_blocked,Official Brunei DBP route but current tooling cannot establish SSL connection; no license clearance claimed,The SSL connection could not be established see inner exception.,ERR,unknown_blocked,false_blocked_route,false,false,manifest_only_no_raw_source_body_payload_for_language_lane,Current SSL/TLS failure blocks exact-content capture; no mathematics content can be inferred from the route title alone.,not_applicable_blocked_route_no_source_package,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,DBP/MABBIM remains a governance/comparator route until exact accessible mathematical content closes.,Retry with browser/manual TLS handling or alternate DBP/MABBIM item URL.
R7BSR002,Brunei-Singapore,Brunei,Brunei MOE Department of Curriculum Development page,Ministry of Education Brunei Darussalam,curriculum;mathematics unit;official route;Brunei MOE,C_HTML_REMOTE_HASHED_OFFICIAL_ROUTE,remote HTML official page,https://www.moe.gov.bn/SitePages/Department%20of%20Curriculum%20Development.aspx,remote_hash_only_no_local_payload,Public official Brunei MOE page; no explicit open redistribution license observed; no license clearance claimed,C5FD2E0EA94BEC926C0143DF1198FE7C72FF4DC5DA31212053B19C228936909A,136519,English/Malay official navigation,false_official_route_only_no_exact_malay_math_terms,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Official route confirms curriculum-development context but not exact Malay algebra terminology or proof prose.,no_tex_or_source_package_found_for_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Search/browser snippets identify a Mathematics Unit route under Brunei MOE curriculum development.,Use as routing evidence for item-level Brunei math source search only.
R7BSR003,Brunei-Singapore,Brunei,Brunei MOE Jabatan Perkembangan Kurikulum page,Ministry of Education Brunei Darussalam,curriculum;Malay route label;official route;Brunei MOE,C_HTML_REMOTE_HASHED_OFFICIAL_ROUTE,remote HTML official page,https://www.moe.gov.bn/SitePages/Jabatan%20Perkembangan%20Kurikulum.aspx,remote_hash_only_no_local_payload,Public official Brunei MOE page; no explicit open redistribution license observed; no license clearance claimed,68ACFE275243E1A66C97F97F7A04E7F4A3BDAEAB4E05F601D4943B9A72696B4B,136778,English/Malay official navigation,false_official_route_only_no_exact_malay_math_terms,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Malay-labeled official route confirms institutional path but not exact Malay math terminology.,no_tex_or_source_package_found_for_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Malay title route parallels the Department of Curriculum Development page and remains route-level evidence only.,Use for Brunei MOE item-level retry.
R7BSR004,Brunei-Singapore,Brunei,Brunei MOE SPN21 page,Ministry of Education Brunei Darussalam,SPN21;curriculum;mathematics context;official route,C_HTML_REMOTE_HASHED_OFFICIAL_ROUTE,remote HTML official page,https://www.moe.gov.bn/Pages/spn21.aspx,remote_hash_only_no_local_payload,Public official Brunei MOE page; no explicit open redistribution license observed; no license clearance claimed,E57BB45F05EC64836A6E4988837F7CF9FA83A2AC08A53AF807DF4AEC0BE43E1E,137608,English official page with SPN21 references,false_curriculum_context_only,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,SPN21 route supplies curriculum context but not exact target-language higher-algebra source content.,no_tex_or_source_package_found_for_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Search result and page route expose SPN21 downloads including mathematics scheme/context materials.,Use only as official route locator for item-level documents.
R7BSR005,Brunei-Singapore,Brunei,Brunei MOE Document Downloads page,Ministry of Education Brunei Darussalam,official download index;TfM mathematics framework;curriculum PDF route,C_HTML_REMOTE_HASHED_DOWNLOAD_INDEX,remote HTML official download index,https://www.moe.gov.bn/SitePages/DocumentDownloads.aspx,remote_hash_only_no_local_payload,Public official Brunei MOE download page; no explicit open redistribution license observed; no license clearance claimed,06659FECE008C24A36772FF24A03BB94E73F495E29452384D04B6FD553F11EA1,139912,English/Malay official download index,false_route_index_only,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Download index identifies mathematics framework route but is not exact Malay mathematics content.,not_applicable_index_route_no_source_package,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Current page hash replaces earlier route-only memory and anchors the TfM PDF locator.,Use to refresh Brunei MOE official download route inventory.
R7BSR006,Brunei-Singapore,Brunei,Brunei MOE TfM handbook - Mathematics framework PDF,Ministry of Education Brunei Darussalam,mathematics framework;teacher framework;official PDF;Brunei MOE,B_PDF_REMOTE_HASHED_TEXT_PROBE,remote PDF official document,https://www.moe.gov.bn/DocumentDownloads/TfM%20handbook%20-%20Mathematics%20framework.pdf,remote_hash_only_temp_extract_deleted_no_output_payload,Public official Brunei MOE PDF route; no explicit open redistribution license observed; no license clearance claimed,49405B5CEED9C5D34F5CB8258EB6BF4DA06910023E028CFE6E3344BD9CBEF8FF,17535659,English or PDF text extraction inconclusive,false_official_math_framework_not_malay_term_witness,false,true_pdf_text_fallback_manifest_only,manifest_only_remote_hash_no_pdf_payload,Official mathematics framework PDF is hashable but this pass did not extract exact Malay higher-algebra terminology from it.,no_tex_or_source_package_found_for_pdf_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,pdftotext ran on a temporary file but returned no usable short Malay/English math-term snippet; temp files were deleted.,Keep as official Brunei math-framework route and retry deeper extraction only under source-policy gates.
R7BSR007,Brunei-Singapore,Brunei,SPN21 Malay 2013 complete PDF,Ministry of Education Brunei Darussalam,SPN21;Malay curriculum policy;mathematics medium;official PDF,B_PDF_REMOTE_HASHED_TEXT_PROBE,remote PDF official document,https://www.moe.gov.bn/spn21dl/SPN21%20MALAY%20%282013%29%20COMPLETE.pdf,remote_hash_only_temp_extract_deleted_no_output_payload,Public official Brunei MOE PDF route; no explicit open redistribution license observed; no license clearance claimed,0914D6DAF50D64D212F8437470EE11701B06885628D1BF05AD2972EAAB6678BB,8683542,Malay,true_policy_language_context_only_not_exact_math_terms,false,true_pdf_text_fallback_manifest_only,manifest_only_remote_hash_no_pdf_payload,Malay SPN21 PDF discusses mathematics medium/curriculum context but this pass found no higher-algebra terminology or proof prose.,no_tex_or_source_package_found_for_pdf_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Temporary text probe found Malay discussion of Mathematics medium changing to English in primary levels and technical working group language metadata.,Use as policy/background context only; continue exact item-level mathematics terminology search.
R7BSR008,Brunei-Singapore,Brunei,SPN21 English 2013 complete PDF,Ministry of Education Brunei Darussalam,SPN21;curriculum policy;mathematics medium;official PDF,B_PDF_REMOTE_HASHED_TEXT_PROBE,remote PDF official document,https://www.moe.gov.bn/spn21dl/SPN21%20ENG%20%282013%29%20COMPLETE.pdf,remote_hash_only_temp_extract_deleted_no_output_payload,Public official Brunei MOE PDF route; no explicit open redistribution license observed; no license clearance claimed,2BA7C0AC9B1EAE09D8D6FB158B3F903B1E614191DE8BEA25FA81A366BD938DFE,7249516,English,false_policy_context_only,false,true_pdf_text_fallback_manifest_only,manifest_only_remote_hash_no_pdf_payload,English SPN21 PDF confirms mathematics/medium policy context but is not Malay mathematical terminology evidence.,no_tex_or_source_package_found_for_pdf_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Temporary text probe found English discussion of mathematics medium and Bahasa Melayu separation; temp files were deleted.,Keep only as English policy companion to R7BSR007.
R7BSR009,Brunei-Singapore,Singapore,Singapore MOE primary school subjects and syllabuses route,Ministry of Education Singapore,primary syllabus;Mathematics;Malay Language;official route,C_HTML_REMOTE_HASHED_OFFICIAL_ROUTE,remote HTML official page,https://www.moe.gov.sg/primary/curriculum/syllabus,remote_hash_only_no_local_payload,Public Government of Singapore page; no explicit open redistribution license observed; no license clearance claimed,DC0C5383C7D1ED250AD81B5CC218776E2749F0706BE601184D2A425F821F38F8,122238,English official page with Malay subject labels,false_subjects_separate_no_malay_math_overlap,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Route lists languages and mathematics as separate subjects; no Malay mathematics content or higher-algebra terminology captured.,not_applicable_official_route_no_source_package,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Current page remains useful for exact-content gap proof because Malay Language and Mathematics are separate route entries.,Use only as Singapore exact-content gap reinforcement.
R7BSR010,Brunei-Singapore,Singapore,Singapore MOE secondary syllabus route,Ministry of Education Singapore,secondary syllabus;Mathematics;Malay;official route,C_HTML_REMOTE_HASHED_OFFICIAL_ROUTE,remote HTML official page,https://www.moe.gov.sg/secondary/schools-offering-full-sbb/syllabus,remote_hash_only_no_local_payload,Public Government of Singapore page; no explicit open redistribution license observed; no license clearance claimed,8F7FFF788D3B3784478917F21C74037D8FC1D655B16C8386E44899285E27E5D9,122773,English official page with Malay subject links,false_subjects_separate_no_malay_math_overlap,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Route exposes Mother Tongue/Malay syllabus links and Mathematics syllabus links separately; no Malay mathematics overlap captured.,not_applicable_official_route_no_source_package,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Current route reinforces subject/medium separation and does not supply target-language math terminology.,Use only as Singapore exact-content gap reinforcement.
