"head_context","lane_scope","witness_class","rows","total_bytes","carry_forward_note"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","creole_contact","lexicon_or_route_table_no_accepted_terms","2","33630","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","creole_contact","literal_source_body","54","184277546","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","creole_contact","probe_metadata_witness","44","260773","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","creole_contact","provenance_metadata","14","124372","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","gap_or_blocker","blocker_ethics_material","6","154052","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","gap_or_blocker","pointer_only_gap_material","10","314860","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","gap_or_blocker","provenance_metadata","3","150727","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","generated_draft","generated_draft_noncanonical_support","6","17370","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","indigenous","literal_source_body","13","131700299","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","indigenous","ocr_witness_separate","3","305338","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","indigenous","probe_metadata_witness","14","220693","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","indigenous","provenance_metadata","8","39792","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","lexicon_route","lexicon_or_route_table_no_accepted_terms","1","35102","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","r6_general","literal_source_body","8","42499919","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","r6_general","ocr_witness_separate","1","1267","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","r6_general","probe_metadata_witness","7","25711","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","r6_general","provenance_metadata","25","493560","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","reviewer_authority","reviewer_authority_route_evidence","5","52602","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","reviewer_authority","unclassified_r6_package_material","1","59231","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","sign_access","lexicon_or_route_table_no_accepted_terms","2","24238","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","sign_access","probe_metadata_witness","11","106073","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","sign_access","provenance_metadata","2","24238","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
"68c877c0aae311996fb7b99b7e58bf4276b18e59","sign_access","sign_access_route_metadata_no_media","75","133898990","counts from R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706"
