defect_id,evidence_class,authority_role,unit_id,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,finding,target_action,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-P32S-SRCDEF-001,witness_independence,direct_compiled_source_pdf_same_edition,SGA2-VIII-P32S,physical84,2888-2899,97,84,"compiled French reader is generated from corrected TeX and is not independent corroboration","use only for page layout glyph emphasis and overline checks",same_edition_caveat_applied,high,1,French line2901,independent print witness discovery
SGA2-VIII-P32S-SRCDEF-002,pdf_text_extraction_artifact,visual_same_edition_pdf_plus_corrected_tex,SGA2-VIII-P32S,French2894-and-physical84,2894,97,84,"one extraction rendering can appear to omit the overline on S while corrected TeX and visual PDF clearly show overline S","retain closure overline S and record missing-bar reading as rejected",rejected_false_extraction_artifact,high,1,French line2901,new independent scan contradiction
SGA2-VIII-P32S-SRCDEF-003,corrected_branch,corrected_french_tex,SGA2-VIII-P32S,French2888,2888,97,84,"sisi chooses corrected Fa branch rather than original plain F branch","translate mathematical identity once and disclose source upright Fa glyph",corrected_branch_applied,high,1,French line2901,authority replacement
SGA2-VIII-P32S-SRCDEF-004,corrected_branch,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S,French2888,2888,97,84,"sisi chooses corrected Cohen-Macaulay capitalization rather than original all-caps branch","use standard English Cohen-Macaulay",corrected_branch_applied,high,1,French line2901,authority replacement
SGA2-VIII-P32S-SRCDEF-005,page_system_envelope,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S,French2886-2888,2888,97,84,"no pageoriginale token occurs in the statement; printed97 token lies immediately before in line2886","record printed97 physical84 running76 without inserting a false internal marker",resolved_by_locator_disclosure,high,1,French line2901,cumulative page-map review
SGA2-VIII-P32S-SRCDEF-006,scope_boundary,corrected_french_tex,SGA2-VIII-P32S,French2899-2901,2899-2901,97,84,"proposition closes at2899; blank2900 excluded; proof begins2901 on the same page","end target after item b and add neither proof nor QED",boundary_applied,high,1,French line2901,next bounded assignment
SGA2-VIII-P32S-SRCDEF-007,comparison_lineage,jcreinhold_e7a259f_comparison_only,SGA2-VIII-P32S,jcreinhold632-646,2888-2899,97,84,"external Markdown is one LLM candidate lineage and uses open of X plus fenced plain-text codimension formula","use only for comparison; reject calque and fenced formula as target forms",comparison_not_promoted,high,1,French line2901,upstream candidate revision
SGA2-VIII-P32S-SRCDEF-008,glyph_normalization,corrected_french_style_plus_target_precedent,SGA2-VIII-P32S,style298-380-and-French2888-2896,2888-2896,97,84,"source upright F upright-bold Z upright R and minus differ from provisional target glyphs","preserve roles and disclose every glyph delta in authority and machine ledgers",applied_provisionally_pending_manager_consolidation,high,1,French line2901,SGA-wide notation adjudication
SGA2-VIII-P32S-SRCDEF-009,policy_revision,manager_closed_option_a_plus_corrected_style,SGA2-VIII-P32S,decision-EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001,2888-2896,97,84,"Option A closes target calligraphic F as established English normalization from upright source F; this supersedes only SRCDEF-008's provisional F disposition","retain calligraphic target F and explicit nonliteral provenance; leave Z R and set-difference deltas separately disclosed",policy_closed_option_a_applied,high,2,French line2901,later SGA2-wide typography replacement
SGA2-VIII-P32S-SRCDEF-010,independent_review_seal,corrected_french_tex_plus_same_edition_visual_control,SGA2-VIII-P32S,French2888-2901-plus-physical84,2888-2901,97,84,"independent review found no unledgered source defect: the same-edition PDF is nonindependent the missing-overline extraction is rejected and proof line2901 remains out of scope","seal only the bounded statement while retaining every caveat and exact cursor",independently_sealed_pending_archive_custody,high,2,French line2901,authority replacement or independent print contradiction
