comparison_id,evidence_class,authority_role,unit_id,object_type,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,target_locator,parent_id,cross_references,critical_controls,decision,result,status,confidence,adverse_or_choice,rejected_alternative,record_revision,continuation_cursor
SGA2-VIII-P32S-CMP-001,structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S-OPEN,proposition_label,French2888,2888,97,84,visible heading,SGA2-VIII-P32S,SGA2-VIII-P32S-HYP,"Proposition3.2 and label VIII.3.2",preserve visible numbering,pass,production_self_reviewed_pending_independent_review,high,none,"unnumbered proposition",1,French line2901
SGA2-VIII-P32S-CMP-002,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S-HYP,canonical_immersion,French2888,2888,97,84,opening hypotheses,SGA2-VIII-P32S,SGA2-VIII-P32S-SHEAF,"i colon U to X; canonical immersion",preserve map and role,pass,production_self_reviewed_pending_independent_review,high,none,"canonical inclusion without i",1,French line2901
SGA2-VIII-P32S-CMP-003,target_normalization,corrected_french_style_plus_target_precedent,SGA2-VIII-P32S-HYP,integer_ring_glyph,style298-plus-French2888,2888,97,84,n-in-Z clause,SGA2-VIII-P32S,OUTBOUND:SGA2-EN-NOTATION-POLICY,"source ZZ is mathbf Z; target is mathbb Z",retain established English glyph provisionally,pass_with_disclosed_adverse_delta,production_self_reviewed_pending_independent_review,high,"upright-bold source to blackboard-bold target","claim literal glyph preservation or silently switch",1,French line2901
SGA2-VIII-P32S-CMP-004,target_normalization,corrected_french_style_plus_target_precedent,SGA2-VIII-P32S-SHEAF,sheaf_glyph,style352-plus-French2888,2888,97,84,sheaf hypothesis,SGA2-VIII-P32S,OUTBOUND:SGA2-FA-GA-DELTA-P32S,"source Fa is upright operator F; target is calligraphic F",retain provisional English sheaf glyph,pass_with_disclosed_adverse_delta,production_self_reviewed_pending_independent_review,high,"upright source F to calligraphic target F","claim source is calligraphic",1,French line2901
SGA2-VIII-P32S-CMP-005,source_term,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S-SHEAF,cohen_macaulay,French2888,2888,97,84,sheaf hypothesis,SGA2-VIII-P32S,SGA2-VIII-P32S-A,"coherent; Cohen-Macaulay; O_U-module; on U exclamation",preserve all qualifiers,pass,production_self_reviewed_pending_independent_review,high,"target makes compound modifier idiomatic","drop on U parenthetical",1,French line2901
SGA2-VIII-P32S-CMP-006,target_normalization,corrected_french_style_plus_target_precedent,SGA2-VIII-P32S-A,derived_functor_glyph,style380-plus-French2891,2891,97,84,item a,SGA2-VIII-P32S,OUTBOUND:SGA2-EN-NOTATION-POLICY,"source R is upright operator; target R is math italic; indices p and i-star preserved",retain established target glyph provisionally,pass_with_disclosed_adverse_delta,production_self_reviewed_pending_independent_review,high,"upright source R to italic target R","flatten p or claim literal glyph preservation",1,French line2901
SGA2-VIII-P32S-CMP-007,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S-A,coherence_bound,French2891,2891,97,84,item a,SGA2-VIII-P32S,SGA2-VIII-P32S-B,"R^p i_*(F) coherent; p<n",preserve strict inequality and every index,pass,production_self_reviewed_pending_independent_review,high,none,"p less-than-or-equal n or R i-star without p",1,French line2901
SGA2-VIII-P32S-CMP-008,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S-B,closure_support,French2894-plus-PDF84,2894,97,84,item b prose,SGA2-VIII-P32S,SGA2-VIII-P32S-CODIM,"S-prime irreducible component; closure overline S; support S of F",preserve overline and dependency chain,pass,production_self_reviewed_pending_independent_review,high,"PDF extraction may omit overline but visual page confirms it","unbarred S or closure of support without S",1,French line2901
SGA2-VIII-P32S-CMP-009,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S-CODIM,codimension_arguments,French2895-2897,2895-2897,97,84,item b display,SGA2-VIII-P32S,SGA2-VIII-P32S-CURSOR,"codim(S-prime intersect (X-U),S-prime)>n",preserve argument order and strict bound,pass,production_self_reviewed_pending_independent_review,high,"source hyphen-minus set difference normalized to setminus","reverse arguments or weak inequality",1,French line2901
SGA2-VIII-P32S-CMP-010,target_normalization,corrected_french_tex_plus_target_precedent,SGA2-VIII-P32S-CODIM,set_difference,French2896,2896,97,84,item b display,SGA2-VIII-P32S,OUTBOUND:SGA2-EN-NOTATION-POLICY,"source X-U; target X setminus U",use semantically explicit set-difference glyph,pass_with_disclosed_adverse_delta,production_self_reviewed_pending_independent_review,high,"typographic normalization only","silently claim literal glyph preservation",1,French line2901
