decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-P32S-TERM-001,scheme_register,corrected_french_tex,SGA2-VIII-P32S-OPEN,prescheme,French2888,opening,prescheme,source_register_preservation,none,scheme,retain historical source category,applied_production_self_reviewed,high,1,French line2901,cumulative terminology review
SGA2-VIII-P32S-TERM-002,noetherian_capitalization,corrected_french_tex_plus_SGA_policy,SGA2-VIII-P32S-OPEN,localement noetherien,French2888,opening,locally Noetherian,US_English_mathematical_register,capitalization only,locally noetherian,established English mathematical usage,applied_production_self_reviewed,high,1,French line2901,cumulative style review
SGA2-VIII-P32S-TERM-003,embedding_register,corrected_french_tex,SGA2-VIII-P32S-OPEN,localement immergeable,French2888,opening,locally embeddable,standard_algebraic_geometry_register,none,locally immersible,established English term in this layer,applied_production_self_reviewed,high,1,French line2901,terminology review
SGA2-VIII-P32S-TERM-004,open_subset_register,corrected_french_tex,SGA2-VIII-P32S-HYP,un ouvert de X,French2888,opening hypotheses,an open subset of X,idiomatic_English_expansion,none,an open of X,avoid candidate calque while preserving role,applied_production_self_reviewed,high,1,French line2901,terminology review
SGA2-VIII-P32S-TERM-005,morphism_register,corrected_french_tex,SGA2-VIII-P32S-HYP,immersion canonique,French2888,opening hypotheses,canonical immersion,standard_algebraic_geometry_register,none,canonical inclusion,preserve morphism class,applied_production_self_reviewed,high,1,French line2901,terminology review
SGA2-VIII-P32S-TERM-006,module_property,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P32S-SHEAF,coherent et de Cohen-Macaulay sur U,French2888,sheaf hypothesis,coherent Cohen--Macaulay O_U-module on U,idiomatic_compound_modifier,word order only,Cohen-Macaulay module coherent on U,preserve both mathematical predicates and emphatic parenthetical,applied_production_self_reviewed,high,1,French line2901,source formula review
SGA2-VIII-P32S-TERM-007,sheaf_glyph,corrected_french_style_plus_target_precedent,SGA2-VIII-P32S-SHEAF,source upright operator F,French2888,target cF,calligraphic F,provisional_target_normalization,source and target glyph classes differ,plain upright F,maintain cumulative English sheaf notation with explicit adverse delta,applied_provisionally_pending_manager_consolidation,high,1,French line2901,SGA-wide notation adjudication
SGA2-VIII-P32S-TERM-008,integer_glyph,corrected_french_style_plus_target_precedent,SGA2-VIII-P32S-HYP,source upright bold Z,French2888,n-in-Z clause,blackboard-bold Z,provisional_target_normalization,source and target glyph classes differ,plain or upright-bold Z,maintain established English target notation with disclosure,applied_provisionally_pending_manager_consolidation,high,1,French line2901,SGA-wide notation adjudication
SGA2-VIII-P32S-TERM-009,derived_functor_glyph,corrected_french_style_plus_target_precedent,SGA2-VIII-P32S-A,source upright operator R,French2891,item a,ordinary math-italic R,provisional_target_normalization,source and target glyph classes differ,upright operator R,maintain established English target while preserving p and functor structure,applied_provisionally_pending_manager_consolidation,high,1,French line2901,SGA-wide notation adjudication
SGA2-VIII-P32S-TERM-010,set_difference_glyph,corrected_french_tex_plus_target_precedent,SGA2-VIII-P32S-CODIM,source X-U,French2896,codimension display,X setminus U,semantic_typographic_normalization,minus glyph becomes explicit set difference,retain subtraction hyphen,reduce semantic ambiguity without changing locus,applied_production_self_reviewed,high,1,French line2901,cumulative notation review
SGA2-VIII-P32S-TERM-011,quantifier_register,corrected_french_tex,SGA2-VIII-P32S-B,pour toute composante irreductible,French2894,item b,for every irreducible component,quantifier_preservation,none,for any component,preserve universal scope and irreducibility,applied_production_self_reviewed,high,1,French line2901,logic review
SGA2-VIII-P32S-TERM-012,policy_revision,manager_closed_option_a_plus_corrected_style,SGA2-VIII-P32S-SHEAF,"supersedes TERM-007 provisional disposition; source upright F remains distinct",French2888-2896,all target F occurrences,calligraphic F,closed_option_a_established_English_normalization,source and target glyph classes differ,"manager-pending calligraphic F or claim of literal source preservation","decision EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001 closes Option A without changing target",applied_closed_option_a_production_self_reviewed,high,2,French line2901,later SGA2-wide typography replacement
SGA2-VIII-P32S-TERM-013,independent_review_disposition,corrected_french_tex_plus_manager_closed_option_a,SGA2-VIII-P32S,"all bounded terminology and disclosed glyph deltas",French2888-2899,whole bounded target,"retain the source-aligned English text and all explicit normalization disclosures",independent_seal_preserves_closed_and_disclosed_policy,"source upright F upright-bold Z upright R and X-U remain distinct from target calligraphic F blackboard-bold Z italic R and setminus","silently call any target glyph literal source preservation or revert F to manager-pending","independent source and formula review confirms no target change is required",independently_sealed_pending_archive_custody,high,2,French line2901,authority or SGA2-wide typography replacement
