page,same,size_before,size_after,changed_pixels,changed_fraction,bbox
22,False,2481x3508,2481x3508,284737,0.032715800861921183,"(172, 279, 2309, 3265)"
23,False,2481x3508,2481x3508,47670,0.0054772025661848755,"(189, 1490, 2289, 3351)"
24,False,2481x3508,2481x3508,136904,0.015730038601237135,"(282, 169, 2290, 3310)"
25,False,2481x3508,2481x3508,76674,0.00880971322759931,"(196, 233, 2102, 3330)"
26,False,2481x3508,2481x3508,33012,0.003793023098697191,"(535, 230, 1942, 1610)"
27,False,2481x3508,2481x3508,5424,0.0006232084480592985,"(719, 641, 1504, 2971)"
28,False,2481x3508,2481x3508,4070,0.0004676361326698645,"(961, 898, 1519, 991)"
29,False,2481x3508,2481x3508,286755,0.032947665656940295,"(169, 500, 2311, 3356)"
30,False,2481x3508,2481x3508,25585,0.00293967333030921,"(311, 297, 1974, 2395)"
31,False,2481x3508,2481x3508,2954,0.0003394096157019115,"(602, 2813, 875, 3250)"
32,False,2481x3508,2481x3508,146543,0.016837543437307114,"(229, 211, 2181, 3360)"
33,False,2481x3508,2481x3508,295628,0.033967158385485675,"(193, 283, 2247, 3281)"
34,False,2481x3508,2481x3508,218894,0.02515055125912465,"(209, 339, 2263, 3347)"
35,False,2481x3508,2481x3508,108461,0.012461985893244761,"(230, 195, 2204, 3344)"
36,False,2481x3508,2481x3508,93321,0.010722425439037942,"(210, 177, 2210, 3267)"
37,False,2481x3508,2481x3508,44952,0.005164908952279054,"(258, 177, 2219, 585)"
38,True,2481x3508,2481x3508,0,0.0,
39,True,2481x3508,2481x3508,0,0.0,
40,True,2481x3508,2481x3508,0,0.0,
41,False,3508x2481,3508x2481,357939,0.04112658714784242,"(393, 181, 3114, 1844)"
42,False,3508x2481,3508x2481,279046,0.03206191456437224,"(723, 181, 2785, 1844)"
