"record_id","append_sequence","recorded_at","time_precision","category","unit_ids","source_locators","target_ids","resolution_state","symptom","residual_risk","recurrence_cues","related_decision_ids","related_structural_ids","revisit_condition","record_sha256"
"CJK-KO-P03-HARD-001","1","2026-08-04","day","archive_release_hold","U01;U02;U03","Paper 3 whole-authority lines 3573-3608;controls 3609-3610 excluded","U01;U02;U03","active_control","Editable draft coverage and honest UNCHECKED labels can be mistaken for release readiness.","Downstream users may confuse exact hashes or coverage with approval.","archive handoff request;publication claim;unchecked presented as ready","CJK-KO-ARCH-001","NOE-P03-KO-WORK-001","Only archive maintenance may append a release-state successor after independent checking, compilation, rendering, and its own controls.","842B9A55794F38B4B8BD5DD7CEAF233912806AFB24C3C47DFE2E96DDC4D2D01C"
"CJK-KO-P03-HARD-002","2","2026-08-04","day","language_evidence_gap","U01;U02;U03","Paper 3 whole-authority lines 3573-3608","U01;U02;U03","held","No Korean-native historical invariant-theory shelf or ko-KP evidence authorized the producer lexicon or Hanja.","Natural-looking calques may be unattested, anachronistic, or regionally marked.","Sino-xenic cognate;Hanja request;ko-KP claim;Mandarin-dominant evidence shelf","","NOE-P03-KO-WORK-001;NOE-P03-KO-U01-UNIT-001;NOE-P03-KO-U02-UNIT-001;NOE-P03-KO-U03-UNIT-001","Independent Korean and ko-KP specialists return explicit evidence.","6E6CD98CB4ACB9408C6098548AEB502D6BCC9E995D0302AB8BA2FE780679821B"
"CJK-KO-P03-HARD-003","3","2026-08-04","day","terminology","U01;U02;U03","lines 3574,3582,3584,3586,3596,3607","U01;U02;U03","held","U01 uses 이원/삼원 while U02 uses 3원/4원; mixed styles can obscure a single historical arity system.","Mixed labels can look like different mathematical scopes.","binary/ternary/quaternary;Arabic numeral plus 원;Hangul numeral plus 원","","NOE-P03-KO-U01-UNIT-001;NOE-P03-KO-U02-UNIT-001;NOE-P03-KO-U03-UNIT-001","Independent Korean invariant-theory checker decision.","4CBBC9885A7F3C4B719B93DD692F16370FF72EA18FA54C071ECC5AABB156468A"
"CJK-KO-P03-HARD-004","4","2026-08-04","day","terminology","U01;U02;U03","lines 3574,3582,3584,3586,3590,3596,3607","U01;U02;U03","held","Ordinary Korean meanings of 형식, 구성, and 연관 can flatten algebraic generation and relation structure.","Local substitutions can break claims about finite systems, generation, and relations.","Formensystem;Bildung;Formenzusammenhang","","NOE-P03-KO-U01-UNIT-001;NOE-P03-KO-U02-UNIT-001;NOE-P03-KO-U03-UNIT-001","Independent Korean invariant-theory terminology review.","DB9488BA56FDB0334A819862A174DF37D56DC543FFA339D7C6F52070ECD97C07"
"CJK-KO-P03-HARD-005","5","2026-08-04","day","terminology","U01;U02;U03","lines 3584,3586,3588,3590,3596,3607","U01;U02;U03","held","수축 may attract generic contraction, while 동변/반변 and 결손 must track distinct transformation and parameter senses.","A wrong relation term can invert the transformation claim even with unchanged formulas.","Faltung;Defekt;kogredient;kontragredient","","NOE-P03-KO-U01-UNIT-001;NOE-P03-KO-U02-UNIT-001;NOE-P03-KO-U03-UNIT-001","Independent Korean invariant-theory/formula checker.","77201375CFC82E8E78EF9E79405D97C2E26D51F71E6FF368B005CE4CECE515B0"
"CJK-KO-P03-HARD-006","6","2026-08-04","day","terminology","U01","line 3584","U01","held","P03 producer used 환원식, while prior P01 producer metadata used 환원자; neither has Korean evidence.","Different terms may falsely imply different historical objects.","Reduzent;reducer;reduction of form systems","","NOE-P03-KO-U01-UNIT-001","Corpus-wide Korean terminology decision.","B22A2AE9613155B8E7D8A381461331B9F4DBE0BFD67AE54C1662384390656E16"
"CJK-KO-P03-HARD-007","7","2026-08-04","day","terminology","U02;U03","lines 3586,3588,3590,3596,3605,3607","U02;U03","held","열 can denote row, column, sequence, or family, while the source determinant behavior changes by context.","Row/column reversal can distort determinant and pairing prose.","Reihe;Variablenreihe;Symbolreihe;Reihenentwicklung;Unterdeterminante","","NOE-P03-KO-U02-UNIT-001;NOE-P03-KO-U03-UNIT-001","Independent Korean linear-algebra/invariant-theory checker.","BD85BAB1AFFD20EDC8868E832AFD2F7458582C024FE8E4ADB1016A3BEE8D3A61"
"CJK-KO-P03-HARD-008","8","2026-08-04","day","terminology","U02;U03","lines 3588,3590,3596,3605","U02;U03","held","행렬곱 strongly attracts ordinary matrix multiplication, but the source defines a sum of products of corresponding determinants.","Readers may assign the wrong operation throughout the proof.","Matrizenprodukt;corresponding determinants;Determinantenaggregat","","NOE-P03-KO-U02-UNIT-001;NOE-P03-KO-U03-UNIT-001","Independent Korean historical invariant-theory checker.","D35E8BA3B35B20300736647E5BF04830009148BC4BDE6825CE88EEB05E9AA4BF"
"CJK-KO-P03-HARD-009","9","2026-08-04","day","terminology","U03","lines 3596,3605,3607","U03","held","비분해, 분해항등식, 기본 공변식, and 정규형식 can import modern meanings that differ from the source-defined proof roles.","A plausible term can misstate atomicity, decomposition, or annihilation conditions.","unzerlegbar;Zerlegungsidentität;Elementarkovarianten;Normalformen","","NOE-P03-KO-U03-UNIT-001","Independent Korean proof and terminology checker.","D059CE12667A3A1A9D8CC1CAC6B379EFE78F8419FB036763876826BF15E4CBFE"
"CJK-KO-P03-HARD-010","10","2026-08-04","day","historical_register_and_citation","U01;U02;U03","lines 3574,3584,3588,3590,3596,3605,3607","U01;U02;U03","held","Literal clause order can be unreadable in Korean, while aggressive rewriting can alter mathematical scope or citation attachment.","Syntactic smoothing can change quantifier, contrast, or proof dependence.","long sentence;embedded citation;formula transition;historical title","","NOE-P03-KO-U01-UNIT-001;NOE-P03-KO-U02-UNIT-001;NOE-P03-KO-U03-UNIT-001","Independent Korean checker returns unit-level syntax and citation decisions.","FDC30052A73DD5DA6E9A06C464638A1B44459753D2F92F77445BA887D50356E0"
"CJK-KO-P03-HARD-011","11","2026-08-04","day","tooling_failure","","initializer patch construction before any file write","","resolved","The first initializer apply_patch construction failed with ReferenceError: unit is not defined before the patch tool ran.","Mixed-language generators can consume or reinterpret each other","s","template","containing","variable,nested","0297DFDE903E203FF9952BC21485D93B7F75FBAFBD5DC48C556B1A4D691339B8"
"CJK-KO-P03-HARD-012","12","2026-08-04","day","tooling_failure","","CSV reproducibility validation dependency discovery; no source/target content access","","held","The exact workspace dependency locator stalled on two consecutive bounded calls and returned no runtime paths.","CSV projections are not yet independently imported through the required artifact tool.","dependency locator yields no output;artifact-tool runtime unavailable","","NOE-P03-KO-WORK-001","Append a resolving successor only when an exact loader-provided Node and node_modules path permits the required artifact-tool validation.","53136065D0F516D3106C1FFEE299F93B493C097268174AF31BB9F91FC9D997CC"
"CJK-KO-P03-HARD-013","13","2026-08-04","day","metadata_integrity_failure","","P03 reproducibility metadata only; no source or target review","","resolved","The immutable HARD-011 line was syntactically valid and chain-valid but several trailing semantic fields were mangled; the original validator did not enforce their documented enums.","The immutable HARD-011 line remains a known malformed historical record; consumers must apply this correction successor or use the documented validator exception.","schema-valid JSON with semantically invalid enum values;validator checks hash chain but omits enum/domain checks;CSV projection faithfully reproduces malformed source data","","NOE-P03-KO-WORK-001","Revisit if any downstream consumer ignores append corrections or treats HARD-011 as current semantic metadata.","F66B3DFCE45CD527984B7DBC717336DDB4F475629B04EA1F158BB77FFA9AE636"
