check_id	scope	basis	result	detail
AUTHORITY_AND_MAPPING	physical pages 1-18	fresh unpacked non-patching audit copy	PASS	source hashes, 18-page map, and printed folios 299-316 verified
COVERAGE_LAYERS	all pages	fresh unpacked non-patching audit copy	PASS	18 FROZEN source, 18 ACCEPTED English, 18 ACCEPTED apparatus, 18 final
TITLE_BYLINE_DEDICATION	page 1	fresh unpacked non-patching audit copy	PASS	title, Pierre Deligne (Bures-sur-Yvette), and dedication verified
CONTENTS_HEADING_SPLIT	pages 1 and 4	fresh unpacked non-patching audit copy	PASS	Sommaire virtuelles versus §2 réelles preserved
EQUATION_1_1_3	page 1	fresh unpacked non-patching audit copy	PASS	outer exponent 1/2-s independently verified
INTEGRATION_REPAIRS	pages 1,2,6,12	fresh unpacked non-patching audit copy	PASS	whole-work grammar/sign corrections and S02 z-domain supersession verified
FORMULAS_1_12	pages 1-12	fresh unpacked non-patching audit copy	PASS	numbering, exponents, cohomological degrees, Fourier chain, and spectral-sequence array checked
PAGE_13_RECIPROCITY	page 13	fresh unpacked non-patching audit copy	PASS	exp(2πi inv) typing and §§4.3-4.8 checked
PAGE_14_GLOBAL_SEQUENCE	page 14	fresh unpacked non-patching audit copy	PASS	local Weil target, exact sequence, lemmas, and number-field proof checked
PAGE_15_DIAGRAM	page 15	fresh unpacked non-patching audit copy	PASS	A quotient and full exactness-diagram topology checked
PAGE_16_ORTHOGONAL	page 16	fresh unpacked non-patching audit copy	PASS	isotropic decomposition, c¹ identity, Proposition 5.2, Corollary 5.3 checked
PAGE_17_L_ADIC	page 17	fresh unpacked non-patching audit copy	PASS	ε(V,0), (5.4.1), (ρ′,N), q^{-s}, determinant, and Lemma 5.6 checked
PAGE_18_END_MATTER	page 18	fresh unpacked non-patching audit copy	PASS	bibliography 1-3, received date, and complete address checked
FRENCH_COMPLETENESS	all pages	fresh unpacked non-patching audit copy	PASS	page boundaries and all body matter represented; running matter and blank remainder excluded
ENGLISH_FIDELITY	all pages	fresh unpacked non-patching audit copy	PASS	symbols, numbering, logical force, citations, and diagram topology preserved
APPARATUS_RESTRAINT	all pages	fresh unpacked non-patching audit copy	PASS	apparatus limited to material decisions, ambiguity, repairs, and translation notes
ASSETS	all pages	fresh unpacked non-patching audit copy	PASS	semantic replay sufficient; asset ledger empty; no authority crop promoted
PRIOR_ZERO_ACCEPTED	64 inherited members	fresh unpacked non-patching audit copy	PASS	all remain ZERO_ACCEPTED; page-local comparison logged
READERS	three HTML readers	fresh unpacked non-patching audit copy	PASS	fresh, offline, script-free, and 18-page complete
CANDIDATE_VALIDATION	fresh unpacked candidate	validate_state.py and semantic assertions	PASS	no audit-copy edits; all checks passed
DETERMINISTIC_REPACK	fresh unpacked candidate	two independent package_state.py runs	PASS	both repacks matched candidate SHA-256 E89425D86245176473811AF859ADBD2AD98B7308CC26CF00EC778DE96BCC0805
