"issue_id","recorded_at","work_id","unit_ids_json","source_locators_json","target_locators_json","symptom","cause_evidence_json","attempts_and_rejections_json","state","resolution_or_hold","artifact_hashes_json","residual_risk","recurrence_cues_json","related_decision_ids_json","related_structural_ids_json","transferable_lesson","previous_record_sha256","record_sha256"
"CJK-KO-P01-HARD-001","2026-08-04T04:20:45.1622392+02:00","NOE-P01","""U01""","""German snapshot line 2""","""Korean U01 line 10""","The literal cognate of biquadratisch can suggest a grouped biquadratic object rather than a homogeneous degree-four ternary form.","[""The displayed special form has total variable degree four."",""The source title says ternäre biquadratische Form.""]","[""Selected 삼원 4차 형식 for mathematical transparency."",""Rejected automatic 쌍이차 형식 as potentially misleading; retained it as a checker alternative."",""Did not consult Chinese wording as Korean authority.""]","held","Producer choice frozen; independent Korean invariant-theory checker must adjudicate.","[""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F"",""48961F41A3C178968A5D2157F6FD5E756DAC7817555CAD07208C61E5A6643BE7"",""7907AAB035347A041F0CE9288E00F980BA0A0132B3C733F54967FDFC7191254D""]","A specialist may prefer an established Korean historical term even if it is less compositionally transparent.","[""biquadratisch"",""quartic versus biquadratic"",""ternary-form titles""]","[""CJK-KO-P01-001"",""CJK-KO-P01-002""]","""NOE-P01-KO-U01-TITLE-001""","Translate the mathematical degree first, then expose literal historical alternatives as held rather than hiding the ambiguity.","","ECD50F416DF761B74EF74BCB544BBA25400B99F4BB1CB891532DDFB177004320"
"CJK-KO-P01-HARD-002","2026-08-04T04:20:45.1622392+02:00","NOE-P01","""U01""","""German snapshot line 13""","""Korean U01 line 22""","Ordnung and Grad are false friends because the source assigns them different coefficient- and variable-degree senses in a footnote.","[""The source footnote explicitly defines Ordnung by coefficients and Grad by variables."",""The surrounding claims use both sixth Ordnung and sixth Grad.""]","[""Selected 계수차수 and 변수차수."",""Rejected one undifferentiated 차수 for both."",""Rejected rank/order vocabulary that would obscure polynomial degree.""]","held","Local disambiguation retained; exact Korean historical terminology remains for checker review.","[""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F"",""48961F41A3C178968A5D2157F6FD5E756DAC7817555CAD07208C61E5A6643BE7"",""7907AAB035347A041F0CE9288E00F980BA0A0132B3C733F54967FDFC7191254D""]","The translation may over-regularize the source word Dimension and could diverge from specialist convention.","[""Ordnung/Grad pair"",""coefficient degree"",""variable degree""]","""CJK-KO-P01-002""","[""NOE-P01-KO-U01-NOTE-002"",""NOE-P01-KO-U01-PARA-002""]","Whenever the source defines competing degree words, make the contrast explicit in the target and forbid fluent collapse to one attractor.","ECD50F416DF761B74EF74BCB544BBA25400B99F4BB1CB891532DDFB177004320","6B4368E7477783235364819776D67EB984C034DC78DF2CC2E91BC35072A45EC9"
"CJK-KO-P01-HARD-003","2026-08-04T04:20:45.1622392+02:00","NOE-P01","[""U01"",""U02""]","""German snapshot lines 23-36""","[""Korean U01 line 32"",""Korean U02 lines 9-20""]","Historical invariant-theory Modul collides with modern algebraic module, software module, and modular-arithmetic readings.","[""The source treats a Modul as a stage-defining ground form and writes systems mod ν, mod s, and mod (ρ,t)."",""This sense differs from later Noether 가군 terminology.""]","[""Retained 모듈 as a visibly provisional loan."",""Rejected 가군 because it asserts the wrong algebraic object."",""Rejected silently rewriting every occurrence as 법 because the source also treats the Modul as a Grundform.""]","held","Highest-priority terminology hold; checker must select a Korean historical invariant-theory rendering.","[""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F"",""48961F41A3C178968A5D2157F6FD5E756DAC7817555CAD07208C61E5A6643BE7"",""52C02759CC6D08AA102DA366F7F148A4D148EC1066E2F81DE929CEE43A46DDDF"",""7907AAB035347A041F0CE9288E00F980BA0A0132B3C733F54967FDFC7191254D""]","Readers can still import the modern module sense despite the producer note.","[""Modul near mod notation"",""Grundform"",""module chains in invariant theory""]","""CJK-KO-P01-002""","[""NOE-P01-KO-U01-PARA-004"",""NOE-P01-KO-U02-PARA-001""]","A shared spelling across historical subfields is not a shared concept; preserve the source-local sense and route the headword for specialist review.","6B4368E7477783235364819776D67EB984C034DC78DF2CC2E91BC35072A45EC9","FE2A6AB78D97B8773B2545CC70C667D15AF3763D1141B863AB0AE0DD5D24C107"
"CJK-KO-P01-HARD-004","2026-08-04T04:20:45.1622392+02:00","NOE-P01","[""U01"",""U02"",""U03""]","""German snapshot lines 23, 40-79""","[""Korean U01 line 32"",""Korean U02 lines 24-42"",""Korean U03 lines 9-28""]","Überschiebung and Faltung are related invariant-theory operations but cannot be collapsed into one Korean label without losing the source distinction.","[""Überschiebung appears in the general system-construction paragraph."",""Faltung is separately defined by four factor-pair replacement operations and controls Formenreihe and Reduzent.""]","[""Selected 전이연산 with German/English gloss for Überschiebung."",""Selected 수축 for the explicitly defined Faltung."",""Rejected one shared 수축 label for both."",""Rejected literal 접기 because it foregrounds everyday folding rather than symbolic contraction.""]","held","Two-term distinction frozen as producer wording; exact Korean headwords await specialist adjudication.","[""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F"",""48961F41A3C178968A5D2157F6FD5E756DAC7817555CAD07208C61E5A6643BE7"",""52C02759CC6D08AA102DA366F7F148A4D148EC1066E2F81DE929CEE43A46DDDF"",""ECEE0AB9E9D8C89D6A9B4FBBA63128FBE1990764847E01038AB894EF66C9DF54"",""7907AAB035347A041F0CE9288E00F980BA0A0132B3C733F54967FDFC7191254D""]","Established Korean invariant theory may name one or both operations differently, and transvection has geometric attractors.","[""Überschiebung/transvection"",""Faltung/contraction"",""Grundfaltung"",""Formenreihe""]","""CJK-KO-P01-002""","[""NOE-P01-KO-U01-PARA-004"",""NOE-P01-KO-U02-DEFINITION-001"",""NOE-P01-KO-U02-THEOREM-001"",""NOE-P01-KO-U03-DEFINITION-001""]","Do not use lexical similarity or neighboring-language terminology to merge operations that the source defines separately.","FE2A6AB78D97B8773B2545CC70C667D15AF3763D1141B863AB0AE0DD5D24C107","1E14078A4496AF6DA61BEFD897FAAB0A872552EEBC69A472FB34EA884EDF4FA8"
"CJK-KO-P01-HARD-005","2026-08-04T04:20:45.1622392+02:00","NOE-P01","[""U01"",""U02""]","""German snapshot lines 2, 11, 13, 21, 36""","[""Korean U01 lines 10, 19-32"",""Korean U02 line 20""]","Formensystem, Bildung, and the invariant/covariant/contravariant triad sit in a dense historical terminology cluster with several modern Korean attractors.","[""Bildungen are counted members of a complete Formensystem."",""The source distinguishes Invarianten, Kovarianten, and Kontravarianten by class.""]","[""Selected 형식계 and 구성식."",""Selected 불변식/공변식/반변식."",""Rejected treating neighboring Chinese forms as Korean evidence."",""Rejected unverified Hanja insertion.""]","held","Producer cluster retained with explicit sense windows; Korean disciplinary attestation remains absent.","[""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F"",""48961F41A3C178968A5D2157F6FD5E756DAC7817555CAD07208C61E5A6643BE7"",""52C02759CC6D08AA102DA366F7F148A4D148EC1066E2F81DE929CEE43A46DDDF"",""7907AAB035347A041F0CE9288E00F980BA0A0132B3C733F54967FDFC7191254D""]","Some terms may be readable but nonstandard, especially 구성식 and 반변식.","[""Formensystem/Bildung"",""concomitant classes"",""형식 versus 형""]","""CJK-KO-P01-002""","[""NOE-P01-KO-U01-TITLE-001"",""NOE-P01-KO-U01-PARA-001"",""NOE-P01-KO-U01-PARA-002"",""NOE-P01-KO-U02-PARA-001""]","Treat a historical terminology cluster as a linked decision set; changing one headword may require re-evaluating its neighboring classes.","1E14078A4496AF6DA61BEFD897FAAB0A872552EEBC69A472FB34EA884EDF4FA8","32A2DCB77299F9CC3977F932EF859AB076260733DE0C431C0E958954EC453B81"
"CJK-KO-P01-HARD-006","2026-08-04T04:20:45.1622392+02:00","NOE-P01","""U03""","""German snapshot lines 66-79""","""Korean U03 lines 15-28""","The reductant theorem nests causal and derivational clauses, and Reduzent is source-defined rather than a safely importable modern headword.","[""The source defines Reduzent immediately before the theorem."",""The theorem distinguishes Anfangsform, one Glied, Schlußform, and Gesamtformenreihe.""]","[""Selected 환원자 and retained the definition in the target."",""Kept the nested causal structure rather than replacing it with an unproved modern lemma form."",""Rejected chemical-reductant interpretation and generic divisor language.""]","held","Clause structure and headword are frozen only as producer draft; mathematical fidelity check required.","[""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F"",""ECEE0AB9E9D8C89D6A9B4FBBA63128FBE1990764847E01038AB894EF66C9DF54"",""7907AAB035347A041F0CE9288E00F980BA0A0132B3C733F54967FDFC7191254D""]","The Korean causal nesting may misidentify which member is contracted with the reductant; only an independent checker may resolve it.","[""Reduzent"",""Anfangsform/Glied/Schlußform"",""double reduction""]","""CJK-KO-P01-002""","[""NOE-P01-KO-U03-DEFINITION-002"",""NOE-P01-KO-U03-THEOREM-001"",""NOE-P01-KO-U03-LIST-002""]","Source-defined theorem vocabulary should travel with its definition and exact locator; fluent paraphrase is not a substitute for a checker.","32A2DCB77299F9CC3977F932EF859AB076260733DE0C431C0E958954EC453B81","5C47E849ED9D434E935A65C379E460E96BF46593563758A9832219A1D9A79F92"
"CJK-KO-P01-HARD-007","2026-08-04T04:20:45.1622392+02:00","NOE-P01","[""U01"",""U02"",""U03""]","""Historical whole lines 381-460 / bytes [12505,20587)""","""SOURCE_CUSTODY.md; all Korean units""","The historical whole-authority path disappeared after corpus consolidation, so the preserved interval is hash-stable but not yet rebound to one present current pointer.","[""Preserved interval is 8,082 bytes with SHA-256 049998...8D2F."",""Historical whole hash and pointer hash survive in custody records."",""Sole canon task acknowledged the shared pointer debt but has not returned the Paper 1 binder.""]","[""Translated from the immutable preserved interval with explicit lineage debt."",""Rejected stale R821 as current."",""Rejected local German comparison, adjudication, or patching."",""Rejected giant archive inspection and broad filesystem search.""]","active_control","Hold current-canon wording claims until canon task 019fca5c-0e73-7c72-92fb-5b507b710598 returns the exact pointer/lineage receipt.","[""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F"",""8AFE5BC676B48F76EE48F251F8E753B1ADCD6EA2500D1AD4927F4B531DD6F632""]","A later binder may show that this interval is a historical descendant rather than the present diplomatic head.","[""missing old path"",""stale R821"",""preserved interval versus current pointer""]","""CJK-KO-P01-001""","[""NOE-P01-KO-WORK-001"",""NOE-P01-KO-U01"",""NOE-P01-KO-U02"",""NOE-P01-KO-U03""]","Hash-addressed interval custody can keep translation moving, but it must never be mislabeled as present canon while pointer lineage is unresolved.","5C47E849ED9D434E935A65C379E460E96BF46593563758A9832219A1D9A79F92","E4AE09B754AD12CD8CF51ACF9EC140EAD98906DC933E9635A44F3599DF144C11"
"CJK-KO-P01-HARD-008","2026-08-04T04:20:45.1622392+02:00","NOE-P01","[""U01"",""U02"",""U03""]","""Checker-routing control; no German source defect""","""CHECKER_HANDOFF_U01_U03.md""","No separately named independent Korean checker task exists in the bounded CJK controls or Chinese peer state.","[""Chinese task 019f757c-95a5-7030-8b00-38762b5cdbfc explicitly returned that it has no Korean checker ID."",""The Chinese lane performed no Korean review and refused to misuse the German canon task as a checker.""]","[""Preserved an unchecked hash-pinned handoff."",""Rejected asking Chinese or Japanese producers to authorize Korean."",""Rejected creating a user-visible checker task without explicit routing authority."",""Rejected treating task delivery as review.""]","active_control","Keep Paper 1 and Paper 42 UNCHECKED until PROJECT_COORDINATOR or an authorized lane route identifies an independent Korean checker.","[""48961F41A3C178968A5D2157F6FD5E756DAC7817555CAD07208C61E5A6643BE7"",""52C02759CC6D08AA102DA366F7F148A4D148EC1066E2F81DE929CEE43A46DDDF"",""ECEE0AB9E9D8C89D6A9B4FBBA63128FBE1990764847E01038AB894EF66C9DF54"",""7907AAB035347A041F0CE9288E00F980BA0A0132B3C733F54967FDFC7191254D""]","Producer drafts may accumulate faster than checker capacity; terminology debt and formula risk remain open.","[""missing checker ID"",""cross-language review temptation"",""delivery-versus-acceptance""]","[""CJK-KO-P42-004"",""CJK-KO-P01-002""]","""NOE-P01-KO-WORK-001""","An honest unavailable-checker state is better than inventing independence or laundering a peer translation task into review authority.","E4AE09B754AD12CD8CF51ACF9EC140EAD98906DC933E9635A44F3599DF144C11","B5706351ECF9372DABF04A783F0C9BC6F6C68EE1D8580B0BBBCD5C058CB7E283"
"CJK-KO-P01-HARD-009","2026-08-04T04:20:45.1622392+02:00","NOE-P01","[""U01"",""U02"",""U03""]","""difficulty-ledger initializer parser before any file write""","""evidence/difficulty_ledger/initialize_difficulty_ledger.ps1 line 45""","The first initializer invocation failed with Missing closing parenthesis because multiline positional function arguments lacked explicit PowerShell continuation markers.","[""Command exited 1 before DIFFICULTY_LEDGER.jsonl or CSV existed."",""Parser identified line 45 at the first New-Issue call."",""No translation or source file was touched by the failed invocation.""]","[""Rejected hiding the failed initializer after repair."",""Added explicit continuation markers to the same bounded calls."",""Kept the initializer overwrite refusal so a rerun cannot silently replace an append-only ledger.""]","resolved","Initializer syntax repaired; failed approach retained in this record and validator evidence.","[""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F"",""DB2535C47F5D1B6ABBF16FF9BD1E3D633AA43153B70C1744A874FC6F05B3B429""]","Future multiline PowerShell edits can recreate the same parse failure; the ledger initializer itself remains a one-time tool.","[""multiline PowerShell positional calls"",""Missing closing parenthesis"",""initializer before durable write""]","""CJK-KO-P01-003""","""NOE-P01-KO-WORK-001""","Log pre-write tooling failures too: they explain why a durable artifact appeared only after a corrected invocation and prevent false claims of a clean first pass.","B5706351ECF9372DABF04A783F0C9BC6F6C68EE1D8580B0BBBCD5C058CB7E283","5C4DA1829DCF1AFEDCC5B70FABFF10535609AE3B310E09E978BBC80EC2470BA0"
"CJK-KO-P01-HARD-010","2026-08-04T04:25:46.8327010+02:00","NOE-P01","[""U01"",""U02"",""U03""]","""difficulty-ledger JSONL records HARD-001 through HARD-009""","""validate_difficulty_ledger.ps1 canonical hash replay; rejected_attempts/DIFFICULTY_LEDGER_VALIDATION_REPORT_failed_hash_convention_20260804.json""","The first validator replay reported record hash mismatch for all nine records after the initializer had successfully written them.","[""Initializer canonicalized each ordered record with record_sha256 present as null before computing its hash."",""Validator initially removed record_sha256 entirely, producing a different canonical JSON byte sequence."",""Rejected failure report is 1,146 bytes, SHA-256 9709B0CE22BC6AD0D88ED084A351930BE3C90CE6E99587C78686E51648896037."",""No source or Korean TeX file changed during either validator invocation.""]","[""Rejected rewriting the existing nine JSONL records or recomputing their hashes."",""Preserved the failed report under rejected_attempts before changing the validator."",""Changed validator replay to retain record_sha256 in original property order with a null value."",""Appended this correction record rather than silently erasing the failed validation history.""]","resolved","Validator canonicalization now matches the initializer convention; existing chain bytes remain untouched.","[""9709B0CE22BC6AD0D88ED084A351930BE3C90CE6E99587C78686E51648896037"",""D49EB00C2991CA3B1B837CFD7108E1BCDE79FA35AF2E31D486E90A33B6B7BA07"",""0499985866E646747EC31533775FF31B55556F2C694F4C2608384829DE248D2F""]","Any future append tool must preserve the same ordered canonical form, including a null self-hash placeholder during hashing.","[""all-record hash mismatch"",""initializer/validator canonicalization drift"",""null self-hash placeholder""]","""CJK-KO-P01-003""","""NOE-P01-KO-WORK-001""","When hashing self-describing records, specify the self-hash placeholder convention explicitly and test initializer/validator byte identity before interpreting mismatches as data corruption.","5C4DA1829DCF1AFEDCC5B70FABFF10535609AE3B310E09E978BBC80EC2470BA0","A89DABD3CAEA27ACE9CE4E067660684AA95785BA71693F97658AFD9F521BACDB"
