physical_page	authority_pdf_page	printed_page	prompt_id	source_language_zone	source_pdf_page	english_pdf_page	disposition	copy_matter_exclusion	source_record_sha256	english_record_sha256	apparatus_record_sha256
1	1	313	P01	FRENCH_MAIN_BODY	3	3	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	EDCDFD3E41EF1473A5611B73ADDE04D1C00231613872F72399C49DDEC66D03DE	AE28A95BA5AD84F800897F6F94F68C3F76F31F0CF260820A98C087C8B4F7B929	03025CB22F1B77A35C2249C7EC519AA16C1FBB47738DE1BC5688896397F37986
2	2	314	P01	FRENCH_MAIN_BODY	4	4	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	D7F07BF3FB7C7F69F6A3DE0FE52BBCFA74DE32EBD35DA0DFF57C4087BBDAD169	DC07166E20282263D10AEBEBD4C91A602F76AD8674F413BA4A0FCE400BB8F44E	827E50DBCFE6B42F28A32AE85F6ADF770A6594FA869B9B611AE5D681C15B17B0
3	3	315	P01	FRENCH_MAIN_BODY	5	5	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	C6FBC7146FA7113CF1BDD3AD78C8A48006C8AF9359E2FCAD377FEB76D5E4AC57	8A088E2DD6D158D713D0FB653C37B4709085AED0D9432DC5337DCB6A22549328	95B50106B30E5BD03C5C3E77907F593BA4D626F8B04F290562D967B6BB0F3916
4	4	316	P01	FRENCH_MAIN_BODY	6	6	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	4F5036E8C881252DD3CE83E5E81C2211DECBCFECE4A014446EB07C9F717AE37C	9AD3855FEE62DDA0F3D84607F3E9C266A43D1B4DF997FC0DFE9E26BA2C776F43	576D4F428B648A2ECE5D04C7569950B4A5739A1187F03529CC98113FE2B1BC55
5	5	317	P01	FRENCH_MAIN_BODY	7	7	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	BC04F774C1D0B3EBE617B2B5028B1ADD3BD069EFB13A994E2F9EBF86D49E7F5F	B58585A2A7A39AF0C009374DDB03B6323F6920B0F808F781BF0DEE73C7C65171	AA3E4F4C54DB8182AF153FD7BF4182E1C3F02DC893D4C4977FE9FBB1000BC6D1
6	6	318	P01	FRENCH_MAIN_BODY	8	8	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	881EB557FF529F1965718DE88721DB4195A1EAFD14D255DB38ADA4E6C9F3BDCB	364D055456E301F32C82081A131F7FD70C7CC25CE6FEA5C7011BB30E45E62B85	F2B79DECF721B4B492721F2D51FA96C7BBE1F273DD26BE85D462A19AEFE0A0BC
7	7	319	P02	FRENCH_MAIN_BODY	9	9	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	7369149470463229A94494923B415677493305F61761FACB79643F143BCD5BBB	8CECB78EFDC2428C47E40BF6834DAE52A01C6A1E7C1D359AED5B55C7B2F60A0C	856C49F5F8170AB54A94D2FD0D2701D4E50A3449114D347432DA5DB1FD1183EA
8	8	320	P02	FRENCH_MAIN_BODY	10	10	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	A984C24CFF3264DD3CAC07A835499F9BF272D487C8436AB86F5DA641E4B11374	7CA740E6BD58070C50ACA27C652ABE95FBE07F32134394A72084DF0798C7CA9F	2A85F9B8C787240D57A98C3B51BA5D0689E9383C89C7F56792D8F0BA74FD4D66
9	9	321	P02	FRENCH_MAIN_BODY	11	11	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	C01AF6F675B55AC3E366BCAB5E5DDF7E216DE0581C5D8706BD8AC388E42950C8	E477F5FB29D29A45BA0974E961669C6C3172E93062ACE226BE0DDACF82F8867A	7DDA8E6B239A41C2144FF681C5F2999AF7AF48D73F7B890AAB13FAA6053EB929
10	10	322	P02	FRENCH_MAIN_BODY	12	12	INCLUDE_WORK_WITH_COPY_MATTER_EXCLUSIONS	exclude running proceedings header/repeated folio, neighboring-article sliver, and terminal blank remainder; retain publication citation/classifications/copyright in apparatus	AD688990ED6584264E47B03A76769B98781898A4A3C60D0564BD9907A9B4F702	B0A9856A4CAD5F9EFE81046EFAE4DFCEA5BA229DB92FA85357CE0AAF6A380EF1	FC507B8EEDC20AB47AD9915FC59D164B92836C35A93E3A82EC1C835E464367BD
