"lane","role","frontier","packet_path","exists","file_count","bytes","manifest_rows","manifest_sha256","sha256sums_rows","sha256sums_sha256","notes","boundary_label"
"B3","branch-visible C0 package","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","True","12","169301","10","1DD868788AE5F5609BF7897B94AD5969D70ECEE0B75404607707ABCD11D7C001","9","3363F54B450A1F12A7C7D16CCC17FC885F902562809C2BCF820F29DC5A6B124B","D9 commit publishes C0CB Slavic/OLP/Interlanguage/Persianate package and held C0 Non-Slavic route blocker","source-use/provenance/gap or package-routing context only; no promotion"
"B3","current local D9 package","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","True","11","60894","9","30B4634B063B84F737EFB4F3C92D91B53EB380064240A08E907E5CEAEDF0AE42","8","5BE9A0F0C3F1460C651C2869169E7A85AAE799BF72FBB218791BE11FC974710F","D9 B3 package freezes R9 D9 recovery, R9 C0 heartbeat recovery, Interlanguage C0 upload-prep heartbeat","source-use/provenance/gap or package-routing context only; no promotion"
"R9","current D9 child evidence","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","True","14","123331","12","5B08683D2C005A2694BA831206ECD7433207F9BC90EED9974DDB63077FBBB41E","11","66A68AA030A437E33648DECBED08CFC5E1917C5A88C7641FFDE379555C0013E8","R9 source-return/OCR/Unicode/source-use/gap carryforward without promotion","source-use/provenance/gap or package-routing context only; no promotion"
"R9","prior C0 child evidence","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_C0CB1DB1_HEARTBEAT_INSTRUCTION_RECOVERY_20260707","True","14","27958","12","9787AAFA2EEE683F91873FB0424DD1B88832DC64B3F1A2C36FF5140FF26FCA31","11","BFA281AC4AD3C2ADE282F8D9EA9E33C5F427951C2F3E4C0ED64B0054BB00EC54","R9 heartbeat instruction recovery carryforward","source-use/provenance/gap or package-routing context only; no promotion"
"OLP","current D9 support evidence","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_D9EA29B0_INTERLINEAR_TERMINOLOGY_HEARTBEAT_20260707","True","14","49707","11","AA46627A163CD63029C42833B7AE71F9D223D8039A66FD36CAE262317E4A22EB","11","D450B1C20F06F9C8D0D08BA67F0E7A0B7D82FDF44C1F589D13237B7419A0EE35","interlinear/terminology support only; no reviewer return approval","source-use/provenance/gap or package-routing context only; no promotion"
"Interlanguage/Fable","source-canon upload-prep context","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_C0CB1DB1_SOURCE_CANON_UPLOAD_PREP_HEARTBEAT_20260707","True","15","23336","11","D54162A6406A260EE9408D4B1D92F154EE2F430F222FB5BA5375E3C9EF593791","10","00662A0A5163A9AC55260E5E63C30360802297D2CBA953F290B9E10809EB8058","source-corpus ZIP referenced by path/hash only, raw archive not copied","source-use/provenance/gap or package-routing context only; no promotion"
"Interlanguage/Fable","C0 Persianate/Tajik return context","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_C0CB1DB1_PERSIANATE_TAJIK_RETURN_PACKET_20260707","True","19","69953","15","CC305B72FBAED6089E967974BF6EE0621862D7ED3254ED027970D1625AE6E564","14","7C7171DF90E896365BAF561D6B8CFEB8BA1145C229B71520C461E2706E23C0EB","source-use/adverse authority routing context only","source-use/provenance/gap or package-routing context only; no promotion"
"Persianate/Tajik","C0 child evidence","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_C0CB1DB1_FRONTIER_CORRECTION_RECOVERY_20260707","True","33","220071","30","5C361EF539CD5CF9774E532DDCC665D5EBBF600FAFC086FC95E767935DBE2300","30","707A88365D16ACD3CD637E3B3926214F9EB56F0B03F2C8000BFB41760879CF50","no new fa_IR/prs_AF source-body evidence; Tajik source-discovery-only","source-use/provenance/gap or package-routing context only; no promotion"
"Persianate/Tajik","86B2 prior child evidence","86b2acb61269d7f316369ed61834f801aa5a606a","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_86B2ACB6_FRONTIER_CORRECTION_RECOVERY_20260707","True","33","220619","30","8ED7890CB4EFD7D8E86D8CCBE8D811792015F8247D41346DEC6EDEA9B6348A98","30","9AB8410BBA2BF5020AA221B2B58E68218B1CB7B1A48CDEF1BB63FD930F433657","prior-frontier evidence, separated fa_IR/prs_AF/tg_Cyrl_TJ","source-use/provenance/gap or package-routing context only; no promotion"
"Slavic watcher","context isolation","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_C0CB1DB1_FRONTIER_ADVANCE_NONSLAVIC_ROUTE_ISOLATION_WATCHER_20260707","True","23","43365","21","B2C6E558FD95A9E3D3929821CC4F6FA5ED1120B9C26DDA30E00AA4D9666640C8","20","2CD6E2ACADAFABC6B2ED0C2669E7FCEC033BDB31AAD09C29578E20CA4DD0FC21","route-isolation watcher only; no canonical rebuild or approval","source-use/provenance/gap or package-routing context only; no promotion"
"Non-Slavic Core","repaired C0 route packet","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","True","18","100207","15","D581A1A3D674089817E108557B710685AE1AEAF82AB13B6E865478ADFFCBDA58","16","848E384751DD7D6769B32B0F62898D7A128DB65226D8947F4F4AA9FF817F32A7","placeholders repaired after B3 held audit; owner repair evidence","source-use/provenance/gap or package-routing context only; no promotion"
