lane,queue_id,source_basis,reviewer_or_authority_needed,question_focus,required_return_fields,promotion_allowed
Somali,R9_SOMALI_PROOF_LANGUAGE_REVIEW_QUEUE,Ethiopia Learning Somali Grade 6/8 math sources plus current pass2 shelf,"Somali math teacher, translator, or domain reviewer","definition/theorem/proof frames; algebra rows; school vs dictionary split","row_id; reviewer_or_authority; source_basis; local_wording; decision; variant_note; source_rationale; remaining_blockers",false
Oromo,R9_OROMO_ORTHOGRAPHY_AND_PROOF_REVIEW_QUEUE,Ethiopia Learning Oromo Grade 1/6/8 math sources plus current pass2 shelf,"Oromo math teacher, translator, or domain reviewer","apostrophe/orthography; definition/theorem/proof frames; equation grammar","row_id; reviewer_or_authority; source_basis; local_wording; orthography_decision; proof_frame_decision; remaining_blockers",false
Tigrigna_Tigrinya,R9_TIGRIGNA_SCRIPT_AND_FONT_REVIEW_QUEUE,Ethiopia Learning Tigrigna Grade 6/7 clean UTF-8 rows and Grade 8 extraction blocker,"Tigrigna/Tigrinya script/domain reviewer","script label; Grade 8 algebra font repair; proof-language frames","row_id; reviewer_or_authority; source_page_or_line; exact_local_label; transcription_status; decision; remaining_blockers",false
Fulfulde_Fulani,R9_FULFULDE_VARIANT_REVIEW_QUEUE,NYU/NYSED Fulani elementary/middle/Algebra 2 glossary rows,"Fulfulde/Fulani/Fula/Pulaar reviewer with variety label","variant split; orthography; competing equation/function/variable terms","row_id; variety_label; preferred_form; rejected_form; source_rationale; promotion_allowed; remaining_blockers",false
Mandinka_Manding,R9_MANDINKA_SCOPE_REVIEW_QUEUE,NYU/NYSED Mandinka elementary/middle/geometry glossary rows,"Mandinka reviewer; Manding scope advisor only if separate evidence exists","Mandinka-specific forms; Manding-wide non-extension; proof headings","row_id; language_scope; local_wording; decision; manding_scope_note; remaining_blockers",false
Akan_Twi,R9_TWI_AKAN_SCOPE_REVIEW_QUEUE,NYU/NYSED Twi glossary rows plus Akan context-only witnesses,"Twi reviewer and separate Akan-scope reviewer if available","Twi source forms; Akan-wide exclusion; proof/definition rows","row_id; twi_decision; akan_scope_decision; source_rationale; remaining_blockers",false
Wolof,R9_WOLOF_VARIANT_REVIEW_QUEUE,NYU/NYSED Wolof math/science glossary rows,"Wolof math/science reviewer","variant/register choice; proof/definition/theorem; loan forms","row_id; chosen_form; rejected_variants; register_note; proof_frame_note; remaining_blockers",false
Yoruba,R9_YORUBA_DICTIONARY_AND_SOURCE_REVIEW_QUEUE,Yoruba-English mathematics dictionary seed rows,"Yoruba math reviewer and school/STEM source contact","dictionary extraction; school register; proof/theorem/definition gap","row_id; source_page_or_line; local_wording; extraction_status; decision; required_new_source",false
Hausa,R9_HAUSA_BOOK_CONTENT_OR_REVIEWER_RETURN_QUEUE,Mathematics in Hausa SS1/SS2 metadata route,"publisher/source owner, Hausa math teacher, or reviewer","obtain content or authoritative row return; license/reuse","source_id; content_available; license_note; exact_local_wording; reviewer_decision; remaining_blockers",false
Igbo,R9_IGBO_TEXTBOOK_CONTENT_OR_REVIEWER_RETURN_QUEUE,basic Igbo mathematics metadata route plus context studies,"publisher/source owner, Igbo math teacher, or reviewer","source-cleared textbook/glossary rows; classroom source used in studies","source_id; content_available; license_note; local_wording; reviewer_decision; remaining_blockers",false
Amharic,R9_AMHARIC_OCR_FONTMAP_TRANSCRIPTION_QUEUE,Ethiopia Learning Amharic 48 chapter PDFs,"Amharic OCR/font specialist and math reviewer","font map repair; exact Unicode transcription; source title/grade confirmation","pdf_id; page; extracted_text_status; corrected_unicode; reviewer_decision; remaining_blockers",false
Afar,R9_AFAR_TRANSCRIPT_OR_REVIEWER_RETURN_QUEUE,Qafar/Afar math-media metadata and context reports,"Qafar/Afar speaker reviewer, transcript source, or source owner","transcript/audio extraction; direct math wording; source permission","media_id; transcript_status; local_wording; source_permission; reviewer_decision; remaining_blockers",false
AF05_South_Sudan,R9_AF05_REVIEWER_RETURN_QUEUE,AF-05 packet starter and math-control checklist,"Dinka, Nuer, and Zande reviewers or authority contacts","official source route; concept-control responses; orthography/dialect labels","row_id; language; reviewer_or_authority; orthography_or_dialect; local_wording; decision; remaining_blockers",false
AF06_Omotic_Southern_Non_Bantu,R9_AF06_REVIEWER_QUESTION_QUEUE,Khoekhoegowab/Juhoansi source anchors and rendered-page checks,"Khoekhoegowab and Juhoansi reviewers/source-font verifiers","exact local-label transcription; click/ejective notation; reviewer decision","row_id; source_id; pdf_page; exact_local_label; transcription_status; reviewer_return; remaining_blockers",false
