artifact,role,package_priority,boundary_note
R9_DURABLE_RUN_LOG_20260704.md,durable run log for week-scale continuation,high,"No approvals; append-only run state"
R9_DURABLE_RUN_LOG_20260704.jsonl,machine-readable durable run entries,high,"All promotion_allowed=false"
R9_WHOLE_LANE_COVERAGE_MANIFEST_20260704.json,row-by-row whole-lane coverage proof,high,"Coverage is draft-support or blocker only"
R9_NOETHER_GERMAN_ANCHORED_MICRO_SLICES_20260704.md,human-readable micro-slice guide,high,"Non-canonical reviewer/corpus support only"
R9_NOETHER_GERMAN_ANCHORED_MICRO_SLICES_20260704.csv,row-level Noether/German anchored slices,high,"No target prose approval; all promotion false"
R9_BLOCKED_ROW_SOURCE_CLOSURE_WORKLOG_20260704.md,exact blocker closure worklog,high,"Blocked rows remain blocked"
R9_WEEK_CONTINUATION_RUNBOOK_20260704.md,week-scale continuation order,high,"No push/upload; continue local source work"
R9_NONCANONICAL_CORPUS_TRANSLATION_SUPPORT_MATRIX_20260704.md,initial support matrix,medium,"Support matrix, not term ledger"
R9_NONCANONICAL_CORPUS_TRANSLATION_SUPPORT_ROWS_20260704.csv,source-form support rows,medium,"All promotion false"
R9_OCR_UNICODE_LICENSING_SOURCE_GAP_LEDGER_20260704.md,OCR/licensing/source blocker guide,medium,"No license approval"
R9_OCR_UNICODE_LICENSING_SOURCE_GAP_LEDGER_20260704.csv,row-level OCR/licensing blockers,medium,"All promotion false"
R9_REVIEWER_LEDGER_QUEUE_20260704.csv,reviewer-return queue skeleton,medium,"Reviewer questions only"
R9_REGISTER_AND_INTERLANGUAGE_ROUTING_LEDGER_20260704.md,Session H vs Session D routing,medium,"No bridge authorization"
R9_COMPLETION_AND_NEXT_READER_HANDOFF_20260704.md,completion-as-responsible and next-reader note,high,"No translation-completion claim"
R9_ARTIFACT_MANIFEST_20260704.json,artifact manifest,medium,"Local manifest only; no package/upload"
