language,row_id,german_anchor,english_control,source_form_candidate,micro_slice_kind,micro_slice_text,source_basis,reviewer_or_closure_prompt,promotion_allowed
Somali,SM-SLICE-001,Mathematik,mathematics,xisaab,source_backed_micro_support,"Noether concept sidebar candidate: Mathematik -> xisaab, source-backed in Somali school math; use only as reviewer-visible support.",Ethiopia Learning Somali Grade 8/6 Mathematics,"Confirm register and whether source form can support mathematical prose.",false
Somali,SM-SLICE-002,Addition / Subtraktion / Multiplikation / Division,operations,isugeynta; kalagoynta; iskudhufashada; isuqaybinta,source_backed_micro_support,"Arithmetic operation support cluster for German operation anchors; keep individual operation rows source-split.",Ethiopia Learning Somali Grade 6 Mathematics,"Confirm operation noun forms and prose inflection.",false
Somali,SM-SLICE-003,Menge / Variable / Gleichung,set-variable-equation,urur; doorsoomeyaasha; isle'egyada toosan,source_backed_micro_support,"Elementary algebra support cluster; usable for reviewer packet side table, not Noether prose.",Ethiopia Learning Somali Grade 6/8 Mathematics,"Confirm singular/plural variable form and equation register.",false
Somali,SM-SLICE-004,Definition / Satz / Beweis,proof language,Qeexid; source_gap for theorem/proof,reviewer_prompt_only,"Definition marker exists, but Satz/Beweis need reviewer-facing alternatives before any proof corpus slice.",Somali foundational STEM ledger,"Supply theorem/proof heading and sentence-frame alternatives.",false
Somali,SM-SLICE-005,Ring / Körper / Modul / Ideal / Invariante / Noetherscher Ring,hard Noether algebra,source_gap,blocked_exact_closure,"No Somali hard algebra micro-translation is responsible yet.",Somali foundational STEM ledger,"Find direct local higher-math witness or reviewer/source return.",false
Oromo,OR-SLICE-001,Mathematik / Zahl,mathematics-number,herrega; barnoota herregaa; lakkoofsa,source_backed_micro_support,"Basic Noether/German math-heading and number support for reviewer packet side table.",Ethiopia Learning Oromo Grade 1/6/8 Mathematics,"Confirm preferred form and capitalization.",false
Oromo,OR-SLICE-002,Addition / Subtraktion / Multiplikation / Division,operations,ida'uu; hir'isuu; baay'isuu; hiruu,source_backed_micro_support,"Operation support cluster; apostrophe forms remain source-sensitive.",Ethiopia Learning Oromo Grade 1 Teacher Guide and Grade 6 Mathematics,"Verify apostrophes against page images before prose use.",false
Oromo,OR-SLICE-003,Menge / Variable / Gleichung,set-variable-equation,tuuta; jijjiiramaa; hima wal qixaa,source_backed_micro_support,"Elementary algebra support cluster for reviewer packet.",Ethiopia Learning Oromo Grade 6/8 Mathematics,"Confirm equation phrase and singular/plural variable behavior.",false
Oromo,OR-SLICE-004,Definition / Satz / Beweis,proof language,hiikoo; tiyooramii; source_gap for proof prose,reviewer_prompt_only,"Definition and theorem markers exist; proof sentence frames remain open.",Ethiopia Learning Oromo Grade 8 Mathematics,"Build reviewer-facing definition/theorem/proof alternatives.",false
Oromo,OR-SLICE-005,Ring / Körper / Modul / Ideal / Invariante / Noetherscher Ring,hard Noether algebra,source_gap,blocked_exact_closure,"No Oromo hard algebra micro-translation is responsible yet.",Oromo foundational STEM ledger,"Find direct local higher-math witness or reviewer/source return.",false
Tigrigna_Tigrinya,TG-SLICE-001,Mathematik / Zahl,mathematics-number,ሒሳብ; ቁፅሪ; ቁፅርታት,source_backed_micro_support,"Ethiopic-script math/number support for reviewer packet; preserve source script.",Ethiopia Learning Tigrigna Grade 6 Mathematics,"Confirm Tigrigna/Tigrinya label, orthography, and register.",false
Tigrigna_Tigrinya,TG-SLICE-002,Addition / Subtraktion / Multiplikation / Division,operations,ምድማር; ምጉዳል; ምርባሕ; ምምቃል,source_backed_micro_support,"Operation support cluster from clean UTF-8 source rows.",Ethiopia Learning Tigrigna Grade 6 Mathematics,"Confirm operation noun and sentence behavior.",false
Tigrigna_Tigrinya,TG-SLICE-003,Menge / Definition,set-definition,እኩብ; እኩባት; ትርጉም,reviewer_prompt_only,"Set and definition markers exist, but transfer to Noether prose requires review.",Ethiopia Learning Tigrigna Grade 6 Mathematics and Grade 7 Chemistry,"Confirm whether chemistry definition marker transfers to mathematical definitions.",false
Tigrigna_Tigrinya,TG-SLICE-004,Variable / Gleichung / Algebra,algebra,source_gap,blocked_exact_closure,"Grade 8 algebra source exists but extraction is font-encoded/garbled; do not draft algebra slices.",Tigrigna/Tigrinya script-aware ledger,"Repair font/OCR or page-review Grade 8 math before extracting algebra rows.",false
Tigrigna_Tigrinya,TG-SLICE-005,Ring / Körper / Modul / Ideal / Invariante / Noetherscher Ring,hard Noether algebra,source_gap,blocked_exact_closure,"No Tigrigna/Tigrinya hard algebra micro-translation is responsible yet.",Tigrigna/Tigrinya pass2 ledger,"Find direct local higher-math witness or reviewer/source return.",false
Fulfulde_Fulani,FF-SLICE-001,Addition / Algebra / Gleichung / Variable,operations-algebra,hawtuki; aljabar; fotuki / ko andaaka / nannduɗum / fottida; fergere / baylatoongel / mamre,reviewer_prompt_only,"Variant-aware Fulfulde/Fulani glossary support; use only as reviewer-choice table.",NYU/NYSED Fulani math glossaries,"Choose variety labels and reject/accept source variants row by row.",false
Fulfulde_Fulani,FF-SLICE-002,Definition / Satz / Beweis,proof language,source_gap,blocked_exact_closure,"No Fulfulde/Fulani proof-language micro-translation is responsible yet.",Fulfulde/Fulani variant glossary ledger,"Build proof-language reviewer questionnaire.",false
Fulfulde_Fulani,FF-SLICE-003,Ring / Körper / Modul / Ideal / Invariante / Noetherscher Ring,hard Noether algebra,source_gap,blocked_exact_closure,"No Fulfulde/Fulani hard algebra micro-translation is responsible yet.",Fulfulde/Fulani variant glossary ledger,"Capture local higher-math source or reviewer strategy.",false
Mandinka_Manding,MND-SLICE-001,Addition / Algebra / Gleichung,operations-algebra,kaffulo; algébro; équatiyon,reviewer_prompt_only,"Mandinka-specific glossary support; do not widen to Manding.",NYU/NYSED Mandinka math glossaries,"Confirm Mandinka-specific forms and loan-register suitability.",false
Mandinka_Manding,MND-SLICE-002,Definition / Satz / Beweis,proof language,akhoto; théorémo; togna / provo,reviewer_prompt_only,"Proof-language heading support exists as glossary seeds only.",NYU/NYSED Mandinka geometry glossary,"Confirm formal proof prose strategy and Mandinka scope.",false
Mandinka_Manding,MND-SLICE-003,Ring / Körper / Modul / Ideal / Invariante / Noetherscher Ring,hard Noether algebra,source_gap,blocked_exact_closure,"No Mandinka/Manding hard algebra micro-translation is responsible yet.",Mandinka/Manding glossary ledger,"Find local higher-math source; keep Manding bridge blocked.",false
Akan_Twi,TWI-SLICE-001,Addition / Algebra / Gleichung,operations-algebra,nkabom; akontaabu a wɔde agyiraehyɛde di dwuma; nsɛm abien a pɛyɛ gyiraehyɛde da ntam,reviewer_prompt_only,"Twi glossary support only; Akan-wide use remains blocked.",NYU/NYSED Twi math glossaries,"Confirm compact register, source split, and Twi-only scope.",false
Akan_Twi,TWI-SLICE-002,Definition / Satz / Beweis,proof language,nkyerɛkyerɛmu; nhomasua mu nokwasɛm / Nsusuwii/nokwasɛm; adanse,reviewer_prompt_only,"Twi proof-language heading candidates are reviewer prompts only.",NYU/NYSED Twi geometry and chemistry glossaries,"Confirm whether these support formal mathematical prose.",false
Akan_Twi,TWI-SLICE-003,Ring / Körper / Modul / Ideal / Invariante / Noetherscher Ring,hard Noether algebra,source_gap,blocked_exact_closure,"No Akan/Twi hard algebra micro-translation is responsible yet.",Akan/Twi glossary ledger,"Find local higher-math source; keep Akan-wide bridge blocked.",false
Wolof,WOLOF-SLICE-001,Addition / Algebra / Gleichung / Funktion,operations-algebra,dolli / bokku; alseebar / alseebur / Joxe ndigël; tolloole / Ikuwaason; foonkson / fonkson,reviewer_prompt_only,"Wolof glossary support table; variants stay visible.",NYU/NYSED Wolof math/science glossaries,"Choose register/orthography variants before any prose.",false
Wolof,WOLOF-SLICE-002,Definition / Satz / Beweis,proof language,yaxutte / Firndel; teworem / xalaat / Teworeem; Ki sampp / Përëw,reviewer_prompt_only,"Wolof proof-language candidates are reviewer prompts only.",NYU/NYSED Wolof chemistry and geometry glossaries,"Confirm formal proof/definition/theorem frames.",false
Wolof,WOLOF-SLICE-003,Ring / Körper / Modul / Ideal / Invariante / Noetherscher Ring,hard Noether algebra,source_gap,blocked_exact_closure,"No Wolof hard algebra micro-translation is responsible yet.",Wolof glossary ledger,"Find local higher-math source; no Wolof/Senegambian bridge.",false
Yoruba,YOR-SLICE-001,Addition / Algebra / Gleichung,operations-algebra,Ìròpọ / Àròpọ; Ìṣirò Àlámìn; ọmì,reviewer_prompt_only,"Yoruba dictionary support table only; source extraction and school-register checks required.",Yoruba-English mathematics dictionary,"Confirm extraction, school register, and whether equation row is valid.",false
