lane,row_id,blocker_type,current_evidence,blocked_use,next_valid_artifact,review_or_source_return_needed,promotion_allowed
Hausa,hausa_secondary_math_book_app_route,content_license_reviewer_gap,"Book/app metadata captured for Mathematics in Hausa SS1/SS2; content not locally extracted","term ledger, Noether prose, OER packet","R9_HAUSA_BOOK_CONTENT_OR_REVIEWER_RETURN_<timestamp>.md/json/csv","cacheable book text/PDF or named reviewer/source return plus license/reuse status",false
Hausa,hausa_weak_public_glossary_route,authority_gap,"weak public glossary route captured; not official or source-cleared","term ledger and draft prose","R9_HAUSA_OFFICIAL_OR_SCHOOL_GLOSSARY_RETURN_<timestamp>.md/json/csv","school, university, publisher, or reviewer corroboration",false
Igbo,igbo_basic_math_textbook_route,content_license_reviewer_gap,"basic Igbo mathematics book route found; only metadata/landing-page evidence local","term ledger, Noether prose, OER packet","R9_IGBO_TEXTBOOK_CONTENT_OR_REVIEWER_RETURN_<timestamp>.md/json/csv","source-cleared book text/PDF or reviewer return",false
Igbo,igbo_medium_instruction_context_pass2,context_only,"medium-of-instruction PDFs captured; not term authority","technical term extraction","R9_IGBO_CLASSROOM_TEXT_OR_LESSON_SOURCE_RETURN_<timestamp>.md/json/csv","actual classroom text/lesson source or reviewer extraction",false
Amharic,amharic_pass2_pdf_shelf,ocr_unicode_gap,"48 PDFs, 588 pages, 3 exact usable Unicode rows, 44 garbled/non-Unicode rows","term ledger and prose drafting","R9_AMHARIC_OCR_FONTMAP_TRIAGE_<timestamp>.md/json/csv","script-aware OCR, font map repair, rendered-page transcription, reviewer verification",false
Amharic,amharic_full_textbook_gap,source_completeness_gap,"48 chapter PDFs captured; 0 full-math PDFs and 0 teacher guides","full ledger promotion","R9_AMHARIC_FULL_TEXTBOOK_OR_TEACHER_GUIDE_RETURN_<timestamp>.md/json/csv","Ministry/current textbook repository search or official source route",false
Afar,afar_direct_math_media_leads,transcript_reviewer_gap,"3 Qafar/Afar math-media oEmbed metadata captures","term ledger and prose drafting","R9_AFAR_TRANSCRIPT_OR_REVIEWER_RETURN_<timestamp>.md/json/csv","transcript/audio review or native reviewer extraction",false
Afar,afar_context_reports,context_only,"5 PDFs / 232 pages including early-learning and policy/technical context","technical terminology authority","R9_AFAR_SOURCE_CLEARED_TEXTBOOK_OR_GLOSSARY_RETURN_<timestamp>.md/json/csv","source-cleared Qafar/Afar math textbook, glossary, transcript, or reviewer return",false
Somali,somali_proof_language,review_gap,"source rows for definition marker; theorem/proof remains source gap","Noether proof prose","R9_SOMALI_PROOF_LANGUAGE_REVIEW_QUEUE_<timestamp>.md/json/csv","reviewer-facing alternatives for theorem/proof/definition frames",false
Somali,somali_current_shelf_license,license_attribution_gap,"74 PDFs / 3446 pages captured from Ethiopia Learning current shelf","public packet or OER derivative","R9_SOMALI_SOURCE_PERMISSION_AND_ATTRIBUTION_LEDGER_<timestamp>.md/json/csv","title/grade/source confirmation and reuse/attribution status",false
Oromo,oromo_orthography_ocr,unicode_normalization_gap,"source rows include apostrophe/OCR-normalized searchable forms","settled orthography and prose form","R9_OROMO_ORTHOGRAPHY_PDF_REVIEW_QUEUE_<timestamp>.md/json/csv","page-image verification of apostrophes and source spelling",false
Oromo,oromo_proof_language,review_gap,"definition and theorem markers found; proof sentence patterns open","Noether proof prose","R9_OROMO_PROOF_LANGUAGE_REVIEW_QUEUE_<timestamp>.md/json/csv","reviewer-facing alternatives for definition/theorem/proof sentence frames",false
Tigrigna_Tigrinya,tigrigna_grade8_algebra,font_extraction_gap,"Grade 8 algebra chapter present but font-encoded/garbled in extraction","algebra/equation/variable rows","R9_TIGRIGNA_GRADE8_FONT_REPAIR_<timestamp>.md/json/csv","OCR/font repair or page-image transcription before term extraction",false
Tigrigna_Tigrinya,tigrigna_script_policy,script_review_gap,"53 extractable Ethiopic rows and 33 seed rows reconfirmed","term spine or prose","R9_TIGRIGNA_SCRIPT_AND_REGISTER_REVIEW_QUEUE_<timestamp>.md/json/csv","native/domain script review and proof-language alternatives",false
Fulfulde_Fulani,fulfulde_variant_terms,variety_review_gap,"20 variant-aware glossary rows with Fulani/Fulfulde/Fula/Pulaar labels open","flattened term spine or prose","R9_FULFULDE_VARIANT_REVIEW_QUEUE_<timestamp>.md/json/csv","reviewer decision on variety labels, orthography, and competing forms",false
Mandinka_Manding,mandinka_manding_scope,scope_review_gap,"23 Mandinka-specific glossary rows","Manding-wide bridge or prose","R9_MANDINKA_SCOPE_REVIEW_QUEUE_<timestamp>.md/json/csv","Mandinka-specific reviewer return; no Manding bridge without evidence",false
