language,row_id,concept_band,english_anchor,source_form_candidate,source_basis,source_pointer,draft_use_level,reviewer_question,promotion_allowed
Somali,SM-N01,foundational_number,mathematics,xisaab,Ethiopia Learning Somali Grade 8/6 Mathematics,"Grade 8 lines 50 and 287; Grade 6 line 50",source_backed_draft_support,"Confirm register, singular/plural behavior, and suitability for math prose.",false
Somali,SM-N03,operations,addition,isugeynta,Ethiopia Learning Somali Grade 6 Mathematics,"lines 1033-1035 and 4115-4116",source_backed_draft_support,"Confirm source spelling and whether this is the preferred school register.",false
Somali,SM-N04,operations,subtraction,kalagoynta,Ethiopia Learning Somali Grade 6 Mathematics,"lines 1033-1035 and 4115-4116",source_backed_draft_support,"Confirm operation noun form and prose inflection.",false
Somali,SM-N05,operations,multiplication,iskudhufashada,Ethiopia Learning Somali Grade 6 Mathematics,"lines 1033-1035 and 4115-4116",source_backed_draft_support,"Confirm spacing and school-register suitability.",false
Somali,SM-N06,operations,division,isuqaybinta,Ethiopia Learning Somali Grade 6 Mathematics,"lines 1033-1035 and 4115-4116",source_backed_draft_support,"Confirm spacing and grammatical use in equations.",false
Somali,SM-N07,foundational_number,fraction,jajab,Ethiopia Learning Somali Grade 6 Mathematics,"lines 107-114 and 4246-4252",source_backed_draft_support,"Confirm singular/plural and use in algebraic fractions.",false
Somali,SM-A01,algebra,variable,doorsoomeyaasha,Ethiopia Learning Somali Grade 8 Mathematics,"lines 2214-2265",source_backed_draft_support,"Confirm singular form and suitability for formal algebra.",false
Somali,SM-P01,proof_language,theorem/proof,source_gap,R9 Somali foundational STEM ledger,"no direct source row in pass1",reviewer_prompt_only,"Provide reviewer-facing alternatives for theorem, proof, definition, and proof sentence frames.",false
Oromo,OR-N01,foundational_number,mathematics,herrega; barnoota herregaa,Ethiopia Learning Oromo Grade 8/6/1 Mathematics,"Grade 8 line 43; Grade 6 line 60; Grade 1 lines 1 and 112",source_backed_draft_support,"Confirm preferred school/prose register and capitalization.",false
Oromo,OR-N03,operations,addition,ida'uu,Ethiopia Learning Oromo Grade 1 Teacher Guide,"lines 53, 55, 66-67, 69",source_backed_draft_support,"Confirm apostrophe convention against rendered PDF.",false
Oromo,OR-N04,operations,subtraction,hir'isuu,Ethiopia Learning Oromo Grade 1 Teacher Guide,"lines 53, 57, 66, 68-69",source_backed_draft_support,"Confirm apostrophe convention and prose behavior.",false
Oromo,OR-N05,operations,multiplication,baay'isuu,Ethiopia Learning Oromo Grade 1 Teacher Guide / Grade 6 Mathematics,"Grade 1 lines 86-88; Grade 6 line 133",source_backed_draft_support,"Confirm source spelling and school-level register.",false
Oromo,OR-N07,foundational_number,fraction,firaakshinoota,Ethiopia Learning Oromo Grade 1/6 Mathematics,"Grade 1 line 81; Grade 6 lines 122-125, 128, 133",source_backed_draft_support,"Confirm whether source loan form is preferred for draft math prose.",false
Oromo,OR-A01,algebra,variable,jijjiiramaa; jijjiiramoota,Ethiopia Learning Oromo Grade 8 Mathematics,"lines 2090-2092, 2392, 2401, 2590-2593",source_backed_draft_support,"Confirm singular/plural distinction and equation prose usage.",false
Oromo,OR-P01,proof_language,theorem marker,tiyooramii; tiyooramoota,Ethiopia Learning Oromo Grade 8 Mathematics,"lines 207, 8915-8916, 9011, 9381",reviewer_prompt_only,"Confirm whether marker supports theorem headings and whether proof prose needs a different frame.",false
Tigrigna_Tigrinya,TG-N01,foundational_number,mathematics,ሒሳብ,Ethiopia Learning Tigrigna Grade 6 Mathematics,"lines 1 and 40",source_backed_draft_support,"Confirm Tigrigna/Tigrinya label, orthography, and prose register.",false
