"branch_head","claim","value","evidence_basis"
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
